tab	er_samples
er_citation_names	er_sample_name	er_site_name	er_location_name	sample_class	sample_lithology	sample_type	sample_lat	sample_lon	er_expedition_name	sample_core_depth	sample_azimuth	sample_dip	sample_date	magic_method_codes	sample_composite_depth	er_sample_alternatives
This study	318-U1361A-001H-2-W-35	318-U1361A-001H-2-W-35	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	1.85	0	0	2010:02:26:04:40:00.00	FS-C-DRILL-IODP:SP-SS-C:SO-V	1.85	CUBE2208531
This study	318-U1361A-001H-3-W-90	318-U1361A-001H-3-W-90	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	3.9	0	0	2010:02:26:04:40:00.00	FS-C-DRILL-IODP:SP-SS-C:SO-V	3.9	CUBE2208541
This study	318-U1361A-001H-4-W-50	318-U1361A-001H-4-W-50	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	5	0	0	2010:02:26:04:40:00.00	FS-C-DRILL-IODP:SP-SS-C:SO-V	5	CUBE2208551
This study	318-U1361A-001H-5-W-59	318-U1361A-001H-5-W-59	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	6.59	0	0	2010:02:26:04:40:00.00	FS-C-DRILL-IODP:SP-SS-C:SO-V	6.59	CUBE2208561
This study	318-U1361A-001H-6-W-60	318-U1361A-001H-6-W-60	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	8.1	0	0	2010:02:26:04:40:00.00	FS-C-DRILL-IODP:SP-SS-C:SO-V	8.1	CUBE2208571
This study	318-U1361A-001H_2A-0.1	318-U1361A-001H_2A-0.1	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	1.6	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	1.6	nan
This study	318-U1361A-001H_2A-0.15	318-U1361A-001H_2A-0.15	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	1.65	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	1.65	nan
This study	318-U1361A-001H_2A-0.2	318-U1361A-001H_2A-0.2	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	1.7	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	1.7	nan
This study	318-U1361A-001H_2A-0.25	318-U1361A-001H_2A-0.25	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	1.75	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	1.75	nan
This study	318-U1361A-001H_2A-0.3	318-U1361A-001H_2A-0.3	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	1.8	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	1.8	nan
This study	318-U1361A-001H_2A-0.35	318-U1361A-001H_2A-0.35	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	1.85	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	1.85	nan
This study	318-U1361A-001H_2A-0.4	318-U1361A-001H_2A-0.4	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	1.9	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	1.9	nan
This study	318-U1361A-001H_2A-0.45	318-U1361A-001H_2A-0.45	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	1.95	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	1.95	nan
This study	318-U1361A-001H_2A-0.5	318-U1361A-001H_2A-0.5	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	2	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	2	nan
This study	318-U1361A-001H_2A-0.55	318-U1361A-001H_2A-0.55	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	2.05	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	2.05	nan
This study	318-U1361A-001H_2A-0.6	318-U1361A-001H_2A-0.6	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	2.1	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	2.1	nan
This study	318-U1361A-001H_2A-0.65	318-U1361A-001H_2A-0.65	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	2.15	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	2.15	nan
This study	318-U1361A-001H_2A-0.7	318-U1361A-001H_2A-0.7	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	2.2	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	2.2	nan
This study	318-U1361A-001H_2A-0.75	318-U1361A-001H_2A-0.75	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	2.25	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	2.25	nan
This study	318-U1361A-001H_2A-0.8	318-U1361A-001H_2A-0.8	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	2.3	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	2.3	nan
This study	318-U1361A-001H_2A-0.85	318-U1361A-001H_2A-0.85	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	2.35	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	2.35	nan
This study	318-U1361A-001H_2A-0.9	318-U1361A-001H_2A-0.9	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	2.4	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	2.4	nan
This study	318-U1361A-001H_2A-0.95	318-U1361A-001H_2A-0.95	U1361A	Sedimentary	Silicate-Clay:Silty Clay	Sediment Layer	-64.2457	143.532	318	2.45	0	0	nan	FS-C-DRILL-IODP:SP-SS-C:SO-V	2.45	nan
