tab 	er_samples
er_citation_names	er_expedition_name	er_location_name	er_sample_alternatives	er_sample_name	er_site_name	magic_method_codes	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_class	sample_composite_depth	sample_core_depth	sample_date	sample_dip	sample_lat	sample_lithology	sample_lon	sample_type
This study	318	U1359C	CUBE1492652	318-U1359C-015H-1-W-80	318-U1359C-015H-1-W-80	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary	137.56	131.5	2011:10:19:13:54:00.00	0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	CUBE1492662	318-U1359C-015H-2-W-64	318-U1359C-015H-2-W-64	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary	138.9	132.84	2011:10:19:13:54:00.00	0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	CUBE1492672	318-U1359C-015H-3-W-76	318-U1359C-015H-3-W-76	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary	140.52	134.46	2011:10:19:13:54:00.00	0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	CUBE1492682	318-U1359C-015H-4-W-63	318-U1359C-015H-4-W-63	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary	141.89	135.83	2011:10:19:13:54:00.00	0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	CUBE1492692	318-U1359C-015H-5-W-76	318-U1359C-015H-5-W-76	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary	143.52	137.46	2011:10:19:13:54:00.00	0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	CUBE1492702	318-U1359C-015H-6-W-67	318-U1359C-015H-6-W-67	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary	144.93	138.87	2011:10:19:13:54:00.00	0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	CUBE1492712	318-U1359C-015H-7-W-6	318-U1359C-015H-7-W-6	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary	145.82	139.76	2011:10:19:13:54:00.00	0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	CUBE1492722	318-U1359C-015H-CC-W-15	318-U1359C-015H-CC-W-15	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary	147.41	140.46	2011:10:19:13:54:00.00	0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	CUBE1494252	318-U1359C-016H-1-W-136	318-U1359C-016H-1-W-136	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary	148.29	141.56	2011:10:21:14:16:00.00	0	-64.8541	Not Specified	143.9604	Sediment Layer
This study	318	U1359C	CUBE1494262	318-U1359C-016H-2-W-87	318-U1359C-016H-2-W-87	FS-C-DRILL-IODP:SP-SS-C:SO-V	0			Sedimentary	149.3	142.57	2011:10:21:14:16:00.00	0	-64.8541	Not Specified	143.9604	Sediment Layer
