tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
	This study	Africa	ak01a	ak01	ak01a		ak01a:LP-AN-TRM		LT-T-Z:LP-AN-TRM	pmagpy-4.2.8	0.2	196.0		g	-66.3	2.765e-09	1	u	2.730e+02	0	0.000e+00	0	0	7.930e+02
	This study	Africa	ak01a	ak01	ak01a		ak01a:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	1.1	1.3		g	-2.9	1.793e-08	2	u	2.730e+02	0	4.000e-05	0.0	0.0	7.930e+02
	This study	Africa	ak01a	ak01	ak01a		ak01a:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.6	89.9		g	-8.5	1.995e-08	3	u	2.730e+02	0	4.000e-05	90.0	0.0	7.930e+02
	This study	Africa	ak01a	ak01	ak01a		ak01a:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.2	349.1		g	86.9	1.767e-08	4	u	2.730e+02	0	4.000e-05	0.0	90.0	7.930e+02
	This study	Africa	ak01a	ak01	ak01a		ak01a:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.3	181.9		g	-11.7	2.000e-08	5	u	2.730e+02	0	4.000e-05	180.0	0.0	7.930e+02
	This study	Africa	ak01a	ak01	ak01a		ak01a:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.5	266.4		g	-5.1	2.023e-08	6	u	2.730e+02	0	4.000e-05	270.0	0.0	7.930e+02
	This study	Africa	ak01a	ak01	ak01a		ak01a:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.2	196.0		g	-83.9	2.205e-08	7	u	2.730e+02	0	4.000e-05	0.0	-90.0	7.930e+02
	This study	Africa	ak01b	ak01	ak01b		ak01b:LP-AN-TRM		LT-T-Z:LP-AN-TRM	pmagpy-4.2.8	0.3	231.5		g	-76.0	7.396e-10	1	u	2.730e+02	0	0.000e+00	0	0	7.930e+02
	This study	Africa	ak01b	ak01	ak01b		ak01b:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.3	357.0		g	-6.9	7.825e-09	2	u	2.730e+02	0	4.000e-05	0.0	0.0	7.930e+02
	This study	Africa	ak01b	ak01	ak01b		ak01b:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.6	82.3		g	-6.4	7.617e-09	3	u	2.730e+02	0	4.000e-05	90.0	0.0	7.930e+02
	This study	Africa	ak01b	ak01	ak01b		ak01b:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.2	206.7		g	86.4	6.155e-09	4	u	2.730e+02	0	4.000e-05	0.0	90.0	7.930e+02
	This study	Africa	ak01b	ak01	ak01b		ak01b:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.4	175.4		g	-3.6	7.875e-09	5	u	2.730e+02	0	4.000e-05	180.0	0.0	7.930e+02
	This study	Africa	ak01b	ak01	ak01b		ak01b:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.6	269.1		g	-4.5	7.792e-09	6	u	2.730e+02	0	4.000e-05	270.0	0.0	7.930e+02
	This study	Africa	ak01b	ak01	ak01b		ak01b:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.3	308.1		g	-86.4	7.410e-09	7	u	2.730e+02	0	4.000e-05	0.0	-90.0	7.930e+02
	This study	Africa	ak01c	ak01	ak01c		ak01c:LP-AN-TRM		LT-T-Z:LP-AN-TRM	pmagpy-4.2.8	0.3	222.2		g	-77.0	3.840e-09	1	u	2.730e+02	0	0.000e+00	0	0	7.930e+02
	This study	Africa	ak01c	ak01	ak01c		ak01c:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.4	350.9		g	-7.6	2.090e-08	2	u	2.730e+02	0	4.000e-05	0.0	0.0	7.930e+02
	This study	Africa	ak01c	ak01	ak01c		ak01c:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.5	92.6		g	-8.4	1.990e-08	3	u	2.730e+02	0	4.000e-05	90.0	0.0	7.930e+02
	This study	Africa	ak01c	ak01	ak01c		ak01c:LP-AN-TRM		LT-T-I:LP-AN-TRM	pmagpy-4.2.8	0.3	60.8		g	84.1	1.711e-08	4	u	2.730e+02	0	4.000e-05	0.0	90.0	7.930e+02
