tab	measurements
measurement	specimen	experiment	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_temp	analysts	description	software_packages	magn_moment
ak01a_LP-AN-TRM-1	ak01a	ak01a_LP-AN-TRM	0.2	196.0	-66.3	0	0.000e+00	0	0	0	7.930e+02	This study		LT-T-Z:LP-AN-TRM	g	0	u	2.730e+02			pmagpy-4.2.92	 2.765e-09
ak01a_LP-AN-TRM-2	ak01a	ak01a_LP-AN-TRM	1.1	1.3	-2.9	0	4.000e-05	    0.0	    0.0	1	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	1	u	2.730e+02			pmagpy-4.2.92	 1.793e-08
ak01a_LP-AN-TRM-3	ak01a	ak01a_LP-AN-TRM	0.6	89.9	-8.5	0	4.000e-05	   90.0	    0.0	2	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	2	u	2.730e+02			pmagpy-4.2.92	 1.995e-08
ak01a_LP-AN-TRM-4	ak01a	ak01a_LP-AN-TRM	0.2	349.1	86.9	0	4.000e-05	    0.0	   90.0	3	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	3	u	2.730e+02			pmagpy-4.2.92	 1.767e-08
ak01a_LP-AN-TRM-5	ak01a	ak01a_LP-AN-TRM	0.3	181.9	-11.7	0	4.000e-05	  180.0	    0.0	4	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	4	u	2.730e+02			pmagpy-4.2.92	 2.000e-08
ak01a_LP-AN-TRM-6	ak01a	ak01a_LP-AN-TRM	0.5	266.4	-5.1	0	4.000e-05	  270.0	    0.0	5	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	5	u	2.730e+02			pmagpy-4.2.92	 2.023e-08
ak01a_LP-AN-TRM-7	ak01a	ak01a_LP-AN-TRM	0.2	196.0	-83.9	0	4.000e-05	    0.0	  -90.0	6	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	6	u	2.730e+02			pmagpy-4.2.92	 2.205e-08
ak01b_LP-AN-TRM-8	ak01b	ak01b_LP-AN-TRM	0.3	231.5	-76.0	0	0.000e+00	0	0	0	7.930e+02	This study		LT-T-Z:LP-AN-TRM	g	7	u	2.730e+02			pmagpy-4.2.92	 7.396e-10
ak01b_LP-AN-TRM-9	ak01b	ak01b_LP-AN-TRM	0.3	357.0	-6.9	0	4.000e-05	    0.0	    0.0	1	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	8	u	2.730e+02			pmagpy-4.2.92	 7.825e-09
ak01b_LP-AN-TRM-10	ak01b	ak01b_LP-AN-TRM	0.6	82.3	-6.4	0	4.000e-05	   90.0	    0.0	2	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	9	u	2.730e+02			pmagpy-4.2.92	 7.617e-09
ak01b_LP-AN-TRM-11	ak01b	ak01b_LP-AN-TRM	0.2	206.7	86.4	0	4.000e-05	    0.0	   90.0	3	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	10	u	2.730e+02			pmagpy-4.2.92	 6.155e-09
ak01b_LP-AN-TRM-12	ak01b	ak01b_LP-AN-TRM	0.4	175.4	-3.6	0	4.000e-05	  180.0	    0.0	4	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	11	u	2.730e+02			pmagpy-4.2.92	 7.875e-09
ak01b_LP-AN-TRM-13	ak01b	ak01b_LP-AN-TRM	0.6	269.1	-4.5	0	4.000e-05	  270.0	    0.0	5	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	12	u	2.730e+02			pmagpy-4.2.92	 7.792e-09
ak01b_LP-AN-TRM-14	ak01b	ak01b_LP-AN-TRM	0.3	308.1	-86.4	0	4.000e-05	    0.0	  -90.0	6	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	13	u	2.730e+02			pmagpy-4.2.92	 7.410e-09
ak01c_LP-AN-TRM-15	ak01c	ak01c_LP-AN-TRM	0.3	222.2	-77.0	0	0.000e+00	0	0	0	7.930e+02	This study		LT-T-Z:LP-AN-TRM	g	14	u	2.730e+02			pmagpy-4.2.92	 3.840e-09
ak01c_LP-AN-TRM-16	ak01c	ak01c_LP-AN-TRM	0.4	350.9	-7.6	0	4.000e-05	    0.0	    0.0	1	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	15	u	2.730e+02			pmagpy-4.2.92	 2.090e-08
ak01c_LP-AN-TRM-17	ak01c	ak01c_LP-AN-TRM	0.5	92.6	-8.4	0	4.000e-05	   90.0	    0.0	2	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	16	u	2.730e+02			pmagpy-4.2.92	 1.990e-08
ak01c_LP-AN-TRM-18	ak01c	ak01c_LP-AN-TRM	0.3	60.8	84.1	0	4.000e-05	    0.0	   90.0	3	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	17	u	2.730e+02			pmagpy-4.2.92	 1.711e-08
ak01c_LP-AN-TRM-19	ak01c	ak01c_LP-AN-TRM	0.4	173.3	-12.5	0	4.000e-05	  180.0	    0.0	4	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	18	u	2.730e+02			pmagpy-4.2.92	 2.187e-08
ak01c_LP-AN-TRM-20	ak01c	ak01c_LP-AN-TRM	0.6	270.5	-12.4	0	4.000e-05	  270.0	    0.0	5	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	19	u	2.730e+02			pmagpy-4.2.92	 2.104e-08
ak01c_LP-AN-TRM-21	ak01c	ak01c_LP-AN-TRM	0.2	246.7	-82.9	0	4.000e-05	    0.0	  -90.0	6	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	20	u	2.730e+02			pmagpy-4.2.92	 2.397e-08
ak01d_LP-AN-TRM-22	ak01d	ak01d_LP-AN-TRM	0.3	190.0	-70.2	0	0.000e+00	0	0	0	7.930e+02	This study		LT-T-Z:LP-AN-TRM	g	21	u	2.730e+02			pmagpy-4.2.92	 2.927e-09
ak01d_LP-AN-TRM-23	ak01d	ak01d_LP-AN-TRM	0.3	355.2	-9.6	0	4.000e-05	    0.0	    0.0	1	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	22	u	2.730e+02			pmagpy-4.2.92	 1.530e-08
ak01d_LP-AN-TRM-24	ak01d	ak01d_LP-AN-TRM	0.6	92.7	-9.1	0	4.000e-05	   90.0	    0.0	2	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	23	u	2.730e+02			pmagpy-4.2.92	 1.743e-08
ak01d_LP-AN-TRM-25	ak01d	ak01d_LP-AN-TRM	0.2	316.0	89.1	0	4.000e-05	    0.0	   90.0	3	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	24	u	2.730e+02			pmagpy-4.2.92	 1.458e-08
