tab 	measurements
citations	dir_dec	dir_inc	experiment	magn_mass	meas_temp	measurement	method_codes	quality	specimen	standard	susc_chi_mass	treat_ac_field	treat_dc_field	treat_step_num	treat_temp
This study	268.5	-41.2	15-1-013:LP-AF-DIR	2.91E-06	300	15-1-013:LP-AF-DIR-1	LT-AF-Z	g	15-1-013	u		1.50E-02	0	1	300
This study			15-1-013:LP-ARM	1.79E-04	300	15-1-013:LP-ARM-2	LT-AF-I	g	15-1-013	u		8.00E-02	5.00E-05	2	300
This study			15-1-013:LP-IRM	3.60E-03	300	15-1-013:LP-IRM-3	LT-IRM	g	15-1-013	u		0	1	3	300
This study			15-1-013:LP-X		300	15-1-013:LP-X-4	LP-X		15-1-013		2.38E-07	1.00E-02	0	4	300
This study	181	68.6	15-1-022:LP-AF-DIR	1.12E-05	300	15-1-022:LP-AF-DIR-5	LT-AF-Z	g	15-1-022	u		1.50E-02	0	5	300
This study			15-1-022:LP-ARM	3.00E-04	300	15-1-022:LP-ARM-6	LT-AF-I	g	15-1-022	u		8.00E-02	5.00E-05	6	300
This study			15-1-022:LP-IRM	6.19E-03	300	15-1-022:LP-IRM-7	LT-IRM	g	15-1-022	u		0	1	7	300
This study			15-1-022:LP-X		300	15-1-022:LP-X-8	LP-X		15-1-022		4.10E-07	1.00E-02	0	8	300
This study	124.5	63.7	15-1-024:LP-AF-DIR	5.39E-06	300	15-1-024:LP-AF-DIR-9	LT-AF-Z	g	15-1-024	u		1.50E-02	0	9	300
This study			15-1-024:LP-ARM	3.29E-04	300	15-1-024:LP-ARM-10	LT-AF-I	g	15-1-024	u		8.00E-02	5.00E-05	10	300
This study			15-1-024:LP-IRM	6.81E-03	300	15-1-024:LP-IRM-11	LT-IRM	g	15-1-024	u		0	1	11	300
This study			15-1-024:LP-X		300	15-1-024:LP-X-12	LP-X		15-1-024		4.64E-07	1.00E-02	0	12	300
This study	123.2	59.9	15-1-028:LP-AF-DIR	2.69E-06	300	15-1-028:LP-AF-DIR-13	LT-AF-Z	g	15-1-028	u		1.50E-02	0	13	300
This study			15-1-028:LP-ARM	1.79E-04	300	15-1-028:LP-ARM-14	LT-AF-I	g	15-1-028	u		8.00E-02	5.00E-05	14	300
This study			15-1-028:LP-IRM	3.39E-03	300	15-1-028:LP-IRM-15	LT-IRM	g	15-1-028	u		0	1	15	300
This study			15-1-028:LP-X		300	15-1-028:LP-X-16	LP-X		15-1-028		2.28E-07	1.00E-02	0	16	300
This study	155.1	52.8	15-1-031:LP-AF-DIR	3.44E-06	300	15-1-031:LP-AF-DIR-17	LT-AF-Z	g	15-1-031	u		1.50E-02	0	17	300
This study			15-1-031:LP-ARM	1.71E-04	300	15-1-031:LP-ARM-18	LT-AF-I	g	15-1-031	u		8.00E-02	5.00E-05	18	300
This study			15-1-031:LP-IRM	3.31E-03	300	15-1-031:LP-IRM-19	LT-IRM	g	15-1-031	u		0	1	19	300
This study			15-1-031:LP-X		300	15-1-031:LP-X-20	LP-X		15-1-031		2.25E-07	1.00E-02	0	20	300
This study	144.2	72.3	15-1-035:LP-AF-DIR	4.08E-06	300	15-1-035:LP-AF-DIR-21	LT-AF-Z	g	15-1-035	u		1.50E-02	0	21	300
