tab 	sites
location	site
DSDP Site 522	15-1-013
DSDP Site 522	15-1-022
DSDP Site 522	15-1-024
DSDP Site 522	15-1-028
DSDP Site 522	15-1-031
DSDP Site 522	15-1-035
DSDP Site 522	15-1-039
DSDP Site 522	15-1-041
DSDP Site 522	15-1-045
DSDP Site 522	15-1-047
DSDP Site 522	15-1-051
DSDP Site 522	15-1-054
DSDP Site 522	15-1-057
DSDP Site 522	15-1-060
DSDP Site 522	15-1-063
DSDP Site 522	15-1-066
DSDP Site 522	15-1-069
DSDP Site 522	15-1-072
DSDP Site 522	15-1-075
DSDP Site 522	15-1-079
DSDP Site 522	15-1-082
DSDP Site 522	15-1-085
DSDP Site 522	15-1-088
DSDP Site 522	15-1-091
DSDP Site 522	15-1-094
DSDP Site 522	15-1-097
DSDP Site 522	15-1-100
DSDP Site 522	15-1-103
DSDP Site 522	15-1-106
DSDP Site 522	15-1-109
DSDP Site 522	15-1-113
DSDP Site 522	15-1-115
DSDP Site 522	15-1-118
DSDP Site 522	15-1-122
DSDP Site 522	15-1-125
DSDP Site 522	15-1-128
DSDP Site 522	15-1-131
DSDP Site 522	15-1-134
DSDP Site 522	15-1-137
DSDP Site 522	15-1-140
DSDP Site 522	15-1-144
DSDP Site 522	15-1-147
DSDP Site 522	15-1-149
DSDP Site 522	15-2-003
DSDP Site 522	15-2-005
DSDP Site 522	15-2-008
DSDP Site 522	15-2-012
DSDP Site 522	15-2-014
DSDP Site 522	15-2-019
DSDP Site 522	15-2-021
DSDP Site 522	15-2-024
DSDP Site 522	15-2-027
DSDP Site 522	15-2-030
DSDP Site 522	15-2-034
DSDP Site 522	15-2-037
DSDP Site 522	15-2-040
DSDP Site 522	15-2-043
DSDP Site 522	15-2-046
DSDP Site 522	15-2-050
DSDP Site 522	15-2-055
DSDP Site 522	15-2-058
DSDP Site 522	15-2-061
DSDP Site 522	15-2-064
DSDP Site 522	15-2-067
DSDP Site 522	15-2-070
DSDP Site 522	15-2-073
DSDP Site 522	15-2-076
DSDP Site 522	15-2-079
DSDP Site 522	15-2-082
DSDP Site 522	15-2-085
DSDP Site 522	15-2-088
DSDP Site 522	15-2-091
DSDP Site 522	15-2-095
DSDP Site 522	15-2-098
DSDP Site 522	15-2-101
DSDP Site 522	15-2-104
DSDP Site 522	15-2-107
DSDP Site 522	15-2-109
DSDP Site 522	15-2-113
DSDP Site 522	15-2-116
DSDP Site 522	15-2-119
DSDP Site 522	15-2-123
DSDP Site 522	15-2-126
DSDP Site 522	15-2-128
DSDP Site 522	15-2-132
DSDP Site 522	15-2-135
DSDP Site 522	15-2-138
DSDP Site 522	15-2-141
DSDP Site 522	15-2-143
DSDP Site 522	15-2-147
DSDP Site 522	15-2-150
DSDP Site 522	15-3-001
DSDP Site 522	15-3-004
DSDP Site 522	15-3-007
DSDP Site 522	15-3-010
DSDP Site 522	15-3-013
DSDP Site 522	15-3-015
DSDP Site 522	15-3-019
DSDP Site 522	15-3-022
DSDP Site 522	15-3-025
DSDP Site 522	15-3-028
DSDP Site 522	15-3-031
DSDP Site 522	15-3-035
DSDP Site 522	15-3-038
DSDP Site 522	15-3-041
DSDP Site 522	15-3-044
DSDP Site 522	15-3-047
DSDP Site 522	15-3-051
DSDP Site 522	15-3-054
DSDP Site 522	15-3-057
DSDP Site 522	15-3-061
DSDP Site 522	15-3-064
DSDP Site 522	15-3-067
DSDP Site 522	15-3-071
DSDP Site 522	15-3-075
DSDP Site 522	15-3-078
DSDP Site 522	15-3-080
DSDP Site 522	15-3-083
DSDP Site 522	15-3-086
DSDP Site 522	15-3-089
DSDP Site 522	15-3-092
DSDP Site 522	15-3-096
DSDP Site 522	15-3-098
DSDP Site 522	15-3-101
DSDP Site 522	15-3-104
DSDP Site 522	15-3-107
DSDP Site 522	15-3-109
DSDP Site 522	15-3-112
DSDP Site 522	15-3-115
DSDP Site 522	15-3-118
DSDP Site 522	15-3-122
DSDP Site 522	15-3-125
DSDP Site 522	15-3-129
DSDP Site 522	16-1-098
DSDP Site 522	16-1-101
DSDP Site 522	16-1-104
DSDP Site 522	16-1-108
DSDP Site 522	16-1-110
DSDP Site 522	16-1-115
DSDP Site 522	16-1-119
DSDP Site 522	16-1-122
DSDP Site 522	16-1-125
DSDP Site 522	16-1-128
DSDP Site 522	16-1-131
DSDP Site 522	16-1-134
DSDP Site 522	16-1-137
DSDP Site 522	16-1-140
DSDP Site 522	16-1-142
DSDP Site 522	16-1-145
DSDP Site 522	16-1-148
DSDP Site 522	16-2-001
DSDP Site 522	16-2-005
DSDP Site 522	16-2-008
DSDP Site 522	16-2-012
DSDP Site 522	16-2-015
DSDP Site 522	16-2-018
DSDP Site 522	16-2-021
DSDP Site 522	16-2-024
DSDP Site 522	16-2-029
DSDP Site 522	16-2-032
DSDP Site 522	16-2-034
DSDP Site 522	16-2-038
DSDP Site 522	16-2-041
DSDP Site 522	16-2-050
DSDP Site 522	16-2-053
DSDP Site 522	16-2-056
DSDP Site 522	16-2-059
DSDP Site 522	16-2-061
DSDP Site 522	16-2-064
DSDP Site 522	16-2-066
DSDP Site 522	16-2-069
DSDP Site 522	16-2-073
DSDP Site 522	16-2-076
DSDP Site 522	16-2-079
DSDP Site 522	16-2-082
DSDP Site 522	16-2-085
DSDP Site 522	16-2-087
DSDP Site 522	16-2-090
DSDP Site 522	16-2-093
DSDP Site 522	16-2-096
DSDP Site 522	16-2-098
DSDP Site 522	16-2-101
DSDP Site 522	16-2-104
DSDP Site 522	16-2-107
DSDP Site 522	16-2-110
DSDP Site 522	16-2-112
DSDP Site 522	16-2-116
DSDP Site 522	16-2-122
DSDP Site 522	16-2-127
DSDP Site 522	16-2-130
DSDP Site 522	16-2-132
DSDP Site 522	16-2-135
DSDP Site 522	16-2-138
DSDP Site 522	16-2-141
DSDP Site 522	16-2-144
DSDP Site 522	16-2-147
DSDP Site 522	16-2-150
