tab 	specimens
sample	specimen
15-1-013	15-1-013
15-1-022	15-1-022
15-1-024	15-1-024
15-1-028	15-1-028
15-1-031	15-1-031
15-1-035	15-1-035
15-1-039	15-1-039
15-1-041	15-1-041
15-1-045	15-1-045
15-1-047	15-1-047
15-1-051	15-1-051
15-1-054	15-1-054
15-1-057	15-1-057
15-1-060	15-1-060
15-1-063	15-1-063
15-1-066	15-1-066
15-1-069	15-1-069
15-1-072	15-1-072
15-1-075	15-1-075
15-1-079	15-1-079
15-1-082	15-1-082
15-1-085	15-1-085
15-1-088	15-1-088
15-1-091	15-1-091
15-1-094	15-1-094
15-1-097	15-1-097
15-1-100	15-1-100
15-1-103	15-1-103
15-1-106	15-1-106
15-1-109	15-1-109
15-1-113	15-1-113
15-1-115	15-1-115
15-1-118	15-1-118
15-1-122	15-1-122
15-1-125	15-1-125
15-1-128	15-1-128
15-1-131	15-1-131
15-1-134	15-1-134
15-1-137	15-1-137
15-1-140	15-1-140
15-1-144	15-1-144
15-1-147	15-1-147
15-1-149	15-1-149
15-2-003	15-2-003
15-2-005	15-2-005
15-2-008	15-2-008
15-2-012	15-2-012
15-2-014	15-2-014
15-2-019	15-2-019
15-2-021	15-2-021
15-2-024	15-2-024
15-2-027	15-2-027
15-2-030	15-2-030
15-2-034	15-2-034
15-2-037	15-2-037
15-2-040	15-2-040
15-2-043	15-2-043
15-2-046	15-2-046
15-2-050	15-2-050
15-2-055	15-2-055
15-2-058	15-2-058
15-2-061	15-2-061
15-2-064	15-2-064
15-2-067	15-2-067
15-2-070	15-2-070
15-2-073	15-2-073
15-2-076	15-2-076
15-2-079	15-2-079
15-2-082	15-2-082
15-2-085	15-2-085
15-2-088	15-2-088
15-2-091	15-2-091
15-2-095	15-2-095
15-2-098	15-2-098
15-2-101	15-2-101
15-2-104	15-2-104
15-2-107	15-2-107
15-2-109	15-2-109
15-2-113	15-2-113
15-2-116	15-2-116
15-2-119	15-2-119
15-2-123	15-2-123
15-2-126	15-2-126
15-2-128	15-2-128
15-2-132	15-2-132
15-2-135	15-2-135
15-2-138	15-2-138
15-2-141	15-2-141
15-2-143	15-2-143
15-2-147	15-2-147
15-2-150	15-2-150
15-3-001	15-3-001
15-3-004	15-3-004
15-3-007	15-3-007
15-3-010	15-3-010
15-3-013	15-3-013
15-3-015	15-3-015
15-3-019	15-3-019
15-3-022	15-3-022
15-3-025	15-3-025
15-3-028	15-3-028
15-3-031	15-3-031
15-3-035	15-3-035
15-3-038	15-3-038
15-3-041	15-3-041
15-3-044	15-3-044
15-3-047	15-3-047
15-3-051	15-3-051
15-3-054	15-3-054
15-3-057	15-3-057
15-3-061	15-3-061
15-3-064	15-3-064
15-3-067	15-3-067
15-3-071	15-3-071
15-3-075	15-3-075
15-3-078	15-3-078
15-3-080	15-3-080
15-3-083	15-3-083
15-3-086	15-3-086
15-3-089	15-3-089
15-3-092	15-3-092
15-3-096	15-3-096
15-3-098	15-3-098
15-3-101	15-3-101
15-3-104	15-3-104
15-3-107	15-3-107
15-3-109	15-3-109
15-3-112	15-3-112
15-3-115	15-3-115
15-3-118	15-3-118
15-3-122	15-3-122
15-3-125	15-3-125
15-3-129	15-3-129
16-1-098	16-1-098
16-1-101	16-1-101
16-1-104	16-1-104
16-1-108	16-1-108
16-1-110	16-1-110
16-1-115	16-1-115
16-1-119	16-1-119
16-1-122	16-1-122
16-1-125	16-1-125
16-1-128	16-1-128
16-1-131	16-1-131
16-1-134	16-1-134
16-1-137	16-1-137
16-1-140	16-1-140
16-1-142	16-1-142
16-1-145	16-1-145
16-1-148	16-1-148
16-2-001	16-2-001
16-2-005	16-2-005
16-2-008	16-2-008
16-2-012	16-2-012
16-2-015	16-2-015
16-2-018	16-2-018
16-2-021	16-2-021
16-2-024	16-2-024
16-2-029	16-2-029
16-2-032	16-2-032
16-2-034	16-2-034
16-2-038	16-2-038
16-2-041	16-2-041
16-2-050	16-2-050
16-2-053	16-2-053
16-2-056	16-2-056
16-2-059	16-2-059
16-2-061	16-2-061
16-2-064	16-2-064
16-2-066	16-2-066
16-2-069	16-2-069
16-2-073	16-2-073
16-2-076	16-2-076
16-2-079	16-2-079
16-2-082	16-2-082
16-2-085	16-2-085
16-2-087	16-2-087
16-2-090	16-2-090
16-2-093	16-2-093
16-2-096	16-2-096
16-2-098	16-2-098
16-2-101	16-2-101
16-2-104	16-2-104
16-2-107	16-2-107
16-2-110	16-2-110
16-2-112	16-2-112
16-2-116	16-2-116
16-2-122	16-2-122
16-2-127	16-2-127
16-2-130	16-2-130
16-2-132	16-2-132
16-2-135	16-2-135
16-2-138	16-2-138
16-2-141	16-2-141
16-2-144	16-2-144
16-2-147	16-2-147
16-2-150	16-2-150
16-3-002	16-3-002
16-3-004	16-3-004
16-3-008	16-3-008
16-3-011	16-3-011
16-3-014	16-3-014
16-3-017	16-3-017
16-3-020	16-3-020
16-3-023	16-3-023
16-3-026	16-3-026
16-3-028	16-3-028
16-3-031	16-3-031
16-3-034	16-3-034
16-3-037	16-3-037
16-3-040	16-3-040
16-3-043	16-3-043
16-3-045	16-3-045
16-3-048	16-3-048
16-3-051	16-3-051
16-3-054	16-3-054
16-3-057	16-3-057
16-3-060	16-3-060
16-3-063	16-3-063
16-3-066	16-3-066
16-3-069	16-3-069
16-3-072	16-3-072
16-3-075	16-3-075
16-3-078	16-3-078
16-3-080	16-3-080
16-3-083	16-3-083
16-3-086	16-3-086
16-3-089	16-3-089
16-3-092	16-3-092
16-3-095	16-3-095
16-3-098	16-3-098
16-3-102	16-3-102
16-3-105	16-3-105
16-3-108	16-3-108
16-3-110	16-3-110
16-3-114	16-3-114
16-3-116	16-3-116
16-3-119	16-3-119
16-3-122	16-3-122
16-3-125	16-3-125
16-3-127	16-3-127
17-1-005	17-1-005
