tab	measurements
experiment	specimen	measurement	treat_step_num	citations	instrument_codes	method_codes	meas_field_ac	meas_freq	meas_temp	timestamp	susc_chi_qdr_volume	susc_chi_volume
IRM-Kappa-2352	CS914.001	IRM-Kappa-2352		This study	IRM-Kappa	LP-X	0.0003	920.0	295.0	2004-08-12T16:01:44Z		6.05e-06
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	1.0005760000000001	10.00051	2006-03-20T08:53:33Z	3.07e-08	8.99e-06
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	3.163809	10.00051	2006-03-20T08:53:33Z	3.2799999999999996e-08	8.99e-06
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	10.00747	10.00051	2006-03-20T08:53:33Z	2.29e-08	8.96e-06
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	31.62955	10.00051	2006-03-20T08:53:33Z	1.8700000000000002e-08	8.94e-06
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	100.0534	10.00051	2006-03-20T08:53:33Z	2.28e-08	8.93e-06
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	316.723	10.00051	2006-03-20T08:53:33Z	2.11e-08	8.9e-06
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	997.3405	10.00051	2006-03-20T08:53:33Z	-1.68e-10	8.85e-06
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	1.0005760000000001	19.995739999999998	2006-03-20T08:53:33Z	8.730000000000001e-08	9.13e-06
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	3.163809	19.995739999999998	2006-03-20T08:53:33Z	9.02e-08	9.05e-06
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	10.00747	19.995739999999998	2006-03-20T08:53:33Z	8.119999999999999e-08	8.98e-06
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	31.62955	19.995739999999998	2006-03-20T08:53:33Z	8.23e-08	8.91e-06
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	100.0534	19.995739999999998	2006-03-20T08:53:33Z	7.63e-08	8.86e-06
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	316.723	19.995739999999998	2006-03-20T08:53:33Z	6.43e-08	8.79e-06
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	997.3405	19.995739999999998	2006-03-20T08:53:33Z	9.540000000000001e-09	8.71e-06
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	1.0005760000000001	29.99965	2006-03-20T08:53:33Z	9.38e-08	9.77e-06
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	3.163809	29.99965	2006-03-20T08:53:33Z	1.12e-07	9.68e-06
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	10.00747	29.99965	2006-03-20T08:53:33Z	1.15e-07	9.6e-06
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	31.62955	29.99965	2006-03-20T08:53:33Z	1.1900000000000001e-07	9.49e-06
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	100.0534	29.99965	2006-03-20T08:53:33Z	1.29e-07	9.4e-06
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	316.723	29.99965	2006-03-20T08:53:33Z	1.28e-07	9.32e-06
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	997.3405	29.99965	2006-03-20T08:53:33Z	9.79e-08	9.17e-06
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	1.0005760000000001	40.00352	2006-03-20T08:53:33Z	6.530000000000001e-08	1.01e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	3.163809	40.00352	2006-03-20T08:53:33Z	7.26e-08	1e-05
IRM-OldBlue-1892	CS914.001	IRM-OldBlue-1892		This study	IRM-OldBlue	LP-X:LP-X-T:LP-X-F:LP-X-H	0.0003	10.00747	40.00352	2006-03-20T08:53:33Z	6.63e-08	9.96e-06
