tab 	specimens
citations	description	experiments	geologic_classes	geologic_types	hyst_bc	hyst_bc_offset	hyst_mr_mass	hyst_ms_mass	hyst_xhf	instrument_codes	lithologies	meas_orient_phi	meas_orient_theta	meas_temp	method_codes	rem_bcr	rem_hirm_mass	rem_mr_mass	rem_sratio	rem_sratio_back	result_quality	sample	specimen	volume	weight
This study		IRM-VSM3-18450	Extrusive	Lava Flow						IRM-VSM3	Rhyolitic Tuff	0	0	9.755	LP-IRM-DCD	0.0907	0.0001774	0.05185	0.212	0.1	g	CS914	CS914.001	0.00000009	0.00014
This study		IRM-VSM3-18451	Extrusive	Lava Flow						IRM-VSM3	Rhyolitic Tuff	0	0	14.932	LP-IRM-DCD	0.0871	0.0002244	0.05185	0.297	0.1	g	CS914	CS914.001	0.00000009	0.00014
This study		IRM-VSM3-18452	Extrusive	Lava Flow						IRM-VSM3	Rhyolitic Tuff	0	0	19.973	LP-IRM-DCD	0.0847	0.0003566	0.05138	0.365	0.1	g	CS914	CS914.001	0.00000009	0.00014
This study		IRM-VSM3-18453	Extrusive	Lava Flow						IRM-VSM3	Rhyolitic Tuff	0	0	24.999	LP-IRM-DCD	0.0821	0.0002822	0.05082	0.429	0.1	g	CS914	CS914.001	0.00000009	0.00014
This study		IRM-VSM3-18454	Extrusive	Lava Flow						IRM-VSM3	Rhyolitic Tuff	0	0	30.02	LP-IRM-DCD	0.0799	0.0001683	0.05022	0.491	0.1	g	CS914	CS914.001	0.00000009	0.00014
This study		IRM-VSM3-18455	Extrusive	Lava Flow						IRM-VSM3	Rhyolitic Tuff	0	0	35.032	LP-IRM-DCD	0.0777	0.0001202	0.04968	0.551	0.1	g	CS914	CS914.001	0.00000009	0.00014
This study		IRM-VSM3-18456	Extrusive	Lava Flow						IRM-VSM3	Rhyolitic Tuff	0	0	40.027	LP-IRM-DCD	0.0756	0.0001427	0.0492	0.601	0.1	g	CS914	CS914.001	0.00000009	0.00014
This study		IRM-VSM3-18457	Extrusive	Lava Flow						IRM-VSM3	Rhyolitic Tuff	0	0	45.021	LP-IRM-DCD	0.074	0.0003219	0.0501	0.645	0.1	g	CS914	CS914.001	0.00000009	0.00014
This study		IRM-VSM3-18458	Extrusive	Lava Flow						IRM-VSM3	Rhyolitic Tuff	0	0	50.045	LP-IRM-DCD	0.0721	0.0001941	0.04958	0.693	0.1	g	CS914	CS914.001	0.00000009	0.00014
This study		IRM-VSM3-18459	Extrusive	Lava Flow						IRM-VSM3	Rhyolitic Tuff	0	0	55.06	LP-IRM-DCD	0.0703	0.0001908	0.04918	0.736	0.1	g	CS914	CS914.001	0.00000009	0.00014
