tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	magn_moment	citations	instrument_codes	method_codes	quality	sequence	standard	meas_temp	analysts	description	software_packages
ns034b1:LP-DIR-T1	ns034b1:LP-DIR-T	ns034b1	0.7	265.9	44.6	0	0	0	0	1	2.730e+02	 1.005e-05	This study		LT-NO:LP-DIR-T	g	0	u	2.730e+02			pmagpy-3.21.0
ns034b1:LP-DIR-T2	ns034b1:LP-DIR-T	ns034b1	0.6	264.4	45.5	0	0	0	0	2	3.730e+02	 1.007e-05	This study		LT-T-Z:LP-DIR-T	g	1	u	2.730e+02			pmagpy-3.21.0
ns034b1:LP-DIR-T3	ns034b1:LP-DIR-T	ns034b1	0.6	266.2	44.0	0	0	0	0	3	4.730e+02	 9.735e-06	This study		LT-T-Z:LP-DIR-T	g	2	u	2.730e+02			pmagpy-3.21.0
ns034b1:LP-DIR-T4	ns034b1:LP-DIR-T	ns034b1	0.6	266.9	43.6	0	0	0	0	4	5.730e+02	 9.387e-06	This study		LT-T-Z:LP-DIR-T	g	3	u	2.730e+02			pmagpy-3.21.0
ns034b1:LP-DIR-T5	ns034b1:LP-DIR-T	ns034b1	0.6	266.9	43.7	0	0	0	0	5	6.230e+02	 8.991e-06	This study		LT-T-Z:LP-DIR-T	g	4	u	2.730e+02			pmagpy-3.21.0
ns034b1:LP-DIR-T6	ns034b1:LP-DIR-T	ns034b1	0.6	266.8	43.3	0	0	0	0	6	6.730e+02	 8.559e-06	This study		LT-T-Z:LP-DIR-T	g	5	u	2.730e+02			pmagpy-3.21.0
ns034b1:LP-DIR-T7	ns034b1:LP-DIR-T	ns034b1	0.7	266.8	43.9	0	0	0	0	7	7.230e+02	 8.032e-06	This study		LT-T-Z:LP-DIR-T	g	6	u	2.730e+02			pmagpy-3.21.0
ns034b1:LP-DIR-T8	ns034b1:LP-DIR-T	ns034b1	0.7	265.9	45.2	0	0	0	0	8	7.730e+02	 7.294e-06	This study		LT-T-Z:LP-DIR-T	g	7	u	2.730e+02			pmagpy-3.21.0
ns034b1:LP-DIR-T9	ns034b1:LP-DIR-T	ns034b1	0.6	266.1	44.5	0	0	0	0	9	8.230e+02	 4.941e-06	This study		LT-T-Z:LP-DIR-T	g	8	u	2.730e+02			pmagpy-3.21.0
ns034b1:LP-DIR-T10	ns034b1:LP-DIR-T	ns034b1	0.7	267.9	43.3	0	0	0	0	10	8.480e+02	 2.498e-06	This study		LT-T-Z:LP-DIR-T	g	9	u	2.730e+02			pmagpy-3.21.0
