Sample ID	Meas. type	Treatment Type	AF X	AF Y	AF Z	Temp C	Declination: Unrotated	Inclination: Unrotated	Declination: Sample Rotated	Inclination: Sample Rotated	Declination: Formation Rotated	Inclination: Formation Rotated	Intensity	MS corr	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	X mean	Y mean	Z mean	X corr	Y corr	Z corr	X drift	Y drift	Z drift	Depth	IRM Gauss	ARM Gauss	ARM axis	Volume
BI1401.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	20.00	318.65	5.12	348.20	-39.26	348.20	-39.26	7.6509E-7	NA	46.40	26.00	0.00	0.00	5.4509E-6	-5.0538E-6	7.0686E-7	5.7202E-6	-5.0348E-6	6.8320E-7	-7.5541E-8	2.0473E-7	1.1233E-7	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	2.0799E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	57.00	324.81	5.66	354.22	-43.45	354.22	-43.45	7.4348E-7	NA	46.40	26.00	0.00	0.00	5.8953E-6	-4.2855E-6	7.1162E-7	6.0462E-6	-4.2640E-6	7.3362E-7	4.2858E-8	2.0218E-7	6.6678E-8	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	3.0398E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	80.00	324.53	-1.44	346.36	-47.97	346.36	-47.97	6.3448E-7	NA	46.40	26.00	0.00	0.00	5.3788E-6	-3.7223E-6	6.8102E-7	5.1658E-6	-3.6804E-6	-1.5931E-7	2.2397E-8	2.0292E-7	5.7914E-8	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4.0000E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	110.00	316.06	8.22	349.10	-35.31	349.10	-35.31	6.3466E-7	NA	46.40	26.00	0.00	0.00	4.0671E-6	-4.7109E-6	7.0822E-7	4.5233E-6	-4.3585E-6	9.0701E-7	-1.2232E-7	-9.1338E-8	7.6708E-8	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	6.9200E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	140.00	323.33	8.18	355.24	-40.64	355.24	-40.64	5.6926E-7	NA	46.40	26.00	0.00	0.00	4.1368E-6	-3.3962E-6	5.8735E-7	4.5198E-6	-3.3648E-6	8.0953E-7	-4.9134E-8	2.2966E-7	5.3322E-8	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4.9601E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
