22
NAME	SIZE	CC	GM	CA	CP	DA	DP	O	FA	FP	MD	TIME             	COMMENT
3B	10	1	0	257	31	76	50	0	0	0	0	May 31 2018 12:42	
# 	DEMAG  	CD   	CI   	ISD  	ISI  	RD   	RI   	M        	J        	
1	NRM	12.2	28.6	269.3	-29.2	268.3	19.7	4.647e-05	4.647e-06	May 31 2018 12:43	
2	100C	16.7	29.0	273.5	-27.9	272.5	20.2	4.635e-05	4.635e-06	Jun 18 2018 12:56	
3	150C	15.8	29.0	272.7	-28.1	271.7	20.1	4.607e-05	4.607e-06	Jun 18 2018 15:15	
4	200C	15.7	28.5	272.7	-28.6	271.6	19.7	4.654e-05	4.654e-06	Jun 19 2018 11:39	
5	250C	11.5	27.1	268.9	-30.9	267.6	18.1	4.772e-05	4.772e-06	Jun 19 2018 14:32	
6	300C	7.9	25.8	265.4	-32.7	264.3	16.7	4.905e-05	4.905e-06	Jun 20 2018 10:26	
7	300C	3.6	19.2	261.4	-39.6	260.2	10.2	5.133e-05	5.133e-06	Jun 21 2018 13:50	
8	335C	2.1	18.4	259.6	-40.5	258.8	9.4	5.158e-05	5.158e-06	Jun 22 2018 12:24	
9	370C	4.3	17.2	262.5	-41.6	260.9	8.1	5.181e-05	5.181e-06	Jun 25 2018 11:18	
10	400C	358.9	16.6	255.6	-42.4	255.7	7.6	5.152e-05	5.152e-06	Jun 25 2018 15:22	
11	425C	3.0	15.8	261.0	-43.1	259.7	6.8	5.136e-05	5.136e-06	Jun 26 2018 11:53	
12	465C	358.6	14.9	255.1	-44.1	255.3	5.9	5.180e-05	5.180e-06	Jun 27 2018 10:20	
13	505C	357.8	14.0	254.0	-44.9	254.6	5.1	5.186e-05	5.186e-06	Jun 27 2018 15:25	
14	540C	355.1	13.5	250.3	-45.2	252.0	4.6	5.220e-05	5.220e-06	Jun 28 2018 13:59	
15	570C	356.2	12.8	251.7	-46.1	253.0	3.8	5.240e-05	5.240e-06	Jun 29 2018 14:28	
16	600C	355.7	13.2	251.0	-45.6	252.5	4.3	5.292e-05	5.292e-06	Jul 02 2018 11:14	
17	620C	349.3	12.4	242.0	-45.4	246.2	3.7	5.277e-05	5.277e-06	Jul 02 2018 15:05	
18	640C	352.5	13.2	246.7	-45.2	249.4	4.3	5.440e-05	5.440e-06	Jul 03 2018 13:03	
19	660C	354.3	12.5	249.0	-46.1	251.2	3.6	5.047e-05	5.047e-06	Jul 05 2018 11:31	
20	670C	351.2	12.2	244.6	-46.0	248.1	3.4	4.124e-05	4.124e-06	Jul 05 2018 15:19	
21	680C	347.9	10.0	239.3	-47.4	244.8	1.4	4.052e-05	4.052e-06	Jul 06 2018 14:37	
22	690C	357.8	5.6	253.4	-53.4	254.4	-3.4	1.629e-05	1.629e-06	Jul 09 2018 12:22	
