tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
PI47-1a_LP-DIR-T0	PI47-1a_LP-DIR-T	PI47-1a	    2.1	203.3	 41.9 	0	0	0.00	0.00	0	273	This study	hargrave 2015-09-16 18:20:04	LT-NO:LP-DIR-T	g	0	u	8	273			pmagpy-4.2.19	9.06e-08	8.88e-10	2.81e-09	1.79e-09
PI47-1a_LP-DIR-T1	PI47-1a_LP-DIR-T	PI47-1a	    1.4	201.2	 41.9 	0	0	0.00	0.00	1	  323.0	This study	hargrave 2015-09-19 18:28:49	LT-T-Z:LP-DIR-T	g	1	u	8	273			pmagpy-4.2.19	9.00e-08	1.18e-09	6.94e-10	1.82e-09
PI47-1a_LP-DIR-T2	PI47-1a_LP-DIR-T	PI47-1a	    0.7	203.4	 42.0 	0	0	0.00	0.00	2	  348.0	This study	hargrave 2015-09-21 22:10:27	LT-T-Z:LP-DIR-T	g	2	u	8	273			pmagpy-4.2.19	8.88e-08	6.42e-10	8.78e-10	1.21e-09
PI47-1a_LP-DIR-T3	PI47-1a_LP-DIR-T	PI47-1a	    0.9	203.6	 40.9 	0	0	0.00	0.00	3	  373.0	This study	hargrave 2015-09-24 09:44:17	LT-T-Z:LP-DIR-T	g	3	u	8	273			pmagpy-4.2.19	8.61e-08	5.32e-10	1.11e-09	1.28e-09
PI47-1a_LP-DIR-T4	PI47-1a_LP-DIR-T	PI47-1a	    1.4	203.0	 39.7 	0	0	0.00	0.00	4	  398.0	This study	hargrave 2015-09-24 15:41:04	LT-T-Z:LP-DIR-T	g	4	u	8	273			pmagpy-4.2.19	8.19e-08	8.28e-10	1.48e-09	1.46e-09
PI47-1a_LP-DIR-T5	PI47-1a_LP-DIR-T	PI47-1a	    1.3	206.0	 37.1 	0	0	0.00	0.00	5	  423.0	This study	hargrave 2015-09-25 12:24:04	LT-T-Z:LP-DIR-T	g	5	u	8	273			pmagpy-4.2.19	7.78e-08	5.49e-10	1.04e-09	1.50e-09
PI47-1a_LP-DIR-T6	PI47-1a_LP-DIR-T	PI47-1a	    2.9	205.6	 35.3 	0	0	0.00	0.00	6	  448.0	This study	hargrave 2015-09-26 13:44:45	LT-T-Z:LP-DIR-T	g	6	u	8	273			pmagpy-4.2.19	7.32e-08	1.72e-09	3.17e-09	1.44e-09
PI47-1a_LP-DIR-T7	PI47-1a_LP-DIR-T	PI47-1a	    1.3	208.6	 35.0 	0	0	0.00	0.00	7	  473.0	This study	hargrave 2015-09-26 19:45:54	LT-T-Z:LP-DIR-T	g	7	u	8	273			pmagpy-4.2.19	7.21e-08	1.15e-09	1.12e-09	1.12e-09
PI47-1a_LP-DIR-T8	PI47-1a_LP-DIR-T	PI47-1a	    1.7	210.7	 34.5 	0	0	0.00	0.00	8	  498.0	This study	hargrave 2015-09-28 19:36:54	LT-T-Z:LP-DIR-T	g	8	u	8	273			pmagpy-4.2.19	6.96e-08	9.62e-10	1.39e-09	1.45e-09
PI47-1a_LP-DIR-T9	PI47-1a_LP-DIR-T	PI47-1a	    1.3	207.6	 34.5 	0	0	0.00	0.00	9	  523.0	This study	hargrave 2015-10-01 11:55:36	LT-T-Z:LP-DIR-T	g	9	u	8	273			pmagpy-4.2.19	6.93e-08	5.14e-10	7.40e-10	1.56e-09
PI47-1a_LP-DIR-T10	PI47-1a_LP-DIR-T	PI47-1a	    1.8	208.0	 34.4 	0	0	0.00	0.00	10	  548.0	This study	hargrave 2015-10-05 18:47:53	LT-T-Z:LP-DIR-T	g	10	u	8	273			pmagpy-4.2.19	6.74e-08	6.64e-10	1.37e-09	1.66e-09
PI47-1a_LP-DIR-T11	PI47-1a_LP-DIR-T	PI47-1a	    1.1	208.1	 34.1 	0	0	0.00	0.00	11	  573.0	This study	hargrave 2015-10-06 02:23:03	LT-T-Z:LP-DIR-T	g	11	u	8	273			pmagpy-4.2.19	6.45e-08	4.03e-10	4.30e-10	1.41e-09
PI47-1a_LP-DIR-T12	PI47-1a_LP-DIR-T	PI47-1a	    2.2	208.6	 33.8 	0	0	0.00	0.00	12	  598.0	This study	hargrave 2015-10-06 06:58:08	LT-T-Z:LP-DIR-T	g	12	u	8	273			pmagpy-4.2.19	6.18e-08	1.12e-09	1.68e-09	1.44e-09
PI47-1a_LP-DIR-T13	PI47-1a_LP-DIR-T	PI47-1a	    1.7	208.6	 33.6 	0	0	0.00	0.00	13	  623.0	This study	hargrave 2015-10-06 12:44:02	LT-T-Z:LP-DIR-T	g	13	u	8	273			pmagpy-4.2.19	5.74e-08	7.87e-10	1.82e-10	1.62e-09
PI47-1a_LP-DIR-T14	PI47-1a_LP-DIR-T	PI47-1a	    3.4	207.5	 33.0 	0	0	0.00	0.00	14	  648.0	This study	hargrave 2015-10-08 13:19:09	LT-T-Z:LP-DIR-T	g	14	u	8	273			pmagpy-4.2.19	5.42e-08	1.49e-09	2.60e-09	1.40e-09
PI47-1a_LP-DIR-T15	PI47-1a_LP-DIR-T	PI47-1a	    1.6	209.2	 32.5 	0	0	0.00	0.00	15	  673.0	This study	hargrave 2015-10-10 16:22:00	LT-T-Z:LP-DIR-T	g	15	u	8	273			pmagpy-4.2.19	4.96e-08	4.97e-10	4.92e-10	1.41e-09
