"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CSF-B (m)","Demag level (mT)","Inclination background & tray corrected (deg)","Declination background & tray corrected (deg)","Intensity background & tray corrected (A/m)","Inclination raw (deg)","Declination raw (deg)","Intensity raw (A/m)","Magnetic moment x (Am²)","Magnetic moment y (Am²)","Magnetic moment z (Am²)","Sample orientation","Raw data","Timestamp (UTC)","Instrument","Text ID","Test No.","Comments",
"312","U1256","D","222","R","2","A","-0.0","1446.100","1446.100","0","12.8","255.3","0.057168","12.8","255.3","0.057188","-1.3413E-6","-5.2181E-6","1.963E-6","Single Line","10019621","2011-04-18 22:18:26","SRM","SHLF3196121","24276721","",
"312","U1256","D","222","R","2","A","2.0","1446.120","1446.120","0","82.1","275.9","0.027159","82","275.8","0.027164","3.6280E-8","-3.6350E-7","4.160E-6","","","2011-04-18 22:18:26","SRM","SHLF3196121","24276721","",
"312","U1256","D","222","R","2","A","4.0","1446.140","1446.140","0","25.3","74","0.12049","25.3","74","0.12047","2.8414E-6","1.0131E-5","7.959E-6","","","2011-04-18 22:18:26","SRM","SHLF3196121","24276721","",
"312","U1256","D","222","R","2","A","6.0","1446.160","1446.160","0","18.2","74.9","0.27559","18.2","74.9","0.27556","6.4530E-6","2.4454E-5","1.332E-5","","","2011-04-18 22:18:26","SRM","SHLF3196121","24276721","",
"312","U1256","D","222","R","2","A","8.0","1446.180","1446.180","0","16.8","75.2","0.42058","16.8","75.2","0.42055","9.7248E-6","3.7662E-5","1.881E-5","","","2011-04-18 22:18:26","SRM","SHLF3196121","24276721","",
"312","U1256","D","222","R","2","A","10.0","1446.200","1446.200","0","16.7","75.6","0.50988","16.7","75.6","0.50983","1.1501E-5","4.5764E-5","2.266E-5","","","2011-04-18 22:18:26","SRM","SHLF3196121","24276721","",
"312","U1256","D","222","R","2","A","12.0","1446.220","1446.220","0","17","76.7","0.53906","17","76.7","0.53901","1.1242E-5","4.8530E-5","2.439E-5","","","2011-04-18 22:18:26","SRM","SHLF3196121","24276721","",
"312","U1256","D","222","R","2","A","14.0","1446.240","1446.240","0","17.8","77.6","0.51804","17.8","77.6","0.51799","1.0004E-5","4.6623E-5","2.444E-5","","","2011-04-18 22:18:26","SRM","SHLF3196121","24276721","",
"312","U1256","D","222","R","2","A","16.0","1446.260","1446.260","0","18.8","78.5","0.46561","18.8","78.5","0.46556","8.3226E-6","4.1778E-5","2.324E-5","","","2011-04-18 22:18:26","SRM","SHLF3196121","24276721","",
"312","U1256","D","222","R","2","A","18.0","1446.280","1446.280","0","20.1","79.3","0.40238","20.1","79.3","0.40232","6.6092E-6","3.5924E-5","2.140E-5","","","2011-04-18 22:18:26","SRM","SHLF3196121","24276721","",
