"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CSF-B (m)","Demag level (mT)","Inclination background & tray corrected (deg)","Declination background & tray corrected (deg)","Intensity background & tray corrected (A/m)","Inclination raw (deg)","Declination raw (deg)","Intensity raw (A/m)","Magnetic moment x (Am²)","Magnetic moment y (Am²)","Magnetic moment z (Am²)","Treatment type","Treatment Value (mT or °C)","Sample orientation","Sample type","Sample length (cm)","Sample volume (cm³)","Raw data","Timestamp (UTC)","Instrument","Text ID","Test No.","Comments",
"344","U1414","A","1","H","2","","37.0","0.980","0.975","0","61","162.4","0.075111","61","162.5","0.075114","-2.7797E-7","8.7514E-8","5.255E-7","","","Double Lines","OTHR","2.0","8","20736591","2012-12-07 11:04:05","SRM","OTHR4461821","42768881","",
"344","U1414","A","1","H","2","","37.0","0.980","0.975","0","20.9","161.2","0.03596","20.9","161.3","0.035972","-2.5454E-7","8.6381E-8","1.028E-7","Alternating Frequency Demagnetization","5","Double Lines","OTHR","2.0","8","20736651","2012-12-07 11:04:19","SRM","OTHR4461821","42768951","",
"344","U1414","A","1","H","2","","37.0","0.980","0.975","0","19.3","158.5","0.028268","19.3","158.6","0.028279","-1.9881E-7","7.7819E-8","7.482E-8","Alternating Frequency Demagnetization","10","Double Lines","OTHR","2.0","8","20736731","2012-12-07 11:04:38","SRM","OTHR4461821","42769021","",
"344","U1414","A","1","H","2","","37.0","0.980","0.975","0","17.7","158.6","0.024452","17.7","158.7","0.024454","-1.7365E-7","6.7657E-8","5.949E-8","Alternating Frequency Demagnetization","15","Double Lines","OTHR","2.0","8","20736791","2012-12-07 11:04:52","SRM","OTHR4461821","42769081","",
"344","U1414","A","1","H","2","","37.0","0.980","0.975","0","18.2","156.1","0.019065","18.2","156.3","0.019067","-1.3269E-7","5.8155E-8","4.772E-8","Alternating Frequency Demagnetization","20","Double Lines","OTHR","2.0","8","20736871","2012-12-07 11:05:08","SRM","OTHR4461821","42769171","",
"344","U1414","A","1","H","2","","37.0","0.980","0.975","0","19.7","156.8","0.016569","19.7","156.9","0.016535","-1.1459E-7","4.8763E-8","4.460E-8","Alternating Frequency Demagnetization","25","Double Lines","OTHR","2.0","8","20736931","2012-12-07 11:05:24","SRM","OTHR4461821","42769231","",
"344","U1414","A","1","H","2","","37.0","0.980","0.975","0","14.6","157","0.013994","14.7","157.1","0.013946","-9.9394E-8","4.2077E-8","2.824E-8","Alternating Frequency Demagnetization","30","Double Lines","OTHR","2.0","8","20737011","2012-12-07 11:05:40","SRM","OTHR4461821","42769301","",
"344","U1414","A","1","H","2","","37.0","0.980","0.975","0","14.2","155.4","0.0085837","13.9","155.6","0.0085467","-6.0424E-8","2.7445E-8","1.645E-8","Alternating Frequency Demagnetization","40","Double Lines","OTHR","2.0","8","20737081","2012-12-07 11:05:52","SRM","OTHR4461821","42769371","",
"344","U1414","A","1","H","2","","37.0","0.980","0.975","0","5.5","150.1","0.003337","4.7","151","0.0033402","-2.3292E-8","1.2911E-8","2.200E-9","Alternating Frequency Demagnetization","60","Double Lines","OTHR","2.0","8","20737151","2012-12-07 11:06:08","SRM","OTHR4461821","42769441","",
"344","U1414","A","1","H","2","","37.0","0.980","0.975","0","-47","105.5","0.0011092","-49.6","108.9","0.0011214","-1.8880E-9","5.4994E-9","-6.831E-9","Alternating Frequency Demagnetization","80","Double Lines","OTHR","2.0","8","20737211","2012-12-07 11:06:21","SRM","OTHR4461821","42769511","",
"344","U1414","A","1","H","2","","37.0","0.980","0.975","0","-48.4","17.2","0.0012196","-51.4","15","0.0012225","5.8994E-9","1.5771E-9","-7.639E-9","Alternating Frequency Demagnetization","100","Double Lines","OTHR","2.0","8","20737291","2012-12-07 11:06:37","SRM","OTHR4461821","42769581","",
"344","U1414","A","1","H","2","","37.0","0.980","0.975","0","-48.2","17.9","0.0014912","-50.5","16","0.0014955","7.3137E-9","2.1011E-9","-9.232E-9","Alternating Frequency Demagnetization","120","Double Lines","OTHR","2.0","8","20737361","2012-12-07 11:06:51","SRM","OTHR4461821","42769651","",
"344","U1414","A","2","H","3","W","41.0","5.130","4.984","0","80.9","245.9","0.042063","80.8","245.6","0.041997","-2.2053E-8","-4.8686E-8","3.317E-7","","","Double Lines","OTHR","2.0","8","20761371","2012-12-09 11:08:09","SRM","OTHR4464131","42988461","",
"344","U1414","A","2","H","3","W","41.0","5.130","4.984","0","42.3","329.7","0.0063248","42","329.4","0.0062519","3.1991E-8","-1.8905E-8","3.348E-8","Alternating Frequency Demagnetization","5","Double Lines","OTHR","2.0","8","20761431","2012-12-09 11:08:42","SRM","OTHR4464131","42988521","",
"344","U1414","A","2","H","3","W","41.0","5.130","4.984","0","25.9","338.3","0.0046136","28.1","337.3","0.0044979","2.9287E-8","-1.2268E-8","1.693E-8","Alternating Frequency Demagnetization","10","Double Lines","OTHR","2.0","8","20761501","2012-12-09 11:09:26","SRM","OTHR4464131","42988591","",
"344","U1414","A","2","H","3","W","41.0","5.130","4.984","0","13.3","334.1","0.0025558","11","333.7","0.0024985","1.7599E-8","-8.6817E-9","3.801E-9","Alternating Frequency Demagnetization","15","Double Lines","OTHR","2.0","8","20761581","2012-12-09 11:10:01","SRM","OTHR4464131","42988671","",
"344","U1414","A","2","H","3","W","41.0","5.130","4.984","0","13.8","331.2","0.0020486","12.1","330.7","0.0020049","1.3671E-8","-7.6853E-9","3.361E-9","Alternating Frequency Demagnetization","20","Double Lines","OTHR","2.0","8","20761641","2012-12-09 11:10:24","SRM","OTHR4464131","42988731","",
"344","U1414","A","2","H","3","W","41.0","5.130","4.984","0","18.7","332.9","0.0014205","16.2","332.4","0.001378","9.3802E-9","-4.9103E-9","3.072E-9","Alternating Frequency Demagnetization","25","Double Lines","OTHR","2.0","8","20761711","2012-12-09 11:10:58","SRM","OTHR4464131","42988801","",
"344","U1414","A","2","H","3","W","41.0","5.130","4.984","0","14.1","327","0.00096007","10.6","325.6","0.00091158","5.9112E-9","-4.0546E-9","1.342E-9","Alternating Frequency Demagnetization","30","Double Lines","OTHR","2.0","8","20761781","2012-12-09 11:11:36","SRM","OTHR4464131","42988871","",
"344","U1414","A","2","H","3","W","41.0","5.130","4.984","0","1.3","344.3","0.00043516","-8.4","343","0.00040441","3.0610E-9","-9.3519E-10","-4.725E-10","Alternating Frequency Demagnetization","40","Double Lines","OTHR","2.0","8","20761851","2012-12-09 11:12:14","SRM","OTHR4464131","42988941","",
"344","U1414","A","2","H","3","W","41.0","5.130","4.984","0","-52.2","209.9","0.00012529","-55.2","195.8","0.00020036","-8.8093E-10","-2.4853E-10","-1.316E-9","Alternating Frequency Demagnetization","60","Double Lines","OTHR","2.0","8","20761921","2012-12-09 11:12:43","SRM","OTHR4464131","42989011","",
"344","U1414","A","2","H","3","W","41.0","5.130","4.984","0","-8.6","158.8","0.0001434","-26.2","160.5","0.00020453","-1.3834E-9","4.9095E-10","-7.229E-10","Alternating Frequency Demagnetization","80","Double Lines","OTHR","2.0","8","20762001","2012-12-09 11:13:20","SRM","OTHR4464131","42989081","",
"344","U1414","A","2","H","3","W","41.0","5.130","4.984","0","-55.8","154.6","0.00016718","-58.6","161.1","0.00024096","-9.5154E-10","3.2526E-10","-1.645E-9","Alternating Frequency Demagnetization","100","Double Lines","OTHR","2.0","8","20762081","2012-12-09 11:13:48","SRM","OTHR4464131","42989161","",
"344","U1414","A","2","H","3","W","41.0","5.130","4.984","0","-26.2","179.3","0.00027082","-34.2","179.4","0.0003343","-2.2110E-9","2.4742E-11","-1.505E-9","Alternating Frequency Demagnetization","120","Double Lines","OTHR","2.0","8","20762141","2012-12-09 11:14:19","SRM","OTHR4464131","42989221","",
"344","U1414","A","3","H","1","W","88.0","12.280","12.229","0","73.6","104.2","0.0023083","75.6","103","0.0022834","-1.0273E-9","4.4333E-9","1.769E-8","","","Double Lines","OTHR","2.0","8","20735711","2012-12-07 11:00:16","SRM","OTHR4465481","42763701","",
"344","U1414","A","3","H","1","W","88.0","12.280","12.229","0","46.5","83.6","0.00042748","53.7","70.4","0.00038487","6.1055E-10","1.7166E-9","2.482E-9","Alternating Frequency Demagnetization","5","Double Lines","OTHR","2.0","8","20735781","2012-12-07 11:00:33","SRM","OTHR4465481","42764051","",
"344","U1414","A","3","H","1","W","88.0","12.280","12.229","0","35.4","73.7","0.00024382","45.6","53.3","0.00019672","6.5817E-10","8.8348E-10","1.124E-9","Alternating Frequency Demagnetization","10","Double Lines","OTHR","2.0","8","20735851","2012-12-07 11:01:01","SRM","OTHR4465481","42765231","",
"344","U1414","A","3","H","1","W","88.0","12.280","12.229","0","40.1","54.6","0.0002029","51.2","28.6","0.00015726","6.9210E-10","3.7780E-10","9.804E-10","Alternating Frequency Demagnetization","15","Double Lines","OTHR","2.0","8","20735921","2012-12-07 11:01:21","SRM","OTHR4465481","42766111","",
"344","U1414","A","3","H","1","W","88.0","12.280","12.229","0","66.6","15.9","0.00011534","42.5","301.3","0.00015331","4.6961E-10","-7.7312E-10","8.283E-10","Alternating Frequency Demagnetization","20","Double Lines","OTHR","2.0","8","20735981","2012-12-07 11:01:36","SRM","OTHR4465481","42766811","",
"344","U1414","A","3","H","1","W","88.0","12.280","12.229","0","75","189.1","0.00014823","57.7","258.1","0.00016268","-1.4340E-10","-6.8082E-10","1.100E-9","Alternating Frequency Demagnetization","25","Double Lines","OTHR","2.0","8","20736061","2012-12-07 11:02:00","SRM","OTHR4465481","42767501","",
"344","U1414","A","3","H","1","W","88.0","12.280","12.229","0","27.7","174.5","0.00030312","32.1","193.3","0.00026646","-1.7575E-9","-4.1700E-10","1.132E-9","Alternating Frequency Demagnetization","30","Double Lines","OTHR","2.0","8","20736121","2012-12-07 11:02:17","SRM","OTHR4465481","42767841","",
"344","U1414","A","3","H","1","W","88.0","12.280","12.229","0","52","263.6","0.00009788","23","271.6","0.00018586","3.8040E-11","-1.3683E-9","5.806E-10","Alternating Frequency Demagnetization","40","Double Lines","OTHR","2.0","8","20736241","2012-12-07 11:02:42","SRM","OTHR4465481","42768361","",
"344","U1414","A","3","H","1","W","88.0","12.280","12.229","0","52.5","207.1","0.0000839","30.4","256.5","0.00012252","-1.9759E-10","-8.2205E-10","4.959E-10","Alternating Frequency Demagnetization","60","Double Lines","OTHR","2.0","8","20736331","2012-12-07 11:02:58","SRM","OTHR4465481","42768621","",
"344","U1414","A","3","H","1","W","88.0","12.280","12.229","0","5.8","248.5","0.0001087","1","261.1","0.00023439","-2.8981E-10","-1.8523E-9","3.197E-11","Alternating Frequency Demagnetization","80","Double Lines","OTHR","2.0","8","20736401","2012-12-07 11:03:18","SRM","OTHR4465481","42768691","",
"344","U1414","A","3","H","1","W","88.0","12.280","12.229","0","-9.3","259.1","0.00005576","-6.4","273.8","0.00013335","7.0606E-11","-1.0578E-9","-1.189E-10","Alternating Frequency Demagnetization","100","Double Lines","OTHR","2.0","8","20736481","2012-12-07 11:03:41","SRM","OTHR4465481","42768771","",
"344","U1414","A","3","H","1","W","88.0","12.280","12.229","0","32.3","217.4","0.00005731","13.9","259.7","0.00011407","-1.5791E-10","-8.7181E-10","2.187E-10","Alternating Frequency Demagnetization","120","Double Lines","OTHR","2.0","8","20736541","2012-12-07 11:03:53","SRM","OTHR4465481","42768821","",
"344","U1414","A","3","H","4","W","91.0","16.540","16.240","0","80.2","60.7","0.0016102","81.3","42.2","0.0015573","1.4025E-9","1.2713E-9","1.231E-8","","","Double Lines","OTHR","2.0","8","20761361","2012-12-09 11:08:12","SRM","OTHR4465581","42988451","",
"344","U1414","A","3","H","4","W","91.0","16.540","16.240","0","-18.2","85.1","0.00052719","-25.9","79.4","0.00047959","6.3354E-10","3.3916E-9","-1.678E-9","Alternating Frequency Demagnetization","5","Double Lines","OTHR","2.0","8","20761441","2012-12-09 11:08:47","SRM","OTHR4465581","42988531","",
"344","U1414","A","3","H","4","W","91.0","16.540","16.240","0","29.2","21.4","0.0011003","45.4","22.3","0.0010668","5.5461E-9","2.2765E-9","6.073E-9","Alternating Frequency Demagnetization","10","Double Lines","OTHR","2.0","8","20761521","2012-12-09 11:09:39","SRM","OTHR4465581","42988601","",
"344","U1414","A","3","H","4","W","91.0","16.540","16.240","0","-25.1","130.2","0.00037748","-46.9","133.3","0.00037662","-1.4116E-9","1.4990E-9","-2.200E-9","Alternating Frequency Demagnetization","15","Double Lines","OTHR","2.0","8","20761571","2012-12-09 11:10:01","SRM","OTHR4465581","42988661","",
"344","U1414","A","3","H","4","W","91.0","16.540","16.240","0","-28","111.5","0.00033266","-44.5","105.7","0.00028968","-4.4827E-10","1.5913E-9","-1.624E-9","Alternating Frequency Demagnetization","20","Double Lines","OTHR","2.0","8","20761651","2012-12-09 11:10:30","SRM","OTHR4465581","42988741","",
"344","U1414","A","3","H","4","W","91.0","16.540","16.240","0","-33.4","125.2","0.00031825","-53.2","121.4","0.00028144","-7.0250E-10","1.1520E-9","-1.802E-9","Alternating Frequency Demagnetization","25","Double Lines","OTHR","2.0","8","20761721","2012-12-09 11:11:02","SRM","OTHR4465581","42988811","",
