Label Id,Exp,Site,Hole,Core,Core Type,Section,Section Half,Interval Top (cm) on SECT, Interval Bot (cm) on SECT,CSF-A Top (m),CSF-A Bot (m),CSF-B Top (m),CSF-B Bot (m),Demag level (mT),Inclination background + tray corrected  (°),Declination background + tray corrected (°),Intensity background + tray corrected  (A/m),Inclination (Tray-corrected) (°),Inclination raw (°),Declination (Tray-corrected) (°),Declination raw (°),Intensity raw  (A/m),Intensity (Tray-corrected) (A/m),Magnetic moment x (Am<sup>2</sup>),Inclination (Background-corrected) (°),Magnetic moment y (Am<sup>2</sup>),Declination (Background-corrected) (°),Magnetic moment z (Am<sup>2</sup>),Intensity (Background-corrected) (A/m),Standard Deviation (X) (Am<sup>2</sup>),Standard Deviation (Y) (Am<sup>2</sup>),Standard Deviation (Z) (Am<sup>2</sup>),Measurement Timestamp (X),Measurement Timestamp (Y),Measurement Timestamp (Z),Last Tray Measurement,Sample Area (cm²),Measurement Interval (cm),Background Iterations,Measurement Iterations,Treatment Type,Treatment value<br> (mT or °C),SRM ASMAN ID,Run Number,comment,comments,Sample orientation,Instrument,Text Id,Test Location,Test Changed On,Test Entered By
318-U1359B-3H-2-A,318,U1359,B,3,H,2,A,0.00,0.00,18.7000,18.7000,18.7,18.7,"0","69.2","22.6","0.027649","69.2","69.1","22.6","22.6","0.02765","0.027649","8.596E-7","69.1","3.665E-7","22.6","3.996E-6","0.02765","0","0","0","3348648108","3348648108","3348648108","Core_tray_2010-02-10-2100.txt 02/10/2010 09:59:28.000","15.59","5","4","1","","","6213601","3348648057.953375","","",Single Line,SRM,SHLF2161631,,02/10/2010 12:07,TAUXE
318-U1359B-3H-2-A,318,U1359,B,3,H,2,A,0.00,5.00,18.7500,18.7500,18.7497,18.7497,"0","76","31","0.044475","76","76","31","31","0.044472","0.044474","8.744E-7","76","5.366E-7","31","6.673E-6","0.044472","0","0","0","3348648113.4","3348648113.4","3348648113.4","","","","","","","","","","","",,SRM,SHLF2161631,,02/10/2010 12:07,TAUXE
318-U1359B-3H-2-A,318,U1359,B,3,H,2,A,0.00,10.00,18.8000,18.8000,18.7994,18.7994,"0","77.1","36.1","0.050011","77.1","77.1","36.1","36.1","0.05001","0.050011","8.525E-7","77.1","6.35E-7","36.1","7.54E-6","0.05001","0","0","0","3348648118.7","3348648118.7","3348648118.7","","","","","","","","","","","",,SRM,SHLF2161631,,02/10/2010 12:07,TAUXE
318-U1359B-3H-2-A,318,U1359,B,3,H,2,A,0.00,15.00,18.8500,18.8500,18.8491,18.8491,"0","83.1","25.2","0.044137","83.1","83.1","25.1","25.1","0.044135","0.044137","4.547E-7","83.1","2.182E-7","25.2","6.776E-6","0.044136","0","0","0","3348648124.1","3348648124.1","3348648124.1","","","","","","","","","","","",,SRM,SHLF2161631,,02/10/2010 12:07,TAUXE
318-U1359B-3H-2-A,318,U1359,B,3,H,2,A,0.00,20.00,18.9000,18.9000,18.8988,18.8988,"0","85.9","286.3","0.018631","85.9","85.9","286.4","286.3","0.018629","0.01863","3.54E-8","85.9","-1.236E-7","286.3","2.874E-6","0.018629","0","0","0","3348648129.4","3348648129.4","3348648129.4","","","","","","","","","","","",,SRM,SHLF2161631,,02/10/2010 12:07,TAUXE
318-U1359B-3H-2-A,318,U1359,B,3,H,2,A,0.00,25.00,18.9500,18.9500,18.9485,18.9485,"0","83.9","161","2.96E-3","84","83.9","161.4","161.6","2.957E-3","2.959E-3","-2.801E-8","83.9","9.551E-9","161.2","4.548E-7","2.958E-3","0","0","0","3348648134.8","3348648134.8","3348648134.8","","","","","","","","","","","",,SRM,SHLF2161631,,02/10/2010 12:07,TAUXE
318-U1359B-3H-2-A,318,U1359,B,3,H,2,A,0.00,30.00,19.0000,19.0000,18.9981,18.9981,"0","26.2","153","1.634E-3","26.3","26.2","153.1","153.2","1.628E-3","1.629E-3","-1.233E-7","26.2","6.381E-8","153.1","1.113E-7","1.633E-3","0","0","0","3348648140.1","3348648140.1","3348648140.1","","","","","","","","","","","",,SRM,SHLF2161631,,02/10/2010 12:07,TAUXE
318-U1359B-3H-2-A,318,U1359,B,3,H,2,A,0.00,35.00,19.0500,19.0500,19.0478,19.0478,"0","61.8","127.9","4.243E-3","61.9","61.9","127.9","127.9","4.239E-3","4.24E-3","-1.161E-7","61.8","1.526E-7","127.9","5.782E-7","4.242E-3","0","0","0","3348648145.5","3348648145.5","3348648145.5","","","","","","","","","","","",,SRM,SHLF2161631,,02/10/2010 12:07,TAUXE
318-U1359B-3H-2-A,318,U1359,B,3,H,2,A,0.00,40.00,19.1000,19.1000,19.0975,19.0975,"0","81.9","62.3","0.018211","81.9","81.9","62.2","62.2","0.018207","0.01821","1.131E-7","81.9","2.191E-7","62.3","2.788E-6","0.018208","0","0","0","3348648150.8","3348648150.8","3348648150.8","","","","","","","","","","","",,SRM,SHLF2161631,,02/10/2010 12:07,TAUXE
318-U1359B-3H-2-A,318,U1359,B,3,H,2,A,0.00,45.00,19.1500,19.1500,19.1472,19.1472,"0","77.1","22.8","0.031675","77.1","77.1","22.8","22.8","0.031672","0.031675","6.172E-7","77.1","2.651E-7","22.8","4.775E-6","0.031673","0","0","0","3348648156.2","3348648156.2","3348648156.2","","","","","","","","","","","",,SRM,SHLF2161631,,02/10/2010 12:07,TAUXE
