tab	measurements
measurement	experiment	specimen	dir_dec	dir_inc	treat_ac_field	treat_step_num	treat_temp	magn_volume	citations	method_codes	quality	sequence	standard	meas_temp	description	software_packages	timestamp	magn_moment
BR11:LP-DIR-AF0	BR11:LP-DIR-AF	BR11	276	-23	0	0	2.730e+02	669.5E-03	This study	LT-NO:LP-DIR-AF	g	0	u	2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	8.034e-06
BR11:LP-DIR-AF1	BR11:LP-DIR-AF	BR11	285	-78	1.000e-02	1	2.730e+02	1.764E+00	This study	LT-AF-Z:LP-DIR-AF	g	1	u	2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	2.1168e-05
BR11:LP-DIR-AF2	BR11:LP-DIR-AF	BR11	292	-79	1.500e-02	2	2.730e+02	1.680E+00	This study	LT-AF-Z:LP-DIR-AF	g	2	u	2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	2.016e-05
BR11:LP-DIR-AF3	BR11:LP-DIR-AF	BR11	298	-80	2.000e-02	3	2.730e+02	1.540E+00	This study	LT-AF-Z:LP-DIR-AF	g	3	u	2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	1.848e-05
BR11:LP-DIR-AF4	BR11:LP-DIR-AF	BR11	292	-81	2.500e-02	4	2.730e+02	1.392E+00	This study	LT-AF-Z:LP-DIR-AF	g	4	u	2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	1.6703999999999998e-05
BR11:LP-DIR-AF5	BR11:LP-DIR-AF	BR11	281	-84	3.000e-02	5	2.730e+02	1.165E+00	This study	LT-AF-Z:LP-DIR-AF	g	5	u	2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	1.398e-05
BR11:LP-DIR-AF6	BR11:LP-DIR-AF	BR11	282	-83	4.000e-02	6	2.730e+02	927.9E-03	This study	LT-AF-Z:LP-DIR-AF	g	6	u	2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	1.1134799999999999e-05
BR11:LP-DIR-AF7	BR11:LP-DIR-AF	BR11	284	-84	5.000e-02	7	2.730e+02	644.2E-03	This study	LT-AF-Z:LP-DIR-AF	g	7	u	2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	7.7304e-06
BR11:LP-DIR-AF8	BR11:LP-DIR-AF	BR11	263	-84	6.000e-02	8	2.730e+02	423.4E-03	This study	LT-AF-Z:LP-DIR-AF	g	8	u	2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	5.0808e-06
BR11:LP-DIR-AF9	BR11:LP-DIR-AF	BR11	252	-81	7.000e-02	9	2.730e+02	291.4E-03	This study	LT-AF-Z:LP-DIR-AF	g	9	u	2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	3.4968e-06
BR11:LP-DIR-AF10	BR11:LP-DIR-AF	BR11	241	-81	8.000e-02	10	2.730e+02	205.1E-03	This study	LT-AF-Z:LP-DIR-AF	g	10	u	2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	2.4612000000000003e-06
BR14B:LP-DIR-AF0	BR14B:LP-DIR-AF	BR14B	135	-78	0	0	2.730e+02	709.7E-03	This study	LT-NO:LP-DIR-AF	g	11	u	2.730e+02		pmagpy-4.1.5	2013-08-18T00:00:00Z	8.5164e-06
BR14B:LP-DIR-AF1	BR14B:LP-DIR-AF	BR14B	316	-72	1.000e-02	1	2.730e+02	1.759E+00	This study	LT-AF-Z:LP-DIR-AF	g	12	u	2.730e+02		pmagpy-4.1.5	2013-08-18T00:00:00Z	2.1108e-05
BR14B:LP-DIR-AF2	BR14B:LP-DIR-AF	BR14B	322	-72	1.500e-02	2	2.730e+02	1.637E+00	This study	LT-AF-Z:LP-DIR-AF	g	13	u	2.730e+02		pmagpy-4.1.5	2013-08-18T00:00:00Z	1.9644e-05
BR14B:LP-DIR-AF3	BR14B:LP-DIR-AF	BR14B	321	-73	2.000e-02	3	2.730e+02	1.506E+00	This study	LT-AF-Z:LP-DIR-AF	g	14	u	2.730e+02		pmagpy-4.1.5	2013-08-18T00:00:00Z	1.8072e-05
BR14B:LP-DIR-AF4	BR14B:LP-DIR-AF	BR14B	319	-75	2.500e-02	4	2.730e+02	1.388E+00	This study	LT-AF-Z:LP-DIR-AF	g	15	u	2.730e+02		pmagpy-4.1.5	2013-08-18T00:00:00Z	1.6655999999999998e-05
BR14B:LP-DIR-AF5	BR14B:LP-DIR-AF	BR14B	323	-73	3.000e-02	5	2.730e+02	1.208E+00	This study	LT-AF-Z:LP-DIR-AF	g	16	u	2.730e+02		pmagpy-4.1.5	2013-08-18T00:00:00Z	1.4496e-05
BR14B:LP-DIR-AF6	BR14B:LP-DIR-AF	BR14B	320	-75	4.000e-02	6	2.730e+02	914.2E-03	This study	LT-AF-Z:LP-DIR-AF	g	17	u	2.730e+02		pmagpy-4.1.5	2013-08-18T00:00:00Z	1.0970400000000001e-05
BR14B:LP-DIR-AF7	BR14B:LP-DIR-AF	BR14B	342	-76	5.000e-02	7	2.730e+02	640.8E-03	This study	LT-AF-Z:LP-DIR-AF	g	18	u	2.730e+02		pmagpy-4.1.5	2013-08-18T00:00:00Z	7.6896e-06
BR14B:LP-DIR-AF8	BR14B:LP-DIR-AF	BR14B	313	-78	6.000e-02	8	2.730e+02	449.8E-03	This study	LT-AF-Z:LP-DIR-AF	g	19	u	2.730e+02		pmagpy-4.1.5	2013-08-18T00:00:00Z	5.3976e-06
BR14B:LP-DIR-AF9	BR14B:LP-DIR-AF	BR14B	289	-81	7.000e-02	9	2.730e+02	313.9E-03	This study	LT-AF-Z:LP-DIR-AF	g	20	u	2.730e+02		pmagpy-4.1.5	2013-08-18T00:00:00Z	3.7668e-06
BR14B:LP-DIR-AF10	BR14B:LP-DIR-AF	BR14B	173	-78	8.000e-02	10	2.730e+02	278.5E-03	This study	LT-AF-Z:LP-DIR-AF	g	21	u	2.730e+02		pmagpy-4.1.5	2013-08-18T00:00:00Z	3.3420000000000004e-06
BR15:LP-DIR-AF0	BR15:LP-DIR-AF	BR15	260	-63	0	0	2.730e+02	832.6E-03	This study	LT-NO:LP-DIR-AF	g	22	u	2.730e+02		pmagpy-4.1.5	2013-08-20T00:00:00Z	9.9912e-06
BR15:LP-DIR-AF1	BR15:LP-DIR-AF	BR15	304	-71	1.000e-02	1	2.730e+02	1.975E+00	This study	LT-AF-Z:LP-DIR-AF	g	23	u	2.730e+02		pmagpy-4.1.5	2013-08-20T00:00:00Z	2.37e-05
BR15:LP-DIR-AF2	BR15:LP-DIR-AF	BR15	310	-72	1.500e-02	2	2.730e+02	1.856E+00	This study	LT-AF-Z:LP-DIR-AF	g	24	u	2.730e+02		pmagpy-4.1.5	2013-08-20T00:00:00Z	2.2272000000000003e-05
BR15:LP-DIR-AF3	BR15:LP-DIR-AF	BR15	308	-71	2.000e-02	3	2.730e+02	1.694E+00	This study	LT-AF-Z:LP-DIR-AF	g	25	u	2.730e+02		pmagpy-4.1.5	2013-08-20T00:00:00Z	2.0328e-05
BR15:LP-DIR-AF4	BR15:LP-DIR-AF	BR15	307	-73	2.500e-02	4	2.730e+02	1.539E+00	This study	LT-AF-Z:LP-DIR-AF	g	26	u	2.730e+02		pmagpy-4.1.5	2013-08-20T00:00:00Z	1.8468e-05
