tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_step_num	treat_temp	magn_volume	citations	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	description	software_packages	timestamp	magn_moment
BR12:LP-DIR-T0	BR12:LP-DIR-T	BR12		239	-51	0	0	2.730e+02	587.1E-03	This study	LT-NO:LP-DIR-T	g	0	u		2.730e+02		pmagpy-4.1.5	2013-08-18T00:00:00Z	7.0452e-06
BR12:LP-DIR-T1	BR12:LP-DIR-T	BR12		275	-71	0	1	3.730e+02	1.051E+00	This study	LT-T-Z:LP-DIR-T	g	1	u		2.730e+02		pmagpy-4.1.5	2013-08-18T00:00:00Z	1.2611999999999999e-05
BR12:LP-DIR-T2	BR12:LP-DIR-T	BR12		267	-79	0	2	4.230e+02	874.6E-03	This study	LT-T-Z:LP-DIR-T	g	2	u		2.730e+02		pmagpy-4.1.5	2013-08-19T00:00:00Z	1.04952e-05
BR12:LP-DIR-T3	BR12:LP-DIR-T	BR12		282	-80	0	3	4.730e+02	759.0E-03	This study	LT-T-Z:LP-DIR-T	g	3	u		2.730e+02		pmagpy-4.1.5	2013-08-19T00:00:00Z	9.108e-06
BR12:LP-DIR-T4	BR12:LP-DIR-T	BR12		296	-82	0	4	5.230e+02	893.9E-03	This study	LT-T-Z:LP-DIR-T	g	4	u		2.730e+02		pmagpy-4.1.5	2013-08-20T00:00:00Z	1.07268e-05
BR12:LP-DIR-T5	BR12:LP-DIR-T	BR12		286	-75	0	5	5.730e+02	915.5E-03	This study	LT-T-Z:LP-DIR-T	g	5	u		2.730e+02		pmagpy-4.1.5	2013-08-20T00:00:00Z	1.0986e-05
BR12:LP-DIR-T6	BR12:LP-DIR-T	BR12		292	-74	0	6	6.230e+02	897.7E-03	This study	LT-T-Z:LP-DIR-T	g	6	u		2.730e+02		pmagpy-4.1.5	2013-08-21T00:00:00Z	1.07724e-05
BR12:LP-DIR-T7	BR12:LP-DIR-T	BR12		278	-74	0	7	6.730e+02	899.1E-03	This study	LT-T-Z:LP-DIR-T	g	7	u		2.730e+02		pmagpy-4.1.5	2013-08-25T00:00:00Z	1.07892e-05
BR12:LP-DIR-T8	BR12:LP-DIR-T	BR12		289	-76	0	8	6.980e+02	805.4E-03	This study	LT-T-Z:LP-DIR-T	g	8	u		2.730e+02		pmagpy-4.1.5	2013-08-25T00:00:00Z	9.664800000000001e-06
BR12:LP-DIR-T9	BR12:LP-DIR-T	BR12		262	-80	0	9	7.230e+02	725.7E-03	This study	LT-T-Z:LP-DIR-T	g	9	u		2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	8.708400000000001e-06
