tab	measurements
citations	description	dir_csd	dir_dec	dir_inc	experiment	magn_moment	magn_volume	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	timestamp	treat_ac_field	treat_step_num	treat_temp
This study			276.0	-23.0	BR11_LP-DIR-AF	8.034e-06	0.6695		273.0	BR11_LP-DIR-AF0	LT-NO:LP-DIR-AF	g	1	pmagpy-4.2.19	BR11	u	2013-08-27T00:00:00Z	0.0	0	273.0
This study			285.0	-78.0	BR11_LP-DIR-AF	2.1168e-05	1.764		273.0	BR11_LP-DIR-AF1	LT-AF-Z:LP-DIR-AF	g	2	pmagpy-4.2.19	BR11	u	2013-08-27T00:00:00Z	0.01	1	273.0
This study			292.0	-79.0	BR11_LP-DIR-AF	2.016e-05	1.68		273.0	BR11_LP-DIR-AF2	LT-AF-Z:LP-DIR-AF	g	3	pmagpy-4.2.19	BR11	u	2013-08-27T00:00:00Z	0.015	2	273.0
This study			298.0	-80.0	BR11_LP-DIR-AF	1.848e-05	1.54		273.0	BR11_LP-DIR-AF3	LT-AF-Z:LP-DIR-AF	g	4	pmagpy-4.2.19	BR11	u	2013-08-27T00:00:00Z	0.02	3	273.0
This study			292.0	-81.0	BR11_LP-DIR-AF	1.6703999999999998e-05	1.392		273.0	BR11_LP-DIR-AF4	LT-AF-Z:LP-DIR-AF	g	5	pmagpy-4.2.19	BR11	u	2013-08-27T00:00:00Z	0.025	4	273.0
This study			281.0	-84.0	BR11_LP-DIR-AF	1.398e-05	1.165		273.0	BR11_LP-DIR-AF5	LT-AF-Z:LP-DIR-AF	g	6	pmagpy-4.2.19	BR11	u	2013-08-27T00:00:00Z	0.03	5	273.0
This study			282.0	-83.0	BR11_LP-DIR-AF	1.11348e-05	0.9279		273.0	BR11_LP-DIR-AF6	LT-AF-Z:LP-DIR-AF	g	7	pmagpy-4.2.19	BR11	u	2013-08-27T00:00:00Z	0.04	6	273.0
This study			284.0	-84.0	BR11_LP-DIR-AF	7.7304e-06	0.6442		273.0	BR11_LP-DIR-AF7	LT-AF-Z:LP-DIR-AF	g	8	pmagpy-4.2.19	BR11	u	2013-08-27T00:00:00Z	0.05	7	273.0
This study			263.0	-84.0	BR11_LP-DIR-AF	5.0808e-06	0.4234		273.0	BR11_LP-DIR-AF8	LT-AF-Z:LP-DIR-AF	g	9	pmagpy-4.2.19	BR11	u	2013-08-27T00:00:00Z	0.06	8	273.0
This study			252.0	-81.0	BR11_LP-DIR-AF	3.4968e-06	0.2914		273.0	BR11_LP-DIR-AF9	LT-AF-Z:LP-DIR-AF	g	10	pmagpy-4.2.19	BR11	u	2013-08-27T00:00:00Z	0.07	9	273.0
This study			241.0	-81.0	BR11_LP-DIR-AF	2.4612000000000003e-06	0.2051		273.0	BR11_LP-DIR-AF10	LT-AF-Z:LP-DIR-AF	g	11	pmagpy-4.2.19	BR11	u	2013-08-27T00:00:00Z	0.08	10	273.0
This study			135.0	-78.0	BR14B_LP-DIR-AF	8.5164e-06	0.7097		273.0	BR14B_LP-DIR-AF0	LT-NO:LP-DIR-AF	g	12	pmagpy-4.2.19	BR14B	u	2013-08-18T00:00:00Z	0.0	0	273.0
This study			316.0	-72.0	BR14B_LP-DIR-AF	2.1108000000000002e-05	1.7590000000000001		273.0	BR14B_LP-DIR-AF1	LT-AF-Z:LP-DIR-AF	g	13	pmagpy-4.2.19	BR14B	u	2013-08-18T00:00:00Z	0.01	1	273.0
This study			322.0	-72.0	BR14B_LP-DIR-AF	1.9644e-05	1.6369999999999998		273.0	BR14B_LP-DIR-AF2	LT-AF-Z:LP-DIR-AF	g	14	pmagpy-4.2.19	BR14B	u	2013-08-18T00:00:00Z	0.015	2	273.0
This study			321.0	-73.0	BR14B_LP-DIR-AF	1.8072e-05	1.506		273.0	BR14B_LP-DIR-AF3	LT-AF-Z:LP-DIR-AF	g	15	pmagpy-4.2.19	BR14B	u	2013-08-18T00:00:00Z	0.02	3	273.0
This study			319.0	-75.0	BR14B_LP-DIR-AF	1.6655999999999998e-05	1.3880000000000001		273.0	BR14B_LP-DIR-AF4	LT-AF-Z:LP-DIR-AF	g	16	pmagpy-4.2.19	BR14B	u	2013-08-18T00:00:00Z	0.025	4	273.0
This study			323.0	-73.0	BR14B_LP-DIR-AF	1.4496e-05	1.208		273.0	BR14B_LP-DIR-AF5	LT-AF-Z:LP-DIR-AF	g	17	pmagpy-4.2.19	BR14B	u	2013-08-18T00:00:00Z	0.03	5	273.0
This study			320.0	-75.0	BR14B_LP-DIR-AF	1.09704e-05	0.9142		273.0	BR14B_LP-DIR-AF6	LT-AF-Z:LP-DIR-AF	g	18	pmagpy-4.2.19	BR14B	u	2013-08-18T00:00:00Z	0.04	6	273.0
This study			342.0	-76.0	BR14B_LP-DIR-AF	7.6896e-06	0.6408		273.0	BR14B_LP-DIR-AF7	LT-AF-Z:LP-DIR-AF	g	19	pmagpy-4.2.19	BR14B	u	2013-08-18T00:00:00Z	0.05	7	273.0
This study			313.0	-78.0	BR14B_LP-DIR-AF	5.3976e-06	0.4498		273.0	BR14B_LP-DIR-AF8	LT-AF-Z:LP-DIR-AF	g	20	pmagpy-4.2.19	BR14B	u	2013-08-18T00:00:00Z	0.06	8	273.0
This study			289.0	-81.0	BR14B_LP-DIR-AF	3.7668e-06	0.3139		273.0	BR14B_LP-DIR-AF9	LT-AF-Z:LP-DIR-AF	g	21	pmagpy-4.2.19	BR14B	u	2013-08-18T00:00:00Z	0.07	9	273.0
This study			173.0	-78.0	BR14B_LP-DIR-AF	3.3420000000000008e-06	0.2785		273.0	BR14B_LP-DIR-AF10	LT-AF-Z:LP-DIR-AF	g	22	pmagpy-4.2.19	BR14B	u	2013-08-18T00:00:00Z	0.08	10	273.0
This study			260.0	-63.0	BR15_LP-DIR-AF	9.9912e-06	0.8326		273.0	BR15_LP-DIR-AF0	LT-NO:LP-DIR-AF	g	23	pmagpy-4.2.19	BR15	u	2013-08-20T00:00:00Z	0.0	0	273.0
