tr245f     80.00   -46.0 204 25
   995.     999.     993.     995.    1000.
  1004.     999.    1001.    1004.     999.
   998.     997.    1002.     998.     997.
tr245g     52.00   -23.0 204 25
  1076.    1066.    1072.    1077.    1067.
  1076.    1068.    1072.    1076.    1067.
  1068.    1075.    1071.    1068.    1076.
tr245h    123.00   -29.0 204 25
  1219.    1231.    1218.    1220.    1232.
  1230.    1231.    1234.    1230.    1231.
  1221.    1221.    1225.    1221.    1221.
tr245i1    68.00   -26.0 204 25
  1031.    1027.    1025.    1032.    1028.
  1035.    1031.    1035.    1035.    1032.
  1030.    1027.    1032.    1030.    1027.
tr245i2    68.00   -26.0 204 25
  1065.    1062.    1058.    1066.    1063.
  1069.    1067.    1071.    1070.    1066.
  1064.    1059.    1065.    1065.    1059.
tr245j     86.00   -34.0 204 25
  1804.    1803.    1799.    1805.    1804.
  1811.    1810.    1811.    1811.    1811.
  1806.    1803.    1811.    1806.    1803.
tr245k    108.00   -31.0 204 25
  1013.    1019.    1014.    1014.    1021.
  1017.    1019.    1020.    1017.    1019.
  1015.    1015.    1016.    1015.    1015.
tr245l    115.00   -25.0 204 25
  1159.    1164.    1156.    1159.    1165.
  1164.    1164.    1168.    1164.    1164.
  1158.    1158.    1161.    1159.    1158.
