tab	sites
site	location	lat	lon
is031c	unknown	.00	.00
is031d	unknown	.00	.00
is031e	unknown	.00	.00
is031f	unknown	.00	.00
is032c	unknown	.00	.00
is032d	unknown	.00	.00
is032f	unknown	.00	.00
is032i	unknown	.00	.00
is033b	unknown	.00	.00
is033c	unknown	.00	.00
is033e	unknown	.00	.00
is033g	unknown	.00	.00
is034c	unknown	.00	.00
is034d	unknown	.00	.00
is034e	unknown	.00	.00
is034f	unknown	.00	.00
is035a	unknown	.00	.00
is035g	unknown	.00	.00
is035h	unknown	.00	.00
is036b	unknown	.00	.00
is036c	unknown	.00	.00
is036d	unknown	.00	.00
is036h	unknown	.00	.00
is037b	unknown	.00	.00
is037c	unknown	.00	.00
is037e	unknown	.00	.00
is037h	unknown	.00	.00
is037i	unknown	.00	.00
is038b	unknown	.00	.00
is038d	unknown	.00	.00
is038e	unknown	.00	.00
is039c	unknown	.00	.00
is039d	unknown	.00	.00
is039f	unknown	.00	.00
is039g	unknown	.00	.00
is040a	unknown	.00	.00
is040b	unknown	.00	.00
is040e	unknown	.00	.00
is040g	unknown	.00	.00
is041a	unknown	.00	.00
is041b	unknown	.00	.00
is041c	unknown	.00	.00
is041f	unknown	.00	.00
is042a	unknown	.00	.00
is042c	unknown	.00	.00
is042d	unknown	.00	.00
is042g	unknown	.00	.00
is043a	unknown	.00	.00
is043c	unknown	.00	.00
is043f	unknown	.00	.00
is043g	unknown	.00	.00
is044a	unknown	.00	.00
is044c	unknown	.00	.00
is044e	unknown	.00	.00
is045a	unknown	.00	.00
is045b	unknown	.00	.00
is045e	unknown	.00	.00
is045f	unknown	.00	.00
is046a	unknown	.00	.00
is046c	unknown	.00	.00
is046d	unknown	.00	.00
is046f	unknown	.00	.00
is047a	unknown	.00	.00
is047d	unknown	.00	.00
is047e	unknown	.00	.00
is047g	unknown	.00	.00
is048a	unknown	.00	.00
is048c	unknown	.00	.00
is048h	unknown	.00	.00
is048i	unknown	.00	.00
is049a	unknown	.00	.00
is049c	unknown	.00	.00
is049d	unknown	.00	.00
is049f	unknown	.00	.00
is050a	unknown	.00	.00
is050b	unknown	.00	.00
is050e	unknown	.00	.00
is050g	unknown	.00	.00
is050h	unknown	.00	.00
is051b	unknown	.00	.00
is051c	unknown	.00	.00
is051d	unknown	.00	.00
is051f	unknown	.00	.00
is051h	unknown	.00	.00
is052b	unknown	.00	.00
is052d	unknown	.00	.00
is052g	unknown	.00	.00
is052h	unknown	.00	.00
is052j	unknown	.00	.00
is053c	unknown	.00	.00
is053d	unknown	.00	.00
is053e	unknown	.00	.00
is053f	unknown	.00	.00
is053h	unknown	.00	.00
is054d	unknown	.00	.00
is054e	unknown	.00	.00
is054g	unknown	.00	.00
is054h	unknown	.00	.00
is054i	unknown	.00	.00
is054j	unknown	.00	.00
is055a	unknown	.00	.00
is055b	unknown	.00	.00
is055d	unknown	.00	.00
is055e	unknown	.00	.00
is055f	unknown	.00	.00
is055g	unknown	.00	.00
is055h	unknown	.00	.00
is056a	unknown	.00	.00
is056c	unknown	.00	.00
is056e	unknown	.00	.00
is056f	unknown	.00	.00
is056g	unknown	.00	.00
is056h	unknown	.00	.00
is101a	unknown	.00	.00
is101e	unknown	.00	.00
is101f	unknown	.00	.00
is101g	unknown	.00	.00
is101h	unknown	.00	.00
is102a	unknown	.00	.00
is102b	unknown	.00	.00
is102c	unknown	.00	.00
is102e	unknown	.00	.00
is102n	unknown	.00	.00
is102o	unknown	.00	.00
