tab	measurements
analysts	citations	description	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	meas_temp	measurement	method_codes	quality	sequence	specimen	standard	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_mw_integral	treat_mw_power	treat_mw_time	treat_step_num
Elliot Hurst	This study	Step Type-NRM:Step Number-0	65.2	-28.9	CHEVKH7-7Q  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	Tristan:Tristan	4.656000000000001e-08	273.0	CHEVKH7-7Q  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD_0	LT-NO:LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	g	1	CHEVKH7-7Q	u	2013:09:04:15:42:01		0.0	999	99	0.0	0	0	0
Elliot Hurst	This study	Step Type-Z:Step Number-1	64.79	-28.82	CHEVKH7-7Q  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	Tristan:Tristan	4.314e-08	273.0	CHEVKH7-7Q  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD_1	LT-M-Z:LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	g	2	CHEVKH7-7Q	u	2013:09:04:15:47:33		0.0	249	35	32.42	10	5	1
Elliot Hurst	This study	Step Type-I:Step Number-1	64.79	-29.4	CHEVKH7-7Q  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	Tristan:Tristan	4.3389999999999993e-08	273.0	CHEVKH7-7Q  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD_2	LT-M-I:LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	g	3	CHEVKH7-7Q	u	2013:09:04:15:49:47		1e-05	249	-79	32.46	10	5	2
Elliot Hurst	This study	Step Type-Z:Step Number-2	64.65	-28.83	CHEVKH7-7Q  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	Tristan:Tristan	4.105000000000001e-08	273.0	CHEVKH7-7Q  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD_3	LT-M-Z:LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	g	4	CHEVKH7-7Q	u	2013:09:04:15:53:29		0.0	249	35	59.83	20	5	3
Elliot Hurst	This study	Step Type-I:Step Number-2	64.52	-31.74	CHEVKH7-7Q  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	Tristan:Tristan	4.1819999999999993e-08	273.0	CHEVKH7-7Q  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD_4	LT-M-I:LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	g	5	CHEVKH7-7Q	u	2013:09:04:15:56:10		1e-05	249	-79	64.48	18	5	4
Elliot Hurst	This study	Step Type-Z:Step Number-3	65.1	-28.7	CHEVKH7-7Q  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	Tristan:Tristan	3.519e-08	273.0	CHEVKH7-7Q  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD_5	LT-M-Z:LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	g	6	CHEVKH7-7Q	u	2013:09:04:15:59:21		0.0	249	35	82.87	25	5	5
Elliot Hurst	This study	Step Type-I:Step Number-3	65.5	-47.07	CHEVKH7-7Q  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	Tristan:Tristan	3.6469999999999995e-08	273.0	CHEVKH7-7Q  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD_6	LT-M-I:LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	g	7	CHEVKH7-7Q	u	2013:09:04:16:02:14		1e-05	249	-79	92.39	25	5	6
Elliot Hurst	This study	Step Type-T:Step Number-3	65.01	-28.94	CHEVKH7-7Q  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	Tristan:Tristan	2.521e-08	273.0	CHEVKH7-7Q  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD_7	LT-PMRM-MD:LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	g	8	CHEVKH7-7Q	u	2013:09:04:16:05:49		0.0	249	35	97.81	25	5	7
Elliot Hurst	This study	Step Type-P:Step Number-1	65.15	-30.16	CHEVKH7-7Q  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	Tristan:Tristan	2.5869999999999996e-08	273.0	CHEVKH7-7Q  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD_8	LT-PMRM-I:LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	g	9	CHEVKH7-7Q	u	2013:09:04:16:09:09		1e-05	249	-79	33.71	6	5	8
Elliot Hurst	This study	Step Type-Z:Step Number-4	64.12	-29.62	CHEVKH7-7Q  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	Tristan:Tristan	2.327e-08	273.0	CHEVKH7-7Q  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD_9	LT-M-Z:LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	g	10	CHEVKH7-7Q	u	2013:09:04:16:11:33		0.0	249	35	119.08	28	5	9
