tab	measurements
analysts	citations	description	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	meas_temp	measurement	method_codes	quality	sequence	specimen	standard	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_mw_integral	treat_mw_power	treat_mw_time	treat_step_num
Elliot Hurst	This study	Step Type-NRM:Step Number-0	336.9	26.7	NVPADC17A2  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	Tristan:Tristan	2.2960000000000002e-07	273.0	NVPADC17A2  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD_0	LT-NO:LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	g	1	NVPADC17A2	u	2013:09:18:15:09:27		0.0	999	99	0.0	0	0	0
Elliot Hurst	This study	Step Type-Z:Step Number-1	336.73	31.82	NVPADC17A2  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	Tristan:Tristan	2.228e-07	273.0	NVPADC17A2  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD_1	LT-M-Z:LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	g	2	NVPADC17A2	u	2013:09:18:15:12:22		0.0	0	0	46.45	10	5	1
Elliot Hurst	This study	Step Type-Z:Step Number-2	336.68	33.86	NVPADC17A2  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	Tristan:Tristan	2.081e-07	273.0	NVPADC17A2  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD_2	LT-M-Z:LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	g	3	NVPADC17A2	u	2013:09:18:15:14:21		0.0	0	0	92.39	20	5	2
Elliot Hurst	This study	Step Type-I:Step Number-2	337.15	37.33	NVPADC17A2  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	Tristan:Tristan	2.1760000000000002e-07	273.0	NVPADC17A2  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD_3	LT-M-I:LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	g	4	NVPADC17A2	u	2013:09:18:15:16:18		3e-05	0	90	91.88	20	5	3
Elliot Hurst	This study	Step Type-Z:Step Number-3	336.95	34.64	NVPADC17A2  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	Tristan:Tristan	1.7699999999999998e-07	273.0	NVPADC17A2  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD_4	LT-M-Z:LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	g	5	NVPADC17A2	u	2013:09:18:15:18:36		0.0	0	0	118.86	25	5	4
Elliot Hurst	This study	Step Type-I:Step Number-3	337.41	41.11	NVPADC17A2  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	Tristan:Tristan	1.918e-07	273.0	NVPADC17A2  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD_5	LT-M-I:LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	g	6	NVPADC17A2	u	2013:09:18:15:20:36		3e-05	0	90	116.33	25	5	5
Elliot Hurst	This study	Step Type-Z:Step Number-4	337.23	34.44	NVPADC17A2  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	Tristan:Tristan	1.565e-07	273.0	NVPADC17A2  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD_6	LT-M-Z:LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	g	7	NVPADC17A2	u	2013:09:18:15:22:28		0.0	0	0	131.16	28	5	6
Elliot Hurst	This study	Step Type-I:Step Number-4	337.42	44.22	NVPADC17A2  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	Tristan:Tristan	1.743e-07	273.0	NVPADC17A2  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD_7	LT-M-I:LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	g	8	NVPADC17A2	u	2013:09:18:15:27:03		3e-05	0	90	127.36	28	5	7
Elliot Hurst	This study	Step Type-T:Step Number-4	337.87	35.39	NVPADC17A2  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	Tristan:Tristan	1.468e-07	273.0	NVPADC17A2  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD_8	LT-PMRM-MD:LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	g	9	NVPADC17A2	u	2013:09:18:15:31:53		0.0	0	0	127.05	28	5	8
Elliot Hurst	This study	Step Type-P:Step Number-2	337.18	39.94	NVPADC17A2  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	Tristan:Tristan	1.5869999999999999e-07	273.0	NVPADC17A2  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD_9	LT-PMRM-I:LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	g	10	NVPADC17A2	u	2013:09:18:15:33:52		3e-05	0	90	91.04	20	5	9
Elliot Hurst	This study	Step Type-Z:Step Number-5	339.37	34.22	NVPADC17A2  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	Tristan:Tristan	1.267e-07	273.0	NVPADC17A2  :LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD_10	LT-M-Z:LP-PI-M:LP-PI-ZI:LP-PI-M-ZI:LP-PI-ALT-PMRM:LP-PI-BT-MD	g	11	NVPADC17A2	u	2013:09:18:15:35:50		0.0	0	0	137.45	30	5	10
