tab	measurements
analysts	citations	description	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	meas_temp	measurement	method_codes	quality	sequence	specimen	standard	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_mw_integral	treat_mw_power	treat_mw_time	treat_step_num
Tom Barrett	This study	Step Type-NRM:Step Number-0	146.99	56.03	SOHR016-01  :LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM	Tristan:Tristan	2.412e-07	273.0	SOHR016-01  :LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM_0	LT-M-I:LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM	g	1	SOHR016-01	u	2013:08:13:10:07:42		0.0	0	0	0.0	0	0	0
Tom Barrett	This study	Step Type-I:Step Number-1	148.74	55.63	SOHR016-01  :LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM	Tristan:Tristan	2.362e-07	273.0	SOHR016-01  :LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM_1	LT-M-I:LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM	g	2	SOHR016-01	u	2013:08:13:10:13:36		4e-05	0	237	22.56	5	5	1
Tom Barrett	This study	Step Type-I:Step Number-1	146.52	55.69	SOHR016-01  :LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM	Tristan:Tristan	2.361e-07	273.0	SOHR016-01  :LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM_2	LT-M-I:LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM	g	3	SOHR016-01	u	2013:08:13:10:15:56		4e-05	0	57	22.73	5	5	2
Tom Barrett	This study	Step Type-I:Step Number-2	150.21	55.58	SOHR016-01  :LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM	Tristan:Tristan	2.3030000000000002e-07	273.0	SOHR016-01  :LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM_3	LT-M-I:LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM	g	4	SOHR016-01	u	2013:08:13:10:19:05		4e-05	0	237	34.56	8	5	3
Tom Barrett	This study	Step Type-I:Step Number-2	145.76	55.49	SOHR016-01  :LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM	Tristan:Tristan	2.306e-07	273.0	SOHR016-01  :LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM_4	LT-M-I:LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM	g	5	SOHR016-01	u	2013:08:13:10:20:55		4e-05	0	57	34.3	8	5	4
Tom Barrett	This study	Step Type-I:Step Number-3	152.19	55.23	SOHR016-01  :LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM	Tristan:Tristan	2.24e-07	273.0	SOHR016-01  :LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM_5	LT-M-I:LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM	g	6	SOHR016-01	u	2013:08:13:10:22:50		4e-05	0	237	44.39	10	5	5
Tom Barrett	This study	Step Type-I:Step Number-3	144.78	55.58	SOHR016-01  :LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM	Tristan:Tristan	2.23e-07	273.0	SOHR016-01  :LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM_6	LT-M-I:LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM	g	7	SOHR016-01	u	2013:08:13:10:25:03		4e-05	0	57	45.12	10	5	6
Tom Barrett	This study	Step Type-P:Step Number-1	147.09	55.54	SOHR016-01  :LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM	Tristan:Tristan	2.2320000000000001e-07	273.0	SOHR016-01  :LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM_7	LT-PMRM-I:LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM	g	8	SOHR016-01	u	2013:08:13:10:27:49		4e-05	0	237	23.15	5	5	7
Tom Barrett	This study	Step Type-I:Step Number-4	156.07	55.0	SOHR016-01  :LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM	Tristan:Tristan	2.136e-07	273.0	SOHR016-01  :LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM_8	LT-M-I:LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM	g	9	SOHR016-01	u	2013:08:13:10:30:42		4e-05	0	237	55.33	13	5	8
Tom Barrett	This study	Step Type-I:Step Number-4	141.73	55.27	SOHR016-01  :LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM	Tristan:Tristan	2.1170000000000002e-07	273.0	SOHR016-01  :LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM_9	LT-M-I:LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM	g	10	SOHR016-01	u	2013:08:13:10:33:07		4e-05	0	57	54.9	13	5	9
Tom Barrett	This study	Step Type-P:Step Number-2	147.04	55.32	SOHR016-01  :LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM	Tristan:Tristan	2.116e-07	273.0	SOHR016-01  :LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM_10	LT-PMRM-I:LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM	g	11	SOHR016-01	u	2013:08:13:10:35:50		4e-05	0	237	34.3	8	5	10
Tom Barrett	This study	Step Type-I:Step Number-5	164.16	54.03	SOHR016-01  :LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM	Tristan:Tristan	1.965e-07	273.0	SOHR016-01  :LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM_11	LT-M-I:LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM	g	12	SOHR016-01	u	2013:08:13:10:38:17		4e-05	0	237	64.5	15	5	11
Tom Barrett	This study	Step Type-I:Step Number-5	137.52	54.97	SOHR016-01  :LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM	Tristan:Tristan	1.93e-07	273.0	SOHR016-01  :LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM_12	LT-M-I:LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM	g	13	SOHR016-01	u	2013:08:13:10:40:34		4e-05	0	57	64.01	15	5	12
Tom Barrett	This study	Step Type-I:Step Number-6	187.1	47.87	SOHR016-01  :LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM	Tristan:Tristan	1.7129999999999998e-07	273.0	SOHR016-01  :LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM_13	LT-M-I:LP-PI-M:LP-PI-II:LP-PI-M-II:LP-PI-ALT-PMRM	g	14	SOHR016-01	u	2013:08:13:10:43:03		4e-05	0	237	72.2	18	5	13
