tab	measurements
analysts	citations	description	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	meas_temp	measurement	method_codes	quality	sequence	specimen	standard	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_mw_integral	treat_mw_power	treat_mw_time	treat_step_num
Tom Barrett	This study	Step Type-NRM:Step Number-0	182.44	-55.37	SOHR016-02  :LP-PI-M:LP-PI-M-PERP	Tristan:Tristan	2.0780000000000002e-07	273.0	SOHR016-02  :LP-PI-M:LP-PI-M-PERP_0	LT-M-Z:LP-PI-M:LP-PI-M-PERP	g	1	SOHR016-02	u	2013:08:13:12:43:56		0.0	999	99	0.0	0	0	0
Tom Barrett	This study	Step Type-Z:Step Number-1	167.43	-55.74	SOHR016-02  :LP-PI-M:LP-PI-M-PERP	Tristan:Tristan	2.057e-07	273.0	SOHR016-02  :LP-PI-M:LP-PI-M-PERP_1	LT-M-Z:LP-PI-M:LP-PI-M-PERP	g	2	SOHR016-02	u	2013:08:13:12:47:44		0.0	999	99	28.81	7	5	1
Tom Barrett	This study	Step Type-Z:Step Number-2	166.01	-56.15	SOHR016-02  :LP-PI-M:LP-PI-M-PERP	Tristan:Tristan	2.0350000000000002e-07	273.0	SOHR016-02  :LP-PI-M:LP-PI-M-PERP_2	LT-M-Z:LP-PI-M:LP-PI-M-PERP	g	3	SOHR016-02	u	2013:08:13:12:50:07		0.0	999	99	37.6	10	5	2
Tom Barrett	This study	Step Type-Z:Step Number-3	163.81	-57.35	SOHR016-02  :LP-PI-M:LP-PI-M-PERP	Tristan:Tristan	2.007e-07	273.0	SOHR016-02  :LP-PI-M:LP-PI-M-PERP_3	LT-M-Z:LP-PI-M:LP-PI-M-PERP	g	4	SOHR016-02	u	2013:08:13:12:53:12		0.0	999	99	47.05	13	5	3
Tom Barrett	This study	Step Type-Z:Step Number-4	163.12	-58.25	SOHR016-02  :LP-PI-M:LP-PI-M-PERP	Tristan:Tristan	1.799e-07	273.0	SOHR016-02  :LP-PI-M:LP-PI-M-PERP_4	LT-M-Z:LP-PI-M:LP-PI-M-PERP	g	5	SOHR016-02	u	2013:08:13:13:00:12		0.0	999	99	68.61	15	5	4
Tom Barrett	This study	Step Type-Z:Step Number-5	162.65	-58.96	SOHR016-02  :LP-PI-M:LP-PI-M-PERP	Tristan:Tristan	1.365e-07	273.0	SOHR016-02  :LP-PI-M:LP-PI-M-PERP_5	LT-M-Z:LP-PI-M:LP-PI-M-PERP	g	6	SOHR016-02	u	2013:08:13:13:03:34		0.0	999	99	78.1	18	5	5
Tom Barrett	This study	Step Type-Z:Step Number-6	160.59	-59.01	SOHR016-02  :LP-PI-M:LP-PI-M-PERP	Tristan:Tristan	1.1220000000000001e-07	273.0	SOHR016-02  :LP-PI-M:LP-PI-M-PERP_6	LT-M-Z:LP-PI-M:LP-PI-M-PERP	g	7	SOHR016-02	u	2013:08:13:14:00:33		0.0	999	99	86.14	20	5	6
Tom Barrett	This study	Step Type-Z:Step Number-7	161.12	-59.24	SOHR016-02  :LP-PI-M:LP-PI-M-PERP	Tristan:Tristan	9.484e-08	273.0	SOHR016-02  :LP-PI-M:LP-PI-M-PERP_7	LT-M-Z:LP-PI-M:LP-PI-M-PERP	g	8	SOHR016-02	u	2013:08:13:14:04:24		0.0	999	99	93.41	23	5	7
Tom Barrett	This study	Step Type-Z:Step Number-8	160.89	-59.53	SOHR016-02  :LP-PI-M:LP-PI-M-PERP	Tristan:Tristan	8.493000000000001e-08	273.0	SOHR016-02  :LP-PI-M:LP-PI-M-PERP_8	LT-M-Z:LP-PI-M:LP-PI-M-PERP	g	9	SOHR016-02	u	2013:08:13:14:06:46		0.0	999	99	102.2	25	5	8
Tom Barrett	This study	Step Type-I:Step Number-9	103.49	-15.4	SOHR016-02  :LP-PI-M:LP-PI-M-PERP	Tristan:Tristan	1.472e-07	273.0	SOHR016-02  :LP-PI-M:LP-PI-M-PERP_9	LT-M-I:LT-NRM-PERP:LP-PI-M:LP-PI-M-PERP	g	10	SOHR016-02	u	2013:08:13:14:16:34		4e-05	11	90	113.17	30	5	9
Tom Barrett	This study	Step Type-I:Step Number-10	101.38	-11.02	SOHR016-02  :LP-PI-M:LP-PI-M-PERP	Tristan:Tristan	1.5380000000000001e-07	273.0	SOHR016-02  :LP-PI-M:LP-PI-M-PERP_10	LT-M-I:LT-NRM-PERP:LP-PI-M:LP-PI-M-PERP	g	11	SOHR016-02	u	2013:08:13:14:20:22		4e-05	11	90	123.61	35	5	10
