tab	measurements
analysts	citations	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	meas_temp	measurement	method_codes	quality	sequence	specimen	standard	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
Elliot Hurst	This study	150.43	-36.33	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	7.207999999999999e-07	273.0	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_0	LT-NO:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	1	ATPIPV04-1A	u	9999:99:99:99:99		0.0	0	90	0	273.0
Elliot Hurst	This study	151.8	-35.14	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	7.070000000000001e-07	273.0	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_1	LT-AF-Z:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	2	ATPIPV04-1A	u	9999:99:99:99:99	0.005	0.0	0	90	1	273.0
Elliot Hurst	This study	174.96	-31.06	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	5.187e-07	273.0	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_2	LT-T-Z:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	3	ATPIPV04-1A	u	9999:99:99:99:99		0.0	0	90	2	673.0
Elliot Hurst	This study	176.62	-42.41	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	5.885000000000001e-07	273.0	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_3	LT-T-I:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	4	ATPIPV04-1A	u	9999:99:99:99:99		3e-05	0	90	3	673.0
Elliot Hurst	This study	176.55	-49.0	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	5.925e-07	273.0	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_4	LT-T-I:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	5	ATPIPV04-1A	u	9999:99:99:99:99		3e-05	0	90	4	773.0
Elliot Hurst	This study	180.0	-33.77	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	4.6539999999999997e-07	273.0	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_5	LT-T-Z:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	6	ATPIPV04-1A	u	9999:99:99:99:99		0.0	0	90	5	773.0
Elliot Hurst	This study	179.49	-45.83	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	5.425e-07	273.0	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_6	LT-PTRM-I:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	7	ATPIPV04-1A	u	9999:99:99:99:99		3e-05	0	90	6	673.0
Elliot Hurst	This study	179.49	-32.02	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	4.458e-07	273.0	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_7	LT-T-Z:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	8	ATPIPV04-1A	u	9999:99:99:99:99		0.0	0	90	7	793.0
Elliot Hurst	This study	176.85	-50.9	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	5.79e-07	273.0	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_8	LT-T-I:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	9	ATPIPV04-1A	u	9999:99:99:99:99		3e-05	0	90	8	793.0
Elliot Hurst	This study	179.1	-52.95	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	5.867e-07	273.0	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_9	LT-T-I:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	10	ATPIPV04-1A	u	9999:99:99:99:99		3e-05	0	90	9	813.0
Elliot Hurst	This study	181.44	-32.08	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	4.199e-07	273.0	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_10	LT-T-Z:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	11	ATPIPV04-1A	u	9999:99:99:99:99		0.0	0	90	10	813.0
Elliot Hurst	This study	178.9	-49.93	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	5.405e-07	273.0	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_11	LT-PTRM-I:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	12	ATPIPV04-1A	u	9999:99:99:99:99		3e-05	0	90	11	773.0
Elliot Hurst	This study	182.14	-31.6	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	3.851e-07	273.0	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_12	LT-T-Z:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	13	ATPIPV04-1A	u	9999:99:99:99:99		0.0	0	90	12	833.0
Elliot Hurst	This study	181.61	-57.0	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	5.837e-07	273.0	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_13	LT-T-I:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	14	ATPIPV04-1A	u	9999:99:99:99:99		3e-05	0	90	13	833.0
Elliot Hurst	This study	185.45	-60.54	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	5.967e-07	273.0	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_14	LT-T-I:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	15	ATPIPV04-1A	u	9999:99:99:99:99		3e-05	0	90	14	853.0
Elliot Hurst	This study	180.22	-31.09	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	3.346e-07	273.0	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_15	LT-T-Z:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	16	ATPIPV04-1A	u	9999:99:99:99:99		0.0	0	90	15	853.0
Elliot Hurst	This study	184.62	-55.11	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	5.084000000000001e-07	273.0	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_16	LT-PTRM-I:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	17	ATPIPV04-1A	u	9999:99:99:99:99		3e-05	0	90	16	813.0
Elliot Hurst	This study	182.71	-30.62	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	2.737e-07	273.0	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_17	LT-T-Z:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	18	ATPIPV04-1A	u	9999:99:99:99:99		0.0	0	90	17	873.0
Elliot Hurst	This study	183.08	-69.83	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	JR6 old:oven	6.022e-07	273.0	ATPIPV04-1A :LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM_18	LT-T-I:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM	g	19	ATPIPV04-1A	u	9999:99:99:99:99		3e-05	0	90	18	873.0
