tab 	measurements
analysts	citations	description	experiment	instrument_codes	method_codes	quality	specimen	standard	susc_chi_volume
	This study	Bulk sucsecptibility measurement	318-u1356a-1r-1-w-83_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-1r-1-w-83	u	56.74E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-1r-1-w-83_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-1r-1-w-83	u	54.58E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-1r-1-w-83_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-1r-1-w-83	u	53.93E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-1r-1-w-83_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-1r-1-w-83	u	54.65E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-1r-1-w-83_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-1r-1-w-83	u	57.01E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-1r-1-w-83_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-1r-1-w-83	u	54.73E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-1r-2-w-53_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-1r-2-w-53	u	311.3E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-1r-2-w-53_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-1r-2-w-53	u	313.4E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-1r-2-w-53_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-1r-2-w-53	u	310.8E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-1r-2-w-53_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-1r-2-w-53	u	311.7E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-1r-2-w-53_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-1r-2-w-53	u	311.7E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-1r-3-w-21_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-1r-3-w-21	u	66.00E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-1r-3-w-21_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-1r-3-w-21	u	66.57E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-1r-3-w-21_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-1r-3-w-21	u	64.49E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-1r-3-w-21_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-1r-3-w-21	u	64.33E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-2r-6-w-72_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-2r-6-w-72	u	77.62E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-2r-6-w-72_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-2r-6-w-72	u	77.32E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-2r-6-w-72_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-2r-6-w-72	u	76.63E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-2r-6-w-72_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-2r-6-w-72	u	76.29E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-2r-6-w-72_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-2r-6-w-72	u	78.99E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-2r-6-w-72_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-2r-6-w-72	u	78.31E-06
