tab 	samples
azimuth	bed_dip	bed_dip_direction	citations	dip	sample	site
0.0	0	90	This study	0.0	318-u1356a-1r-1-w-83	318-u1356a-1r-1-w-83
0.0	0	90	This study	0.0	318-u1356a-1r-2-w-53	318-u1356a-1r-2-w-53
0.0	0	90	This study	0.0	318-u1356a-1r-3-w-21	318-u1356a-1r-3-w-21
0.0	0	90	This study	0.0	318-u1356a-2r-6-w-72	318-u1356a-2r-6-w-72
0.0	0	90	This study	0.0	318-u1356a-12r-3-w-10	318-u1356a-12r-3-w-10
0.0	0	90	This study	0.0	318-u1356a-13r-2-w-99	318-u1356a-13r-2-w-99
0.0	0	90	This study	0.0	318-u1356a-14r-1-w-103	318-u1356a-14r-1-w-103
0.0	0	90	This study	0.0	318-u1356a-18r-2-w-128	318-u1356a-18r-2-w-128
0.0	0	90	This study	0.0	318-u1356a-18r-3-w-19	318-u1356a-18r-3-w-19
0.0	0	90	This study	0.0	318-u1356a-14r-2-w-52	318-u1356a-14r-2-w-52
0.0	0	90	This study	0.0	318-u1356a-14r-3-w-137	318-u1356a-14r-3-w-137
0.0	0	90	This study	0.0	318-u1356a-14r-5-w-18	318-u1356a-14r-5-w-18
0.0	0	90	This study	0.0	318-u1356a-15r-5-w-38	318-u1356a-15r-5-w-38
0.0	0	90	This study	0.0	318-u1356a-15r-6-w-56	318-u1356a-15r-6-w-56
0.0	0	90	This study	0.0	318-u1356a-17r-1-w-118	318-u1356a-17r-1-w-118
0.0	0	90	This study	0.0	318-u1356a-17r-2-w-123	318-u1356a-17r-2-w-123
0.0	0	90	This study	0.0	318-u1356a-17r-3-w-70	318-u1356a-17r-3-w-70
0.0	0	90	This study	0.0	318-u1356a-17r-4-w-85	318-u1356a-17r-4-w-85
0.0	0	90	This study	0.0	318-u1356a-18r-1-w-118	318-u1356a-18r-1-w-118
0.0	0	90	This study	0.0	318-u1356a-20r-1-w-70	318-u1356a-20r-1-w-70
0.0	0	90	This study	0.0	318-u1356a-20r-2-w-36	318-u1356a-20r-2-w-36
0.0	0	90	This study	0.0	318-u1356a-22r-1-w-142	318-u1356a-22r-1-w-142
0.0	0	90	This study	0.0	318-u1356a-22r-2-w-40	318-u1356a-22r-2-w-40
0.0	0	90	This study	0.0	318-u1356a-23r-1-w-107	318-u1356a-23r-1-w-107
0.0	0	90	This study	0.0	318-u1356a-24r-1-w-98	318-u1356a-24r-1-w-98
0.0	0	90	This study	0.0	318-u1356a-24r-2-w-4	318-u1356a-24r-2-w-4
0.0	0	90	This study	0.0	318-u1356a-30r-1-w-81	318-u1356a-30r-1-w-81
0.0	0	90	This study	0.0	318-u1356a-30r-2-w-42	318-u1356a-30r-2-w-42
0.0	0	90	This study	0.0	318-u1356a-30r-3-w-40	318-u1356a-30r-3-w-40
0.0	0	90	This study	0.0	318-u1356a-30r-4-w-40	318-u1356a-30r-4-w-40
0.0	0	90	This study	0.0	318-u1356a-30r-5-w-17	318-u1356a-30r-5-w-17
0.0	0	90	This study	0.0	318-u1356a-30r-6-w-4	318-u1356a-30r-6-w-4
0.0	0	90	This study	0.0	318-u1356a-34r-1-w-68	318-u1356a-34r-1-w-68
0.0	0	90	This study	0.0	318-u1356a-34r-2-w-90	318-u1356a-34r-2-w-90
0.0	0	90	This study	0.0	318-u1356a-34r-3-w-95	318-u1356a-34r-3-w-95
0.0	0	90	This study	0.0	318-u1356a-34r-4-w-72	318-u1356a-34r-4-w-72
0.0	0	90	This study	0.0	318-u1356a-35r-4-w-46	318-u1356a-35r-4-w-46
0.0	0	90	This study	0.0	318-u1356a-35r-3-w-85	318-u1356a-35r-3-w-85
0.0	0	90	This study	0.0	318-u1356a-35r-2-w-60	318-u1356a-35r-2-w-60
0.0	0	90	This study	0.0	318-u1356a-39r-1-w-26	318-u1356a-39r-1-w-26
0.0	0	90	This study	0.0	318-u1356a-39r-2-w-96	318-u1356a-39r-2-w-96
0.0	0	90	This study	0.0	+318-u1356a-48r-1-w-16	+318-u1356a-48r-1-w-16
0.0	0	90	This study	0.0	318-u1356a-48r-1-w-16	318-u1356a-48r-1-w-16
0.0	0	90	This study	0.0	318-u1356a-48r-3-w-33	318-u1356a-48r-3-w-33
0.0	0	90	This study	0.0	318-u1356a-43r-2-w-98	318-u1356a-43r-2-w-98
0.0	0	90	This study	0.0	318-u1356a-46r-1-w-135	318-u1356a-46r-1-w-135
0.0	0	90	This study	0.0	318-u1356a-46r-3-w-35	318-u1356a-46r-3-w-35
0.0	0	90	This study	0.0	318-u1356a-46r-2-w-103	318-u1356a-46r-2-w-103
0.0	0	90	This study	0.0	318-u1356a-47r-1-w-134	318-u1356a-47r-1-w-134
0.0	0	90	This study	0.0	318-u1356a-51r-2-w-46	318-u1356a-51r-2-w-46
0.0	0	90	This study	0.0	318-u1356a-51r-1-w-131	318-u1356a-51r-1-w-131
0.0	0	90	This study	0.0	318-u1356a-55r-1-w-32	318-u1356a-55r-1-w-32
0.0	0	90	This study	0.0	318-u1356a-57r-1-w-68	318-u1356a-57r-1-w-68
0.0	0	90	This study	0.0	318-u1356a-57r-2-w-62	318-u1356a-57r-2-w-62
0.0	0	90	This study	0.0	318-u1356a-58r-1-w-27	318-u1356a-58r-1-w-27
0.0	0	90	This study	0.0	318-u1356a-68r-1-w-60	318-u1356a-68r-1-w-60
0.0	0	90	This study	0.0	318-u1356a-67r-1-w-105	318-u1356a-67r-1-w-105
0.0	0	90	This study	0.0	318-u1356a-64r-2-w-91	318-u1356a-64r-2-w-91
0.0	0	90	This study	0.0	318-u1356a-64r-1-w-31	318-u1356a-64r-1-w-31
0.0	0	90	This study	0.0	318-u1356a-63r-4-w-42	318-u1356a-63r-4-w-42
0.0	0	90	This study	0.0	318-u1356a-63r-3-w-83	318-u1356a-63r-3-w-83
0.0	0	90	This study	0.0	318-u1356a-63r-2-w-73	318-u1356a-63r-2-w-73
0.0	0	90	This study	0.0	318-u1356a-62r-cc-w-27	318-u1356a-62r-cc-w-27
0.0	0	90	This study	0.0	318-u1356a-59r-cc-w-10	318-u1356a-59r-cc-w-10
0.0	0	90	This study	0.0	318-u1356a-68r-2-w-69	318-u1356a-68r-2-w-69
0.0	0	90	This study	0.0	318-u1356a-68r-3-w-104	318-u1356a-68r-3-w-104
0.0	0	90	This study	0.0	318-u1356a-68r-4-w-16	318-u1356a-68r-4-w-16
0.0	0	90	This study	0.0	318-u1356a-68r-5-w-5	318-u1356a-68r-5-w-5
0.0	0	90	This study	0.0	318-u1356a-70r-2-w-73	318-u1356a-70r-2-w-73
0.0	0	90	This study	0.0	318-u1356a-68r-6-w-98	318-u1356a-68r-6-w-98
0.0	0	90	This study	0.0	318-u1356a-69r-1-w-70	318-u1356a-69r-1-w-70
0.0	0	90	This study	0.0	318-u1356a-69r-2-w-106	318-u1356a-69r-2-w-106
0.0	0	90	This study	0.0	318-u1356a-69r-3-w-45	318-u1356a-69r-3-w-45
0.0	0	90	This study	0.0	318-u1356a-69r-4-w-122	318-u1356a-69r-4-w-122
0.0	0	90	This study	0.0	318-u1356a-69r-5-w-87	318-u1356a-69r-5-w-87
0.0	0	90	This study	0.0	318-u1356a-69r-6-w-58	318-u1356a-69r-6-w-58
0.0	0	90	This study	0.0	318-u1356a-70r-1-w-42	318-u1356a-70r-1-w-42
0.0	0	90	This study	0.0	318-u1356a-70r-3-w-54	318-u1356a-70r-3-w-54
0.0	0	90	This study	0.0	318-u1356a-70r-4-w-13	318-u1356a-70r-4-w-13
0.0	0	90	This study	0.0	318-u1356a-71r-1-w-85	318-u1356a-71r-1-w-85
