tab 	sites
citations	description	location	site
This study	s	U1356A	318-u1356a-1r-1-w-83
This study	s	U1356A	318-u1356a-1r-2-w-53
This study	s	U1356A	318-u1356a-1r-3-w-21
This study	s	U1356A	318-u1356a-2r-6-w-72
This study	s	U1356A	318-u1356a-12r-3-w-10
This study	s	U1356A	318-u1356a-13r-2-w-99
This study	s	U1356A	318-u1356a-14r-1-w-103
This study	s	U1356A	318-u1356a-18r-2-w-128
This study	s	U1356A	318-u1356a-18r-3-w-19
This study	s	U1356A	318-u1356a-14r-2-w-52
This study	s	U1356A	318-u1356a-14r-3-w-137
This study	s	U1356A	318-u1356a-14r-5-w-18
This study	s	U1356A	318-u1356a-15r-5-w-38
This study	s	U1356A	318-u1356a-15r-6-w-56
This study	s	U1356A	318-u1356a-17r-1-w-118
This study	s	U1356A	318-u1356a-17r-2-w-123
This study	s	U1356A	318-u1356a-17r-3-w-70
This study	s	U1356A	318-u1356a-17r-4-w-85
This study	s	U1356A	318-u1356a-18r-1-w-118
This study	s	U1356A	318-u1356a-20r-1-w-70
This study	s	U1356A	318-u1356a-20r-2-w-36
This study	s	U1356A	318-u1356a-22r-1-w-142
This study	s	U1356A	318-u1356a-22r-2-w-40
This study	s	U1356A	318-u1356a-23r-1-w-107
This study	s	U1356A	318-u1356a-24r-1-w-98
This study	s	U1356A	318-u1356a-24r-2-w-4
This study	s	U1356A	318-u1356a-30r-1-w-81
This study	s	U1356A	318-u1356a-30r-2-w-42
This study	s	U1356A	318-u1356a-30r-3-w-40
This study	s	U1356A	318-u1356a-30r-4-w-40
This study	s	U1356A	318-u1356a-30r-5-w-17
This study	s	U1356A	318-u1356a-30r-6-w-4
This study	s	U1356A	318-u1356a-34r-1-w-68
This study	s	U1356A	318-u1356a-34r-2-w-90
This study	s	U1356A	318-u1356a-34r-3-w-95
This study	s	U1356A	318-u1356a-34r-4-w-72
This study	s	U1356A	318-u1356a-35r-4-w-46
This study	s	U1356A	318-u1356a-35r-3-w-85
This study	s	U1356A	318-u1356a-35r-2-w-60
This study	s	U1356A	318-u1356a-39r-1-w-26
This study	s	U1356A	318-u1356a-39r-2-w-96
This study	s	U1356A	+318-u1356a-48r-1-w-16
This study	s	U1356A	318-u1356a-48r-1-w-16
This study	s	U1356A	318-u1356a-48r-3-w-33
This study	s	U1356A	318-u1356a-43r-2-w-98
This study	s	U1356A	318-u1356a-46r-1-w-135
This study	s	U1356A	318-u1356a-46r-3-w-35
This study	s	U1356A	318-u1356a-46r-2-w-103
This study	s	U1356A	318-u1356a-47r-1-w-134
This study	s	U1356A	318-u1356a-51r-2-w-46
This study	s	U1356A	318-u1356a-51r-1-w-131
