tab 	specimens
analysts	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_s_unit	aniso_tilt_correction	aniso_type	citations	experiments	instrument_codes	location	method_codes	result_quality	sample	site	specimen	volume
							This study			U1356A			318-U1356A-1R-1-W-83	318-U1356A-1R-1-W-83	318-U1356A-1R-1-W-83	7.000e-06
	0.3328:0.3363:0.3309:0.0010:0.0007:-0.0010	15	0.0006	SI	-1	AMS	This study	318-U1356A-1R-1-W-83:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-1R-1-W-83	318-U1356A-1R-1-W-83	318-U1356A-1R-1-W-83	
	0.3328000009:0.3362999856:0.3309000134:0.0010000000:0.0007000000:-0.0010000000	15	0.0006	SI	0	AMS	This study	318-U1356A-1R-1-W-83:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-1R-1-W-83	318-U1356A-1R-1-W-83	318-U1356A-1R-1-W-83	
	0.3328:0.3359:0.3312:0.0017:0.0009:0.0003	15	0.0009	SI	-1	AMS	This study	318-U1356A-1R-1-W-83:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-1R-1-W-83	318-U1356A-1R-1-W-83	318-U1356A-1R-1-W-83	
	0.3328000009:0.3359000087:0.3312000036:0.0017000000:0.0009000000:0.0003000000	15	0.0009	SI	0	AMS	This study	318-U1356A-1R-1-W-83:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-1R-1-W-83	318-U1356A-1R-1-W-83	318-U1356A-1R-1-W-83	
	0.3338:0.3355:0.3307:0.0002:-0.0005:-0.0001	15	0.0012	SI	-1	AMS	This study	318-U1356A-1R-1-W-83:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-1R-1-W-83	318-U1356A-1R-1-W-83	318-U1356A-1R-1-W-83	
	0.3337999880:0.3355000019:0.3307000101:0.0002000000:-0.0005000000:-0.0001000000	15	0.0012	SI	0	AMS	This study	318-U1356A-1R-1-W-83:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-1R-1-W-83	318-U1356A-1R-1-W-83	318-U1356A-1R-1-W-83	
	0.3325:0.3365:0.3310:-0.0002:0.0016:0.0011	15	0.0020	SI	-1	AMS	This study	318-U1356A-1R-1-W-83:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-1R-1-W-83	318-U1356A-1R-1-W-83	318-U1356A-1R-1-W-83	
	0.3325000107:0.3364999890:0.3310000002:-0.0002000000:0.0016000000:0.0011000000	15	0.0020	SI	0	AMS	This study	318-U1356A-1R-1-W-83:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-1R-1-W-83	318-U1356A-1R-1-W-83	318-U1356A-1R-1-W-83	
	0.3326:0.3362:0.3312:0.0004:0.0010:0.0015	15	0.0015	SI	-1	AMS	This study	318-U1356A-1R-1-W-83:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-1R-1-W-83	318-U1356A-1R-1-W-83	318-U1356A-1R-1-W-83	
	0.3325999975:0.3361999989:0.3312000036:0.0004000000:0.0010000000:0.0015000000	15	0.0015	SI	0	AMS	This study	318-U1356A-1R-1-W-83:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-1R-1-W-83	318-U1356A-1R-1-W-83	318-U1356A-1R-1-W-83	
	0.3323:0.3362:0.3314:0.0012:0.0008:0.0009	15	0.0015	SI	-1	AMS	This study	318-U1356A-1R-1-W-83:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-1R-1-W-83	318-U1356A-1R-1-W-83	318-U1356A-1R-1-W-83	
	0.3323000073:0.3361999989:0.3314000070:0.0012000001:0.0008000000:0.0009000000	15	0.0015	SI	0	AMS	This study	318-U1356A-1R-1-W-83:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-1R-1-W-83	318-U1356A-1R-1-W-83	318-U1356A-1R-1-W-83	
							This study			U1356A			318-U1356A-1R-2-W-53	318-U1356A-1R-2-W-53	318-U1356A-1R-2-W-53	7.000e-06
	0.3331:0.3309:0.3360:-0.0018:0.0028:0.0007	15	0.0003	SI	-1	AMS	This study	318-U1356A-1R-2-W-53:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-1R-2-W-53	318-U1356A-1R-2-W-53	318-U1356A-1R-2-W-53	
	0.3330999911:0.3309000134:0.3359999955:-0.0018000000:0.0027999999:0.0007000000	15	0.0003	SI	0	AMS	This study	318-U1356A-1R-2-W-53:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-1R-2-W-53	318-U1356A-1R-2-W-53	318-U1356A-1R-2-W-53	
	0.3329:0.3308:0.3363:-0.0018:0.0028:0.0009	15	0.0001	SI	-1	AMS	This study	318-U1356A-1R-2-W-53:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-1R-2-W-53	318-U1356A-1R-2-W-53	318-U1356A-1R-2-W-53	
	0.3328999877:0.3307999969:0.3362999856:-0.0018000000:0.0027999999:0.0009000000	15	0.0001	SI	0	AMS	This study	318-U1356A-1R-2-W-53:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-1R-2-W-53	318-U1356A-1R-2-W-53	318-U1356A-1R-2-W-53	
	0.3329:0.3308:0.3362:-0.0018:0.0028:0.0009	15	0.0002	SI	-1	AMS	This study	318-U1356A-1R-2-W-53:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-1R-2-W-53	318-U1356A-1R-2-W-53	318-U1356A-1R-2-W-53	
	0.3328999877:0.3307999969:0.3361999989:-0.0018000000:0.0027999999:0.0009000000	15	0.0002	SI	0	AMS	This study	318-U1356A-1R-2-W-53:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-1R-2-W-53	318-U1356A-1R-2-W-53	318-U1356A-1R-2-W-53	
	0.3331:0.3307:0.3362:-0.0017:0.0026:0.0007	15	0.0004	SI	-1	AMS	This study	318-U1356A-1R-2-W-53:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-1R-2-W-53	318-U1356A-1R-2-W-53	318-U1356A-1R-2-W-53	
	0.3330999911:0.3307000101:0.3361999989:-0.0017000000:0.0026000000:0.0007000000	15	0.0004	SI	0	AMS	This study	318-U1356A-1R-2-W-53:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-1R-2-W-53	318-U1356A-1R-2-W-53	318-U1356A-1R-2-W-53	
	0.3330:0.3309:0.3361:-0.0017:0.0028:0.0002	15	0.0002	SI	-1	AMS	This study	318-U1356A-1R-2-W-53:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-1R-2-W-53	318-U1356A-1R-2-W-53	318-U1356A-1R-2-W-53	
	0.3330000043:0.3309000134:0.3361000121:-0.0017000000:0.0027999999:0.0002000000	15	0.0002	SI	0	AMS	This study	318-U1356A-1R-2-W-53:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-1R-2-W-53	318-U1356A-1R-2-W-53	318-U1356A-1R-2-W-53	
							This study			U1356A			318-U1356A-1R-3-W-21	318-U1356A-1R-3-W-21	318-U1356A-1R-3-W-21	7.000e-06
	0.3335:0.3358:0.3307:0.0002:0.0000:0.0006	15	0.0008	SI	-1	AMS	This study	318-U1356A-1R-3-W-21:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-1R-3-W-21	318-U1356A-1R-3-W-21	318-U1356A-1R-3-W-21	
