tab	measurements
analysts	citations	description	dir_dec	dir_inc	experiment	magn_moment	meas_temp	measurement	method_codes	quality	sequence	specimen	standard	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
	This study		295.600006	-42.799999	MGH1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	4.908947e-05	273.	MGH1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI0	LT-NO:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	0	MGH1	u	0	0	0	0	273.
	This study		302.399994	-42.400002	MGH1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	4.481053e-05	273.	MGH1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI1	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	1	MGH1	u	0	0	0	1	4.730e+02
	This study		303.000000	-46.299999	MGH1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	4.766842e-05	273.	MGH1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI2	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	2	MGH1	u	6.000e-05	0	90	2	4.730e+02
	This study		300.200012	-40.700001	MGH1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	4.340526e-05	273.	MGH1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI3	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	3	MGH1	u	0	0	0	3	5.230e+02
	This study		300.200012	-33.900002	MGH1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	3.964737e-05	273.	MGH1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI4	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	4	MGH1	u	6.000e-05	0	90	4	5.230e+02
	This study		297.399994	-42.099998	MGH1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	4.136842e-05	273.	MGH1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI5	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	5	MGH1	u	0	0	0	5	5.730e+02
	This study		293.799988	-49.500000	MGH1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	4.702105e-05	273.	MGH1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI6	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	6	MGH1	u	6.000e-05	0	90	6	5.730e+02
	This study		297.899994	-42.299999	MGH1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	3.941053e-05	273.	MGH1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI7	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	7	MGH1	u	0	0	0	7	6.130e+02
	This study		293.100006	-34.700001	MGH1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	3.581053e-05	273.	MGH1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI8	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	8	MGH1	u	6.000e-05	0	90	8	5.230e+02
	This study		295.000000	-29.100000	MGH1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	3.355263e-05	273.	MGH1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI9	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	9	MGH1	u	6.000e-05	0	90	9	6.130e+02
