tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	magn_volume	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	timestamp	magn_moment
KO_86.1_LP-DIR-AF0	KO_86.1_LP-DIR-AF	KO_86.1	0.99	99.22493743875172	27.38573524118305	 0.000e+00	0	0.00	0.00	0	273	0.00030643238610864195	This study	Utrecht_ 2G DC	LT-NO:LP-DIR-AF	g	0	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T02:09:00Z	3.2175400541407405e-09
KO_86.1_LP-DIR-AF1	KO_86.1_LP-DIR-AF	KO_86.1	0.99	90.49696168209094	29.677562786962657	 5.000e-03	0	0.00	0.00	1	273	0.00030584310651866697	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	1	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T02:09:00Z	3.2113526184460033e-09
KO_86.1_LP-DIR-AF2	KO_86.1_LP-DIR-AF	KO_86.1	0.99	82.55859451025628	32.59755344254946	 1.000e-02	0	0.00	0.00	2	273	0.00027931402852454846	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	2	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T02:09:00Z	2.9327972995077585e-09
KO_86.1_LP-DIR-AF3	KO_86.1_LP-DIR-AF	KO_86.1	0.99	88.85964027297717	35.98982453513786	 1.500e-02	0	0.00	0.00	3	273	0.00024958524943332266	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	3	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T02:09:00Z	2.6206451190498878e-09
KO_86.1_LP-DIR-AF4	KO_86.1_LP-DIR-AF	KO_86.1	0.99	81.36419778888319	37.23608650079665	 2.000e-02	0	0.00	0.00	4	273	0.0001935923435078273	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	4	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T02:09:00Z	2.0327196068321866e-09
KO_86.1_LP-DIR-AF5	KO_86.1_LP-DIR-AF	KO_86.1	0.99	86.08030445547558	25.254819934327642	 2.500e-02	0	0.00	0.00	5	273	0.00017099089631122236	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	5	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T02:09:00Z	1.7954044112678346e-09
KO_86.1_LP-DIR-AF6	KO_86.1_LP-DIR-AF	KO_86.1	0.99	96.73562764404731	20.16702175171717	 3.000e-02	0	0.00	0.00	6	273	0.00011850964157988282	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	6	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T02:09:00Z	1.2443512365887695e-09
KO_86.1_LP-DIR-AF7	KO_86.1_LP-DIR-AF	KO_86.1	0.99	89.3182014095128	22.797781371856097	 4.000e-02	0	0.00	0.00	7	273	5.382767835339083e-05	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	7	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T02:09:00Z	5.651906227106037e-10
KO_86.1_LP-DIR-AF8	KO_86.1_LP-DIR-AF	KO_86.1	0.99	14.633052919155658	56.58585865472837	 5.000e-02	0	0.00	0.00	8	273	6.845817366794205e-05	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	8	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T02:09:00Z	7.188108235133915e-10
KO_86.1_LP-DIR-AF9	KO_86.1_LP-DIR-AF	KO_86.1	0.99	266.21860686542294	20.983726459050352	 6.000e-02	0	0.00	0.00	9	273	6.542415525402638e-05	This study	Utrecht_ 2G DC	LT-AF-Z:LP-DIR-AF	g	9	u	8	2.730e+02	ROBOT	free string = 1586	pmagpy-4.2.19	2007-05-31T02:09:00Z	6.869536301672769e-10
