tab delimited	contribution
data_model_version	description
3.0	Downloaded from MagIC at 2018-08-17T06:03:26.864Z.
>>>>>>>>>>
tab delimited	sites
site	location	samples	specimens	site_alternatives	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	bed_dip	bed_dip_direction	lat	lon	geographic_precision	height	elevation	core_depth	composite_depth	age	age_sigma	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_r	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_comp_name	dir_polarity	dir_nrm_origin	conglomerate_test	contact_test	vgp_lat	vgp_lon	vgp_dp	vgp_dm	vgp_n_samples	vdm	vdm_sigma	vdm_n_samples	vadm	vadm_sigma	vadm_n_samples	paleolat	paleolon	magn_volume	magn_mass	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	int_n_specimens	description	criteria	instrument_codes	software_packages	external_database_ids	scientists	analysts
585	Arizona						LP-PI	10.1016/0031-9201(89)90032-0	Archeologic	Pottery	Not Specified			33.19	248.08																																																			
585	Arizona				i	g	DA-NO: LP-PI-ALT-PTRM :LP-PI-TRM	10.1016/0031-9201(89)90032-0						33.19	248.08						100	100			Years AD (+/-)																						1	6.36E+22							0.0000339			1	1	geomagia50 record. GEOMAGIA50:585, geomagia50 v 2. 0 record.				ARCHEOINTB [ 585]: GEOMAGIA50[ ArcheoIntNB2825 ]:CALS7K.2 [none ]		
597	Arizona						LP-PI	10.1016/0031-9201(89)90032-0	Archeologic	Pottery	Not Specified			33.19	248.08																																																			
597	Arizona				i	g	DA-NO: LP-PI-ALT-PTRM :LP-PI-TRM	10.1016/0031-9201(89)90032-0						33.19	248.08						625	75			Years AD (+/-)																						3	8.07E+22	2.4E+21						0.000043	0.00000129	3	3	3	geomagia50 record. GEOMAGIA50:597, geomagia50 v 2. 0 record.				ARCHEOINTB [ 597]: GEOMAGIA50[ ArcheoIntNB2809 ]:CALS7K.2 [none ]		
598	Arizona						LP-PI	10.1016/0031-9201(89)90032-0	Archeologic	Pottery	Not Specified			33.19	248.08																																																			
598	Arizona				i	g	DA-NO: LP-PI-ALT-PTRM :LP-PI-TRM	10.1016/0031-9201(89)90032-0						33.19	248.08						625	75			Years AD (+/-)																						3	8.26E+22	1.35E+22						0.000044	0.00000718	16.3	3	3	geomagia50 record. GEOMAGIA50:598, geomagia50 v 2. 0 record.				ARCHEOINTB [ 598]: GEOMAGIA50[ ArcheoIntNB2819 ]:CALS7K.2 [none ]		
600	Arizona						LP-PI	10.1016/0031-9201(89)90032-0	Archeologic	Pottery	Not Specified			33.19	248.08																																																			
600	Arizona				i	g	DA-NO: LP-PI-ALT-PTRM :LP-PI-TRM	10.1016/0031-9201(89)90032-0						33.19	248.08						750	100			Years AD (+/-)																						3	8.56E+22	7.1E+21						0.0000456	0.00000378	8.3	3	3	geomagia50 record. GEOMAGIA50:600, geomagia50 v 2. 0 record.				ARCHEOINTB [ 600]: GEOMAGIA50[ ArcheoIntNB2820 ]:CALS7K.2 [none ]		
601	Arizona						LP-PI	10.1016/0031-9201(89)90032-0	Archeologic	Pottery	Not Specified			33.19	248.08																																																			
601	Arizona				i	g	DA-NO: LP-PI-ALT-PTRM :LP-PI-TRM	10.1016/0031-9201(89)90032-0						33.19	248.08						800	100			Years AD (+/-)																						3	8.73E+22	5.5E+21						0.0000465	0.00000291	6.3	3	3	geomagia50 record. GEOMAGIA50:601, geomagia50 v 2. 0 record.				ARCHEOINTB [ 601]: GEOMAGIA50[ ArcheoIntNB2808 ]:CALS7K.2 [none ]		
