tab	magic_measurements
er_specimen_name	er_sample_name	er_site_name	er_location_name	magic_experiment_name	measurement_number	measurement_flag	magic_method_codes	measurement_sd_y	measurement_sd_x	er_citation_names	treatment_dc_field_theta	magic_software_packages	measurement_dec	er_analyst_mail_names	treatment_dc_field_phi	treatment_temp	measurement_standard	measurement_temp	measurement_csd	treatment_ac_field	magic_instrument_codes	measurement_magn_moment	treatment_dc_field	measurement_description	measurement_positions	measurement_inc	measurement_sd_z
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	1	g	LT-NO:LP-DIR-T	8.63e-09	1.35e-08	This study		pmagpy-3.2.1	37.2			273		273	2.3	0		3.93e-07	0		1	-53.2	2.14e-09
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	2	g	LT-LT-Z:LP-DIR-T	7.51e-09	1.25e-08	This study		pmagpy-3.2.1	36.7			77		273	2.0	0		4.29e-07	0		1	-50.9	2.78e-09
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	3	g	LT-T-Z:LP-DIR-T	1.28e-08	1.65e-08	This study		pmagpy-3.2.1	34.8			373.0		273	2.3	0		5.32e-07	0		1	-48.5	3.42e-09
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	4	g	LT-T-Z:LP-DIR-T	2.34e-08	2.39e-08	This study		pmagpy-3.2.1	029.3			423.0		273	3.0	0	hargrave 2014-10-22 15:53:24	6.71e-07	0		1	-47.6	1.04e-08
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	5	g	LT-T-Z:LP-DIR-T	1.31e-08	2.00e-08	This study		pmagpy-3.2.1	028.6			473.0		273	2.2	0	hargrave 2014-10-27 16:19:50	6.55e-07	0		1	-47.3	7.42e-09
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	6	g	LT-T-Z:LP-DIR-T	2.17e-08	1.81e-08	This study		pmagpy-3.2.1	028.5			523.0		273	3.1	0	hargrave 2014-10-28 13:42:19	5.27e-07	0		1	-49.3	4.18e-09
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	7	g	LT-T-Z:LP-DIR-T	1.36e-08	1.42e-08	This study		pmagpy-3.2.1	034.0			573.0		273	3.0	0	hargrave 2014-10-28 20:40:03	3.81e-07	0		1	-52.8	2.98e-09
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	8	g	LT-T-Z:LP-DIR-T	3.67e-09	7.58e-09	This study		pmagpy-3.2.1	040.3			623.0		273	2.0	0	hargrave 2014-10-29 20:53:02	2.40e-07	0		1	-57.3	1.87e-09
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	9	g	LT-T-Z:LP-DIR-T	5.83e-09	9.19e-09	This study		pmagpy-3.2.1	043.8			673.0		273	3.2	0	hargrave 2014-11-03 17:13:00	1.97e-07	0		1	-58.4	1.36e-09
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	10	g	LT-T-Z:LP-DIR-T	2.86e-09	5.82e-09	This study		pmagpy-3.2.1	046.8			698.0		273	2.1	0	hargrave 2014-11-04 12:03:42	1.78e-07	0		1	-59.9	1.36e-09
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	11	g	LT-T-Z:LP-DIR-T	3.62e-09	5.48e-09	This study		pmagpy-3.2.1	049.9			723.0		273	2.3	0	hargrave 2014-11-10 12:53:05	1.64e-07	0		1	-61.0	8.90e-10
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	12	g	LT-T-Z:LP-DIR-T	2.88e-09	3.62e-09	This study		pmagpy-3.2.1	053.3			748.0		273	1.7	0	hargrave 2014-11-10 22:11:56	1.52e-07	0		1	-63.2	5.24e-10
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	13	g	LT-T-Z:LP-DIR-T	3.57e-09	5.59e-09	This study		pmagpy-3.2.1	059.3			773.0		273	2.7	0	hargrave 2014-11-13 11:46:05	1.41e-07	0		1	-64.0	1.20e-09
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	14	g	LT-T-Z:LP-DIR-T	1.35e-09	3.75e-09	This study		pmagpy-3.2.1	064.8			788.0		273	1.7	0	hargrave 2014-11-17 17:26:46	1.33e-07	0		1	-65.4	5.73e-10
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	15	g	LT-T-Z:LP-DIR-T	8.48e-10	9.51e-10	This study		pmagpy-3.2.1	065.5			803.0		273	0.5	0	hargrave 2014-11-24 18:17:16	1.29e-07	0		1	-66.0	6.38e-10
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	16	g	LT-T-Z:LP-DIR-T	7.81e-10	1.06e-09	This study		pmagpy-3.2.1	069.9			818.0		273	0.5	0	hargrave 2014-12-01 16:59:18	1.28e-07	0		1	-66.2	7.35e-10
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	17	g	LT-T-Z:LP-DIR-T	1.01e-09	9.19e-10	This study		pmagpy-3.2.1	069.3			823.0		273	0.6	0	hargrave 2014-12-02 00:45:16	1.23e-07	0		1	-66.0	8.68e-10
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	18	g	LT-T-Z:LP-DIR-T	9.15e-10	1.51e-09	This study		pmagpy-3.2.1	075.0			828.0		273	0.8	0	hargrave 2014-12-05 13:40:46	1.18e-07	0		1	-66.3	1.06e-09
