tab 	pmag_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_method_codes	specimen_dec	specimen_description	specimen_inc	specimen_inferred_age	specimen_inferred_age_unit	specimen_int_rel
This study	DSDP Site 522	15-1-013	15-1-013	15-1-013	LP-PI-IRM:LP-PI-REL:LT-AF-Z	268.5	Declination rotated section mean=0/180;rel int is NRM/IRM	-41.2	22.75	Ma	8.090e-04
This study	DSDP Site 522	15-1-022	15-1-022	15-1-022	LP-PI-IRM:LP-PI-REL:LT-AF-Z	181.0	Declination rotated section mean=0/180;rel int is NRM/IRM	68.6	22.7786	Ma	1.805e-03
This study	DSDP Site 522	15-1-024	15-1-024	15-1-024	LP-PI-IRM:LP-PI-REL:LT-AF-Z	124.5	Declination rotated section mean=0/180;rel int is NRM/IRM	63.7	22.7893	Ma	7.913e-04
This study	DSDP Site 522	15-1-028	15-1-028	15-1-028	LP-PI-IRM:LP-PI-REL:LT-AF-Z	123.2	Declination rotated section mean=0/180;rel int is NRM/IRM	59.9	22.8036	Ma	7.920e-04
This study	DSDP Site 522	15-1-031	15-1-031	15-1-031	LP-PI-IRM:LP-PI-REL:LT-AF-Z	155.1	Declination rotated section mean=0/180;rel int is NRM/IRM	52.8	22.8143	Ma	1.039e-03
This study	DSDP Site 522	15-1-035	15-1-035	15-1-035	LP-PI-IRM:LP-PI-REL:LT-AF-Z	144.2	Declination rotated section mean=0/180;rel int is NRM/IRM	72.3	22.825	Ma	9.301e-04
This study	DSDP Site 522	15-1-039	15-1-039	15-1-039	LP-PI-IRM:LP-PI-REL:LT-AF-Z	127.5	Declination rotated section mean=0/180;rel int is NRM/IRM	65.9	22.8393	Ma	8.682e-04
This study	DSDP Site 522	15-1-041	15-1-041	15-1-041	LP-PI-IRM:LP-PI-REL:LT-AF-Z	355.0	Declination rotated section mean=0/180;rel int is NRM/IRM	-46.1	22.85	Ma	4.947e-04
This study	DSDP Site 522	15-1-045	15-1-045	15-1-045	LP-PI-IRM:LP-PI-REL:LT-AF-Z	2.4	Declination rotated section mean=0/180;rel int is NRM/IRM	-11.8	22.8598	Ma	2.592e-04
This study	DSDP Site 522	15-1-047	15-1-047	15-1-047	LP-PI-IRM:LP-PI-REL:LT-AF-Z	357.0	Declination rotated section mean=0/180;rel int is NRM/IRM	-47.4	22.8663	Ma	1.150e-03
This study	DSDP Site 522	15-1-051	15-1-051	15-1-051	LP-PI-IRM:LP-PI-REL:LT-AF-Z	348.7	Declination rotated section mean=0/180;rel int is NRM/IRM	-30.9	22.8792	Ma	9.583e-04
This study	DSDP Site 522	15-1-054	15-1-054	15-1-054	LP-PI-IRM:LP-PI-REL:LT-AF-Z	14.2	Declination rotated section mean=0/180;rel int is NRM/IRM	-49.6	22.889	Ma	1.851e-03
This study	DSDP Site 522	15-1-057	15-1-057	15-1-057	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.9	Declination rotated section mean=0/180;rel int is NRM/IRM	-50.4	22.8988	Ma	2.076e-03
This study	DSDP Site 522	15-1-060	15-1-060	15-1-060	LP-PI-IRM:LP-PI-REL:LT-AF-Z	6.4	Declination rotated section mean=0/180;rel int is NRM/IRM	-46.1	22.9118	Ma	2.356e-03
This study	DSDP Site 522	15-1-063	15-1-063	15-1-063	LP-PI-IRM:LP-PI-REL:LT-AF-Z	347.6	Declination rotated section mean=0/180;rel int is NRM/IRM	-41.3	22.9215	Ma	1.992e-03
This study	DSDP Site 522	15-1-066	15-1-066	15-1-066	LP-PI-IRM:LP-PI-REL:LT-AF-Z	359.7	Declination rotated section mean=0/180;rel int is NRM/IRM	-51.9	22.9312	Ma	2.136e-03
This study	DSDP Site 522	15-1-069	15-1-069	15-1-069	LP-PI-IRM:LP-PI-REL:LT-AF-Z	359.1	Declination rotated section mean=0/180;rel int is NRM/IRM	-52	22.9377	Ma	1.875e-03
This study	DSDP Site 522	15-1-072	15-1-072	15-1-072	LP-PI-IRM:LP-PI-REL:LT-AF-Z	347.5	Declination rotated section mean=0/180;rel int is NRM/IRM	-39.3	22.9475	Ma	1.839e-03
This study	DSDP Site 522	15-1-075	15-1-075	15-1-075	LP-PI-IRM:LP-PI-REL:LT-AF-Z	347.3	Declination rotated section mean=0/180;rel int is NRM/IRM	-37	22.9605	Ma	1.752e-03
This study	DSDP Site 522	15-1-079	15-1-079	15-1-079	LP-PI-IRM:LP-PI-REL:LT-AF-Z	359.5	Declination rotated section mean=0/180;rel int is NRM/IRM	-50.5	22.9703	Ma	1.612e-03
This study	DSDP Site 522	15-1-082	15-1-082	15-1-082	LP-PI-IRM:LP-PI-REL:LT-AF-Z	13.7	Declination rotated section mean=0/180;rel int is NRM/IRM	-50.5	22.98	Ma	1.617e-03
This study	DSDP Site 522	15-1-085	15-1-085	15-1-085	LP-PI-IRM:LP-PI-REL:LT-AF-Z	1.8	Declination rotated section mean=0/180;rel int is NRM/IRM	-45.7	22.9897	Ma	1.604e-03
This study	DSDP Site 522	15-1-088	15-1-088	15-1-088	LP-PI-IRM:LP-PI-REL:LT-AF-Z	9.7	Declination rotated section mean=0/180;rel int is NRM/IRM	-44.5	22.9995	Ma	2.096e-03
This study	DSDP Site 522	15-1-091	15-1-091	15-1-091	LP-PI-IRM:LP-PI-REL:LT-AF-Z	4.8	Declination rotated section mean=0/180;rel int is NRM/IRM	-45	23.0125	Ma	1.824e-03
This study	DSDP Site 522	15-1-094	15-1-094	15-1-094	LP-PI-IRM:LP-PI-REL:LT-AF-Z	11.9	Declination rotated section mean=0/180;rel int is NRM/IRM	-48.8	23.0223	Ma	1.851e-03
This study	DSDP Site 522	15-1-097	15-1-097	15-1-097	LP-PI-IRM:LP-PI-REL:LT-AF-Z	357.1	Declination rotated section mean=0/180;rel int is NRM/IRM	-30.3	23.032	Ma	1.716e-03
This study	DSDP Site 522	15-1-100	15-1-100	15-1-100	LP-PI-IRM:LP-PI-REL:LT-AF-Z	16.4	Declination rotated section mean=0/180;rel int is NRM/IRM	-47.7	23.0417	Ma	1.944e-03
This study	DSDP Site 522	15-1-103	15-1-103	15-1-103	LP-PI-IRM:LP-PI-REL:LT-AF-Z	17.6	Declination rotated section mean=0/180;rel int is NRM/IRM	-32.3	23.0483	Ma	1.386e-03
This study	DSDP Site 522	15-1-106	15-1-106	15-1-106	LP-PI-IRM:LP-PI-REL:LT-AF-Z	7.6	Declination rotated section mean=0/180;rel int is NRM/IRM	-10.5	23.0613	Ma	5.240e-04
This study	DSDP Site 522	15-1-109	15-1-109	15-1-109	LP-PI-IRM:LP-PI-REL:LT-AF-Z	15.7	Declination rotated section mean=0/180;rel int is NRM/IRM	22.6	23.0678	Ma	4.396e-04
This study	DSDP Site 522	15-1-113	15-1-113	15-1-113	LP-PI-IRM:LP-PI-REL:LT-AF-Z	56.8	Declination rotated section mean=0/180;rel int is NRM/IRM	72.8	23.0808	Ma	5.959e-04
This study	DSDP Site 522	15-1-115	15-1-115	15-1-115	LP-PI-IRM:LP-PI-REL:LT-AF-Z	344.2	Declination rotated section mean=0/180;rel int is NRM/IRM	-11.9	23.0905	Ma	4.927e-04
This study	DSDP Site 522	15-1-118	15-1-118	15-1-118	LP-PI-IRM:LP-PI-REL:LT-AF-Z	3.2	Declination rotated section mean=0/180;rel int is NRM/IRM	66	23.1003	Ma	4.645e-04
This study	DSDP Site 522	15-1-122	15-1-122	15-1-122	LP-PI-IRM:LP-PI-REL:LT-AF-Z	172.6	Declination rotated section mean=0/180;rel int is NRM/IRM	76.8	23.11	Ma	1.265e-03
This study	DSDP Site 522	15-1-125	15-1-125	15-1-125	LP-PI-IRM:LP-PI-REL:LT-AF-Z	179.0	Declination rotated section mean=0/180;rel int is NRM/IRM	58.9	23.1204	Ma	2.121e-03
This study	DSDP Site 522	15-1-128	15-1-128	15-1-128	LP-PI-IRM:LP-PI-REL:LT-AF-Z	165.7	Declination rotated section mean=0/180;rel int is NRM/IRM	65.2	23.1308	Ma	1.434e-03
This study	DSDP Site 522	15-1-131	15-1-131	15-1-131	LP-PI-IRM:LP-PI-REL:LT-AF-Z	114.4	Declination rotated section mean=0/180;rel int is NRM/IRM	72	23.1412	Ma	1.101e-03
This study	DSDP Site 522	15-1-134	15-1-134	15-1-134	LP-PI-IRM:LP-PI-REL:LT-AF-Z	171.8	Declination rotated section mean=0/180;rel int is NRM/IRM	72.7	23.155	Ma	1.359e-03
This study	DSDP Site 522	15-1-137	15-1-137	15-1-137	LP-PI-IRM:LP-PI-REL:LT-AF-Z	189.5	Declination rotated section mean=0/180;rel int is NRM/IRM	73.2	23.1654	Ma	1.248e-03
This study	DSDP Site 522	15-1-140	15-1-140	15-1-140	LP-PI-IRM:LP-PI-REL:LT-AF-Z	155.8	Declination rotated section mean=0/180;rel int is NRM/IRM	89.1	23.1758	Ma	8.627e-04
This study	DSDP Site 522	15-1-144	15-1-144	15-1-144	LP-PI-IRM:LP-PI-REL:LT-AF-Z	198.6	Declination rotated section mean=0/180;rel int is NRM/IRM	72.3	23.1862	Ma	9.648e-04
This study	DSDP Site 522	15-1-147	15-1-147	15-1-147	LP-PI-IRM:LP-PI-REL:LT-AF-Z	185.4	Declination rotated section mean=0/180;rel int is NRM/IRM	70	23.1965	Ma	1.449e-03
This study	DSDP Site 522	15-1-149	15-1-149	15-1-149	LP-PI-IRM:LP-PI-REL:LT-AF-Z	313.1	Declination rotated section mean=0/180;rel int is NRM/IRM	78.8	23.2069	Ma	1.318e-03
This study	DSDP Site 522	15-2-003	15-2-003	15-2-003	LP-PI-IRM:LP-PI-REL:LT-AF-Z	152.8	Declination rotated section mean=0/180;rel int is NRM/IRM	46.9	23.2173	Ma	2.156e-03
This study	DSDP Site 522	15-2-005	15-2-005	15-2-005	LP-PI-IRM:LP-PI-REL:LT-AF-Z	149.9	Declination rotated section mean=0/180;rel int is NRM/IRM	50	23.2277	Ma	2.664e-03
This study	DSDP Site 522	15-2-008	15-2-008	15-2-008	LP-PI-IRM:LP-PI-REL:LT-AF-Z	157.8	Declination rotated section mean=0/180;rel int is NRM/IRM	47.9	23.2381	Ma	3.048e-03
This study	DSDP Site 522	15-2-012	15-2-012	15-2-012	LP-PI-IRM:LP-PI-REL:LT-AF-Z	157.5	Declination rotated section mean=0/180;rel int is NRM/IRM	47.1	23.2485	Ma	2.664e-03
This study	DSDP Site 522	15-2-014	15-2-014	15-2-014	LP-PI-IRM:LP-PI-REL:LT-AF-Z	155.3	Declination rotated section mean=0/180;rel int is NRM/IRM	44.9	23.2588	Ma	2.138e-03
This study	DSDP Site 522	15-2-019	15-2-019	15-2-019	LP-PI-IRM:LP-PI-REL:LT-AF-Z	182.5	Declination rotated section mean=0/180;rel int is NRM/IRM	33.6	23.2727	Ma	7.320e-04
This study	DSDP Site 522	15-2-021	15-2-021	15-2-021	LP-PI-IRM:LP-PI-REL:LT-AF-Z	168.8	Declination rotated section mean=0/180;rel int is NRM/IRM	56	23.2831	Ma	2.278e-03
This study	DSDP Site 522	15-2-024	15-2-024	15-2-024	LP-PI-IRM:LP-PI-REL:LT-AF-Z	149.6	Declination rotated section mean=0/180;rel int is NRM/IRM	57.5	23.2935	Ma	2.190e-03
This study	DSDP Site 522	15-2-027	15-2-027	15-2-027	LP-PI-IRM:LP-PI-REL:LT-AF-Z	150.4	Declination rotated section mean=0/180;rel int is NRM/IRM	54.5	23.3038	Ma	2.486e-03
This study	DSDP Site 522	15-2-030	15-2-030	15-2-030	LP-PI-IRM:LP-PI-REL:LT-AF-Z	154.2	Declination rotated section mean=0/180;rel int is NRM/IRM	48.3	23.3142	Ma	1.582e-03
This study	DSDP Site 522	15-2-034	15-2-034	15-2-034	LP-PI-IRM:LP-PI-REL:LT-AF-Z	148.7	Declination rotated section mean=0/180;rel int is NRM/IRM	42.1	23.3246	Ma	1.212e-03
This study	DSDP Site 522	15-2-037	15-2-037	15-2-037	LP-PI-IRM:LP-PI-REL:LT-AF-Z	135.3	Declination rotated section mean=0/180;rel int is NRM/IRM	49.1	23.3385	Ma	7.224e-04
This study	DSDP Site 522	15-2-040	15-2-040	15-2-040	LP-PI-IRM:LP-PI-REL:LT-AF-Z	156.3	Declination rotated section mean=0/180;rel int is NRM/IRM	32.8	23.3488	Ma	8.489e-04
This study	DSDP Site 522	15-2-043	15-2-043	15-2-043	LP-PI-IRM:LP-PI-REL:LT-AF-Z	146.6	Declination rotated section mean=0/180;rel int is NRM/IRM	22.7	23.3592	Ma	7.790e-04
This study	DSDP Site 522	15-2-046	15-2-046	15-2-046	LP-PI-IRM:LP-PI-REL:LT-AF-Z	161.7	Declination rotated section mean=0/180;rel int is NRM/IRM	1.5	23.3662	Ma	4.308e-04
This study	DSDP Site 522	15-2-050	15-2-050	15-2-050	LP-PI-IRM:LP-PI-REL:LT-AF-Z	33.5	Declination rotated section mean=0/180;rel int is NRM/IRM	-86.5	23.38	Ma	3.878e-04
This study	DSDP Site 522	15-2-055	15-2-055	15-2-055	LP-PI-IRM:LP-PI-REL:LT-AF-Z	344.0	Declination rotated section mean=0/180;rel int is NRM/IRM	-45.7	23.3978	Ma	6.387e-04
This study	DSDP Site 522	15-2-058	15-2-058	15-2-058	LP-PI-IRM:LP-PI-REL:LT-AF-Z	320.5	Declination rotated section mean=0/180;rel int is NRM/IRM	-71	23.412	Ma	1.795e-03
This study	DSDP Site 522	15-2-061	15-2-061	15-2-061	LP-PI-IRM:LP-PI-REL:LT-AF-Z	340.5	Declination rotated section mean=0/180;rel int is NRM/IRM	-69.1	23.4191	Ma	1.121e-03
