tab 	ages
age	age_unit	citations	location	method_codes	site
22.75	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-013
22.7786	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-022
22.7893	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-024
22.8036	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-028
22.8143	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-031
22.825	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-035
22.8393	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-039
22.85	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-041
22.8598	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-045
22.8663	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-047
22.8792	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-051
22.889	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-054
22.8988	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-057
22.9118	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-060
22.9215	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-063
22.9312	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-066
22.9377	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-069
22.9475	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-072
22.9605	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-075
22.9703	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-079
22.98	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-082
22.9897	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-085
22.9995	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-088
23.0125	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-091
23.0223	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-094
23.032	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-097
23.0417	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-100
23.0483	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-103
23.0613	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-106
23.0678	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-109
23.0808	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-113
23.0905	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-115
23.1003	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-118
23.11	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-122
23.1204	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-125
23.1308	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-128
23.1412	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-131
23.155	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-134
23.1654	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-137
23.1758	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-140
23.1862	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-144
23.1965	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-147
23.2069	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-1-149
23.2173	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-003
23.2277	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-005
23.2381	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-008
23.2485	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-012
23.2588	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-014
23.2727	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-019
23.2831	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-021
23.2935	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-024
23.3038	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-027
23.3142	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-030
23.3246	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-034
23.3385	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-037
23.3488	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-040
23.3592	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-043
23.3662	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-046
23.38	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-050
23.3978	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-055
23.412	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-058
23.4191	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-061
23.4298	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-064
23.4404	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-067
23.4511	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-070
23.4618	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-073
23.476	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-076
23.4867	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-079
23.4973	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-082
23.508	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-085
23.5187	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-088
23.5293	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-091
23.54	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-095
23.5453	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-098
23.5507	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-101
23.556	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-104
23.5613	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-107
23.5649	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-109
23.5737	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-113
23.5791	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-116
23.5844	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-119
23.5897	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-123
23.595	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-126
23.6004	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-128
23.6057	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-132
23.611	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-135
23.6164	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-138
23.6217	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-141
23.627	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-143
23.6323	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-147
23.6377	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-2-150
23.6394	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-3-001
23.6465	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-3-004
23.6519	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-3-007
23.6572	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-3-010
23.6625	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-3-013
23.6661	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-3-015
23.6732	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-3-019
23.6785	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-3-022
23.6821	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-3-025
23.6892	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-3-028
23.6945	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-3-031
23.6998	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-3-035
23.7051	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-3-038
23.7105	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-3-041
23.7158	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-3-044
23.7211	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-3-047
23.73	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-3-051
23.7339	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-3-054
23.7398	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-3-057
23.7495	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-3-061
23.7534	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-3-064
23.7593	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-3-067
23.7671	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-3-071
23.7749	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-3-075
23.7807	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-3-078
23.7866	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-3-080
23.7924	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-3-083
23.7983	Ma	This study	DSDP Site 522	GM-INT-L:GM-PMAG-POL	15-3-086
