tab	ages
age	location	site	age_unit	citations	description	method_codes
22.75	DSDP Site 522	15-1-013	Ma	This study		GM-PMAG-POL:GM-INT-L
22.7786	DSDP Site 522	15-1-022	Ma	This study		GM-PMAG-POL:GM-INT-L
22.7893	DSDP Site 522	15-1-024	Ma	This study		GM-PMAG-POL:GM-INT-L
22.8036	DSDP Site 522	15-1-028	Ma	This study		GM-PMAG-POL:GM-INT-L
22.8143	DSDP Site 522	15-1-031	Ma	This study		GM-PMAG-POL:GM-INT-L
22.825	DSDP Site 522	15-1-035	Ma	This study		GM-PMAG-POL:GM-INT-L
22.8393	DSDP Site 522	15-1-039	Ma	This study		GM-PMAG-POL:GM-INT-L
22.85	DSDP Site 522	15-1-041	Ma	This study		GM-PMAG-POL:GM-INT-L
22.8598	DSDP Site 522	15-1-045	Ma	This study		GM-PMAG-POL:GM-INT-L
22.8663	DSDP Site 522	15-1-047	Ma	This study		GM-PMAG-POL:GM-INT-L
22.8792	DSDP Site 522	15-1-051	Ma	This study		GM-PMAG-POL:GM-INT-L
22.889	DSDP Site 522	15-1-054	Ma	This study		GM-PMAG-POL:GM-INT-L
22.8988	DSDP Site 522	15-1-057	Ma	This study		GM-PMAG-POL:GM-INT-L
22.9118	DSDP Site 522	15-1-060	Ma	This study		GM-PMAG-POL:GM-INT-L
22.9215	DSDP Site 522	15-1-063	Ma	This study		GM-PMAG-POL:GM-INT-L
22.9312	DSDP Site 522	15-1-066	Ma	This study		GM-PMAG-POL:GM-INT-L
22.9377	DSDP Site 522	15-1-069	Ma	This study		GM-PMAG-POL:GM-INT-L
22.9475	DSDP Site 522	15-1-072	Ma	This study		GM-PMAG-POL:GM-INT-L
22.9605	DSDP Site 522	15-1-075	Ma	This study		GM-PMAG-POL:GM-INT-L
22.9703	DSDP Site 522	15-1-079	Ma	This study		GM-PMAG-POL:GM-INT-L
22.98	DSDP Site 522	15-1-082	Ma	This study		GM-PMAG-POL:GM-INT-L
22.9897	DSDP Site 522	15-1-085	Ma	This study		GM-PMAG-POL:GM-INT-L
22.9995	DSDP Site 522	15-1-088	Ma	This study		GM-PMAG-POL:GM-INT-L
23.0125	DSDP Site 522	15-1-091	Ma	This study		GM-PMAG-POL:GM-INT-L
23.0223	DSDP Site 522	15-1-094	Ma	This study		GM-PMAG-POL:GM-INT-L
23.032	DSDP Site 522	15-1-097	Ma	This study		GM-PMAG-POL:GM-INT-L
23.0417	DSDP Site 522	15-1-100	Ma	This study		GM-PMAG-POL:GM-INT-L
23.0483	DSDP Site 522	15-1-103	Ma	This study		GM-PMAG-POL:GM-INT-L
23.0613	DSDP Site 522	15-1-106	Ma	This study		GM-PMAG-POL:GM-INT-L
23.0678	DSDP Site 522	15-1-109	Ma	This study		GM-PMAG-POL:GM-INT-L
23.0808	DSDP Site 522	15-1-113	Ma	This study		GM-PMAG-POL:GM-INT-L
23.0905	DSDP Site 522	15-1-115	Ma	This study		GM-PMAG-POL:GM-INT-L
23.1003	DSDP Site 522	15-1-118	Ma	This study		GM-PMAG-POL:GM-INT-L
23.11	DSDP Site 522	15-1-122	Ma	This study		GM-PMAG-POL:GM-INT-L
23.1204	DSDP Site 522	15-1-125	Ma	This study		GM-PMAG-POL:GM-INT-L
23.1308	DSDP Site 522	15-1-128	Ma	This study		GM-PMAG-POL:GM-INT-L
23.1412	DSDP Site 522	15-1-131	Ma	This study		GM-PMAG-POL:GM-INT-L
23.155	DSDP Site 522	15-1-134	Ma	This study		GM-PMAG-POL:GM-INT-L
23.1654	DSDP Site 522	15-1-137	Ma	This study		GM-PMAG-POL:GM-INT-L
23.1758	DSDP Site 522	15-1-140	Ma	This study		GM-PMAG-POL:GM-INT-L
23.1862	DSDP Site 522	15-1-144	Ma	This study		GM-PMAG-POL:GM-INT-L
23.1965	DSDP Site 522	15-1-147	Ma	This study		GM-PMAG-POL:GM-INT-L
23.2069	DSDP Site 522	15-1-149	Ma	This study		GM-PMAG-POL:GM-INT-L
23.2173	DSDP Site 522	15-2-003	Ma	This study		GM-PMAG-POL:GM-INT-L
23.2277	DSDP Site 522	15-2-005	Ma	This study		GM-PMAG-POL:GM-INT-L
23.2381	DSDP Site 522	15-2-008	Ma	This study		GM-PMAG-POL:GM-INT-L
23.2485	DSDP Site 522	15-2-012	Ma	This study		GM-PMAG-POL:GM-INT-L
23.2588	DSDP Site 522	15-2-014	Ma	This study		GM-PMAG-POL:GM-INT-L
23.2727	DSDP Site 522	15-2-019	Ma	This study		GM-PMAG-POL:GM-INT-L
23.2831	DSDP Site 522	15-2-021	Ma	This study		GM-PMAG-POL:GM-INT-L
23.2935	DSDP Site 522	15-2-024	Ma	This study		GM-PMAG-POL:GM-INT-L
23.3038	DSDP Site 522	15-2-027	Ma	This study		GM-PMAG-POL:GM-INT-L
23.3142	DSDP Site 522	15-2-030	Ma	This study		GM-PMAG-POL:GM-INT-L
23.3246	DSDP Site 522	15-2-034	Ma	This study		GM-PMAG-POL:GM-INT-L
23.3385	DSDP Site 522	15-2-037	Ma	This study		GM-PMAG-POL:GM-INT-L
23.3488	DSDP Site 522	15-2-040	Ma	This study		GM-PMAG-POL:GM-INT-L
23.3592	DSDP Site 522	15-2-043	Ma	This study		GM-PMAG-POL:GM-INT-L
23.3662	DSDP Site 522	15-2-046	Ma	This study		GM-PMAG-POL:GM-INT-L
23.38	DSDP Site 522	15-2-050	Ma	This study		GM-PMAG-POL:GM-INT-L
23.3978	DSDP Site 522	15-2-055	Ma	This study		GM-PMAG-POL:GM-INT-L
23.412	DSDP Site 522	15-2-058	Ma	This study		GM-PMAG-POL:GM-INT-L
