tab	measurements
citations	dir_dec	dir_inc	experiment	instrument_codes	magn_mass	meas_temp	measurement	method_codes	quality	sequence	specimen	standard	susc_chi_mass	treat_ac_field	treat_dc_field	treat_step_num	treat_temp
This study	268.5	-41.2	15-1-013:LP-AF-DIR		2.91e-06	300	15-1-013:LP-AF-DIR1	LT-AF-Z	g		15-1-013	u		0.015	0.0	1	300
This study			15-1-013:LP-ARM		0.0001794	300	15-1-013:LP-ARM2	LT-AF-I	g		15-1-013	u		0.08	5e-05	2	300
This study			15-1-013:LP-IRM		0.003597	300	15-1-013:LP-IRM3	LT-IRM	g		15-1-013	u		0.0	1.0	3	300
This study			15-1-013:LP-X			300	15-1-013:LP-X4	LP-X			15-1-013		2.376e-07	0.01	0.0	4	300
This study	181.0	68.6	15-1-022:LP-AF-DIR		1.117e-05	300	15-1-022:LP-AF-DIR5	LT-AF-Z	g		15-1-022	u		0.015	0.0	5	300
This study			15-1-022:LP-ARM		0.00030039999999999993	300	15-1-022:LP-ARM6	LT-AF-I	g		15-1-022	u		0.08	5e-05	6	300
This study			15-1-022:LP-IRM		0.00619	300	15-1-022:LP-IRM7	LT-IRM	g		15-1-022	u		0.0	1.0	7	300
This study			15-1-022:LP-X			300	15-1-022:LP-X8	LP-X			15-1-022		4.103e-07	0.01	0.0	8	300
This study	124.5	63.7	15-1-024:LP-AF-DIR		5.387e-06	300	15-1-024:LP-AF-DIR9	LT-AF-Z	g		15-1-024	u		0.015	0.0	9	300
This study			15-1-024:LP-ARM		0.00032930000000000004	300	15-1-024:LP-ARM10	LT-AF-I	g		15-1-024	u		0.08	5e-05	10	300
This study			15-1-024:LP-IRM		0.006808	300	15-1-024:LP-IRM11	LT-IRM	g		15-1-024	u		0.0	1.0	11	300
This study			15-1-024:LP-X			300	15-1-024:LP-X12	LP-X			15-1-024		4.6399999999999997e-07	0.01	0.0	12	300
This study	123.2	59.9	15-1-028:LP-AF-DIR		2.687e-06	300	15-1-028:LP-AF-DIR13	LT-AF-Z	g		15-1-028	u		0.015	0.0	13	300
This study			15-1-028:LP-ARM		0.0001794	300	15-1-028:LP-ARM14	LT-AF-I	g		15-1-028	u		0.08	5e-05	14	300
This study			15-1-028:LP-IRM		0.003393	300	15-1-028:LP-IRM15	LT-IRM	g		15-1-028	u		0.0	1.0	15	300
This study			15-1-028:LP-X			300	15-1-028:LP-X16	LP-X			15-1-028		2.279e-07	0.01	0.0	16	300
This study	155.1	52.8	15-1-031:LP-AF-DIR		3.44e-06	300	15-1-031:LP-AF-DIR17	LT-AF-Z	g		15-1-031	u		0.015	0.0	17	300
This study			15-1-031:LP-ARM		0.0001712	300	15-1-031:LP-ARM18	LT-AF-I	g		15-1-031	u		0.08	5e-05	18	300
This study			15-1-031:LP-IRM		0.003311	300	15-1-031:LP-IRM19	LT-IRM	g		15-1-031	u		0.0	1.0	19	300
This study			15-1-031:LP-X			300	15-1-031:LP-X20	LP-X			15-1-031		2.245e-07	0.01	0.0	20	300
This study	144.2	72.3	15-1-035:LP-AF-DIR		4.08e-06	300	15-1-035:LP-AF-DIR21	LT-AF-Z	g		15-1-035	u		0.015	0.0	21	300
This study			15-1-035:LP-ARM		0.00022159999999999997	300	15-1-035:LP-ARM22	LT-AF-I	g		15-1-035	u		0.08	5e-05	22	300
This study			15-1-035:LP-IRM		0.004386999999999999	300	15-1-035:LP-IRM23	LT-IRM	g		15-1-035	u		0.0	1.0	23	300
This study			15-1-035:LP-X			300	15-1-035:LP-X24	LP-X			15-1-035		3.083e-07	0.01	0.0	24	300
This study	127.5	65.9	15-1-039:LP-AF-DIR		4.375e-06	300	15-1-039:LP-AF-DIR25	LT-AF-Z	g		15-1-039	u		0.015	0.0	25	300
This study			15-1-039:LP-ARM		0.00025550000000000003	300	15-1-039:LP-ARM26	LT-AF-I	g		15-1-039	u		0.08	5e-05	26	300
This study			15-1-039:LP-IRM		0.005039	300	15-1-039:LP-IRM27	LT-IRM	g		15-1-039	u		0.0	1.0	27	300
This study			15-1-039:LP-X			300	15-1-039:LP-X28	LP-X			15-1-039		3.567e-07	0.01	0.0	28	300
This study	355.0	-46.1	15-1-041:LP-AF-DIR		2.997e-06	300	15-1-041:LP-AF-DIR29	LT-AF-Z	g		15-1-041	u		0.015	0.0	29	300
This study			15-1-041:LP-ARM		0.0003103	300	15-1-041:LP-ARM30	LT-AF-I	g		15-1-041	u		0.08	5e-05	30	300
This study			15-1-041:LP-IRM		0.006057	300	15-1-041:LP-IRM31	LT-IRM	g		15-1-041	u		0.0	1.0	31	300
This study			15-1-041:LP-X			300	15-1-041:LP-X32	LP-X			15-1-041		4.4310000000000004e-07	0.01	0.0	32	300
This study	2.4	-11.8	15-1-045:LP-AF-DIR		1.421e-06	300	15-1-045:LP-AF-DIR33	LT-AF-Z	g		15-1-045	u		0.015	0.0	33	300
This study			15-1-045:LP-ARM		0.0002829	300	15-1-045:LP-ARM34	LT-AF-I	g		15-1-045	u		0.08	5e-05	34	300
This study			15-1-045:LP-IRM		0.005483	300	15-1-045:LP-IRM35	LT-IRM	g		15-1-045	u		0.0	1.0	35	300
This study			15-1-045:LP-X			300	15-1-045:LP-X36	LP-X			15-1-045		3.9710000000000003e-07	0.01	0.0	36	300
This study	357.0	-47.4	15-1-047:LP-AF-DIR		6.509e-06	300	15-1-047:LP-AF-DIR37	LT-AF-Z	g		15-1-047	u		0.015	0.0	37	300
This study			15-1-047:LP-ARM		0.00028369999999999996	300	15-1-047:LP-ARM38	LT-AF-I	g		15-1-047	u		0.08	5e-05	38	300
This study			15-1-047:LP-IRM		0.005658	300	15-1-047:LP-IRM39	LT-IRM	g		15-1-047	u		0.0	1.0	39	300
This study			15-1-047:LP-X			300	15-1-047:LP-X40	LP-X			15-1-047		4.0560000000000003e-07	0.01	0.0	40	300
This study	348.7	-30.9	15-1-051:LP-AF-DIR		5.712000000000001e-06	300	15-1-051:LP-AF-DIR41	LT-AF-Z	g		15-1-051	u		0.015	0.0	41	300
This study			15-1-051:LP-ARM		0.00030789999999999995	300	15-1-051:LP-ARM42	LT-AF-I	g		15-1-051	u		0.08	5e-05	42	300
This study			15-1-051:LP-IRM		0.00596	300	15-1-051:LP-IRM43	LT-IRM	g		15-1-051	u		0.0	1.0	43	300
This study			15-1-051:LP-X			300	15-1-051:LP-X44	LP-X			15-1-051		4.2799999999999997e-07	0.01	0.0	44	300
This study	14.2	-49.6	15-1-054:LP-AF-DIR		9.347e-06	300	15-1-054:LP-AF-DIR45	LT-AF-Z	g		15-1-054	u		0.015	0.0	45	300
This study			15-1-054:LP-ARM		0.0002539	300	15-1-054:LP-ARM46	LT-AF-I	g		15-1-054	u		0.08	5e-05	46	300
This study			15-1-054:LP-IRM		0.005051	300	15-1-054:LP-IRM47	LT-IRM	g		15-1-054	u		0.0	1.0	47	300
This study			15-1-054:LP-X			300	15-1-054:LP-X48	LP-X			15-1-054		3.575e-07	0.01	0.0	48	300
This study	0.9	-50.4	15-1-057:LP-AF-DIR		1.063e-05	300	15-1-057:LP-AF-DIR49	LT-AF-Z	g		15-1-057	u		0.015	0.0	49	300
This study			15-1-057:LP-ARM		0.00024219999999999998	300	15-1-057:LP-ARM50	LT-AF-I	g		15-1-057	u		0.08	5e-05	50	300
This study			15-1-057:LP-IRM		0.005122	300	15-1-057:LP-IRM51	LT-IRM	g		15-1-057	u		0.0	1.0	51	300
