tab	samples
citations	location	sample	site	method_codes	sample_core_depth
This study	DSDP Site 522	15-1-013	15-1-013	FS-C-DRILL-IODP:SP-SS-C:SO-V	55.23
This study	DSDP Site 522	15-1-022	15-1-022	FS-C-DRILL-IODP:SP-SS-C:SO-V	55.31
This study	DSDP Site 522	15-1-024	15-1-024	FS-C-DRILL-IODP:SP-SS-C:SO-V	55.34
This study	DSDP Site 522	15-1-028	15-1-028	FS-C-DRILL-IODP:SP-SS-C:SO-V	55.38
This study	DSDP Site 522	15-1-031	15-1-031	FS-C-DRILL-IODP:SP-SS-C:SO-V	55.41
This study	DSDP Site 522	15-1-035	15-1-035	FS-C-DRILL-IODP:SP-SS-C:SO-V	55.44
This study	DSDP Site 522	15-1-039	15-1-039	FS-C-DRILL-IODP:SP-SS-C:SO-V	55.48
This study	DSDP Site 522	15-1-041	15-1-041	FS-C-DRILL-IODP:SP-SS-C:SO-V	55.51
This study	DSDP Site 522	15-1-045	15-1-045	FS-C-DRILL-IODP:SP-SS-C:SO-V	55.54
This study	DSDP Site 522	15-1-047	15-1-047	FS-C-DRILL-IODP:SP-SS-C:SO-V	55.56
This study	DSDP Site 522	15-1-051	15-1-051	FS-C-DRILL-IODP:SP-SS-C:SO-V	55.6
This study	DSDP Site 522	15-1-054	15-1-054	FS-C-DRILL-IODP:SP-SS-C:SO-V	55.63
This study	DSDP Site 522	15-1-057	15-1-057	FS-C-DRILL-IODP:SP-SS-C:SO-V	55.66
This study	DSDP Site 522	15-1-060	15-1-060	FS-C-DRILL-IODP:SP-SS-C:SO-V	55.7
This study	DSDP Site 522	15-1-063	15-1-063	FS-C-DRILL-IODP:SP-SS-C:SO-V	55.73
This study	DSDP Site 522	15-1-066	15-1-066	FS-C-DRILL-IODP:SP-SS-C:SO-V	55.76
This study	DSDP Site 522	15-1-069	15-1-069	FS-C-DRILL-IODP:SP-SS-C:SO-V	55.78
This study	DSDP Site 522	15-1-072	15-1-072	FS-C-DRILL-IODP:SP-SS-C:SO-V	55.81
This study	DSDP Site 522	15-1-075	15-1-075	FS-C-DRILL-IODP:SP-SS-C:SO-V	55.85
This study	DSDP Site 522	15-1-079	15-1-079	FS-C-DRILL-IODP:SP-SS-C:SO-V	55.88
This study	DSDP Site 522	15-1-082	15-1-082	FS-C-DRILL-IODP:SP-SS-C:SO-V	55.91
This study	DSDP Site 522	15-1-085	15-1-085	FS-C-DRILL-IODP:SP-SS-C:SO-V	55.94
This study	DSDP Site 522	15-1-088	15-1-088	FS-C-DRILL-IODP:SP-SS-C:SO-V	55.97
This study	DSDP Site 522	15-1-091	15-1-091	FS-C-DRILL-IODP:SP-SS-C:SO-V	56.01
This study	DSDP Site 522	15-1-094	15-1-094	FS-C-DRILL-IODP:SP-SS-C:SO-V	56.04
This study	DSDP Site 522	15-1-097	15-1-097	FS-C-DRILL-IODP:SP-SS-C:SO-V	56.07
This study	DSDP Site 522	15-1-100	15-1-100	FS-C-DRILL-IODP:SP-SS-C:SO-V	56.1
This study	DSDP Site 522	15-1-103	15-1-103	FS-C-DRILL-IODP:SP-SS-C:SO-V	56.12
This study	DSDP Site 522	15-1-106	15-1-106	FS-C-DRILL-IODP:SP-SS-C:SO-V	56.16
This study	DSDP Site 522	15-1-109	15-1-109	FS-C-DRILL-IODP:SP-SS-C:SO-V	56.18
This study	DSDP Site 522	15-1-113	15-1-113	FS-C-DRILL-IODP:SP-SS-C:SO-V	56.22
This study	DSDP Site 522	15-1-115	15-1-115	FS-C-DRILL-IODP:SP-SS-C:SO-V	56.25
This study	DSDP Site 522	15-1-118	15-1-118	FS-C-DRILL-IODP:SP-SS-C:SO-V	56.28
This study	DSDP Site 522	15-1-122	15-1-122	FS-C-DRILL-IODP:SP-SS-C:SO-V	56.31
This study	DSDP Site 522	15-1-125	15-1-125	FS-C-DRILL-IODP:SP-SS-C:SO-V	56.34
This study	DSDP Site 522	15-1-128	15-1-128	FS-C-DRILL-IODP:SP-SS-C:SO-V	56.37
This study	DSDP Site 522	15-1-131	15-1-131	FS-C-DRILL-IODP:SP-SS-C:SO-V	56.4
This study	DSDP Site 522	15-1-134	15-1-134	FS-C-DRILL-IODP:SP-SS-C:SO-V	56.44
This study	DSDP Site 522	15-1-137	15-1-137	FS-C-DRILL-IODP:SP-SS-C:SO-V	56.47
This study	DSDP Site 522	15-1-140	15-1-140	FS-C-DRILL-IODP:SP-SS-C:SO-V	56.5
This study	DSDP Site 522	15-1-144	15-1-144	FS-C-DRILL-IODP:SP-SS-C:SO-V	56.53
This study	DSDP Site 522	15-1-147	15-1-147	FS-C-DRILL-IODP:SP-SS-C:SO-V	56.56
This study	DSDP Site 522	15-1-149	15-1-149	FS-C-DRILL-IODP:SP-SS-C:SO-V	56.59
This study	DSDP Site 522	15-2-003	15-2-003	FS-C-DRILL-IODP:SP-SS-C:SO-V	56.62
This study	DSDP Site 522	15-2-005	15-2-005	FS-C-DRILL-IODP:SP-SS-C:SO-V	56.65
This study	DSDP Site 522	15-2-008	15-2-008	FS-C-DRILL-IODP:SP-SS-C:SO-V	56.68
This study	DSDP Site 522	15-2-012	15-2-012	FS-C-DRILL-IODP:SP-SS-C:SO-V	56.71
This study	DSDP Site 522	15-2-014	15-2-014	FS-C-DRILL-IODP:SP-SS-C:SO-V	56.74
This study	DSDP Site 522	15-2-019	15-2-019	FS-C-DRILL-IODP:SP-SS-C:SO-V	56.78
This study	DSDP Site 522	15-2-021	15-2-021	FS-C-DRILL-IODP:SP-SS-C:SO-V	56.81
This study	DSDP Site 522	15-2-024	15-2-024	FS-C-DRILL-IODP:SP-SS-C:SO-V	56.84
This study	DSDP Site 522	15-2-027	15-2-027	FS-C-DRILL-IODP:SP-SS-C:SO-V	56.87
This study	DSDP Site 522	15-2-030	15-2-030	FS-C-DRILL-IODP:SP-SS-C:SO-V	56.9
This study	DSDP Site 522	15-2-034	15-2-034	FS-C-DRILL-IODP:SP-SS-C:SO-V	56.93
This study	DSDP Site 522	15-2-037	15-2-037	FS-C-DRILL-IODP:SP-SS-C:SO-V	56.97
This study	DSDP Site 522	15-2-040	15-2-040	FS-C-DRILL-IODP:SP-SS-C:SO-V	57
This study	DSDP Site 522	15-2-043	15-2-043	FS-C-DRILL-IODP:SP-SS-C:SO-V	57.03
This study	DSDP Site 522	15-2-046	15-2-046	FS-C-DRILL-IODP:SP-SS-C:SO-V	57.05
This study	DSDP Site 522	15-2-050	15-2-050	FS-C-DRILL-IODP:SP-SS-C:SO-V	57.09
This study	DSDP Site 522	15-2-055	15-2-055	FS-C-DRILL-IODP:SP-SS-C:SO-V	57.14
This study	DSDP Site 522	15-2-058	15-2-058	FS-C-DRILL-IODP:SP-SS-C:SO-V	57.18
This study	DSDP Site 522	15-2-061	15-2-061	FS-C-DRILL-IODP:SP-SS-C:SO-V	57.2
This study	DSDP Site 522	15-2-064	15-2-064	FS-C-DRILL-IODP:SP-SS-C:SO-V	57.23
This study	DSDP Site 522	15-2-067	15-2-067	FS-C-DRILL-IODP:SP-SS-C:SO-V	57.26
This study	DSDP Site 522	15-2-070	15-2-070	FS-C-DRILL-IODP:SP-SS-C:SO-V	57.29
This study	DSDP Site 522	15-2-073	15-2-073	FS-C-DRILL-IODP:SP-SS-C:SO-V	57.32
This study	DSDP Site 522	15-2-076	15-2-076	FS-C-DRILL-IODP:SP-SS-C:SO-V	57.36
This study	DSDP Site 522	15-2-079	15-2-079	FS-C-DRILL-IODP:SP-SS-C:SO-V	57.39
This study	DSDP Site 522	15-2-082	15-2-082	FS-C-DRILL-IODP:SP-SS-C:SO-V	57.42
This study	DSDP Site 522	15-2-085	15-2-085	FS-C-DRILL-IODP:SP-SS-C:SO-V	57.45
This study	DSDP Site 522	15-2-088	15-2-088	FS-C-DRILL-IODP:SP-SS-C:SO-V	57.48
This study	DSDP Site 522	15-2-091	15-2-091	FS-C-DRILL-IODP:SP-SS-C:SO-V	57.51
This study	DSDP Site 522	15-2-095	15-2-095	FS-C-DRILL-IODP:SP-SS-C:SO-V	57.54
This study	DSDP Site 522	15-2-098	15-2-098	FS-C-DRILL-IODP:SP-SS-C:SO-V	57.57
This study	DSDP Site 522	15-2-101	15-2-101	FS-C-DRILL-IODP:SP-SS-C:SO-V	57.6
This study	DSDP Site 522	15-2-104	15-2-104	FS-C-DRILL-IODP:SP-SS-C:SO-V	57.63
This study	DSDP Site 522	15-2-107	15-2-107	FS-C-DRILL-IODP:SP-SS-C:SO-V	57.66
This study	DSDP Site 522	15-2-109	15-2-109	FS-C-DRILL-IODP:SP-SS-C:SO-V	57.68
This study	DSDP Site 522	15-2-113	15-2-113	FS-C-DRILL-IODP:SP-SS-C:SO-V	57.73
