tab	specimens
specimen	sample	dir_alpha95	dir_bfv_dec	dir_bfv_inc	dir_comp	dir_dec	dir_inc	dir_k	dir_k_ratio	dir_n_comps	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	lithologies	description	scientists	int_rel	citations	method_codes	result_quality	result_type	specimen_alternatives	volume	weight
15-1-013	15-1-013															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3109.0	1e-06	0.001048
15-1-013	15-1-013					268.5	-41.2									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0008089999999999999	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-1-022	15-1-022															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3112.0	1e-06	0.001092
15-1-022	15-1-022					181.0	68.6									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001805	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-1-024	15-1-024															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3113.0	1e-06	0.001084
15-1-024	15-1-024					124.5	63.7									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.0007913	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-1-028	15-1-028					123.2	59.9									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.000792	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-1-028	15-1-028															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3114.0	1e-06	0.001176
15-1-031	15-1-031					155.1	52.8									sedimentary	Sediment Layer	Not Specified	Declination rotated section mean=0/180;rel int is NRM/IRM		0.001039	This study	LP-PI-IRM:LP-PI-REL:LT-AF-Z	g	i			
15-1-031	15-1-031															sedimentary	Sediment Layer	Not Specified		Paul Hartl:Lisa Tauxe		This study	FS-C-PISTON-H:FS-C-DRILL-DSDP	g	i	3115.0	1e-06	0.001314
