tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	magn_moment	meas_n_orient	meas_temp	measurement	method_codes	quality	software_packages	specimen	standard	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
Cromwell	This study		0.3	190.4	43.5	jm002a1:LT-NO	0.0000576	4	273	1	LT-NO	g	pmagpy-2.34	jm002a1	u	2009-10-05T22:51:00Z	0	0	0	90	273
Cromwell	This study		0.2	193.2	44.5	jm002a2:LT-NO	0.0000651	4	273	1	LT-NO	g	pmagpy-2.34	jm002a2	u	2009-10-05T22:51:00Z	0	0	0	90	273
Cromwell	This study		0.2	147.5	50.6	jm002b1:LT-NO	0.0000497	4	273	1	LT-NO	g	pmagpy-2.34	jm002b1	u	2009-10-05T22:48:00Z	0	0	0	90	273
Cromwell	This study		0.2	152.5	55.8	jm002b2:LT-NO	0.0000523	4	273	1	LT-NO	g	pmagpy-2.34	jm002b2	u	2009-10-05T23:07:00Z	0	0	0	90	273
Cromwell	This study		0.2	186.2	55.7	jm002c1:LT-NO	0.0000598	4	273	1	LT-NO	g	pmagpy-2.34	jm002c1	u	2009-10-05T22:54:00Z	0	0	0	90	273
Cromwell	This study		0.2	166	38.3	jm002d2:LT-NO	0.0000651	4	273	1	LT-NO	g	pmagpy-2.34	jm002d2	u	2009-10-05T22:47:00Z	0	0	0	90	273
Cromwell	This study		0.2	190.2	79.8	jm002e1:LT-NO	0.000079	4	273	1	LT-NO	g	pmagpy-2.34	jm002e1	u	2009-10-05T23:16:00Z	0	0	0	90	273
Cromwell	This study		0.2	189.4	69.3	jm002f2:LT-NO	0.0000712	4	273	1	LT-NO	g	pmagpy-2.34	jm002f2	u	2009-10-05T22:49:00Z	0	0	0	90	273
Cromwell	This study		0.2	233.3	70.9	jm002g1:LT-NO	0.0000544	4	273	1	LT-NO	g	pmagpy-2.34	jm002g1	u	2009-10-05T22:55:00Z	0	0	0	90	273
Cromwell	This study		0.2	156.6	70.6	jm002g2:LT-NO	0.0000533	4	273	1	LT-NO	g	pmagpy-2.34	jm002g2	u	2009-10-05T22:52:00Z	0	0	0	90	273
Cromwell	This study		0.3	189	35.8	jm002h1:LT-NO	0.0000728	4	273	1	LT-NO	g	pmagpy-2.34	jm002h1	u	2009-10-05T22:50:00Z	0	0	0	90	273
Cromwell	This study		0.3	195.3	40.6	jm002h2:LT-NO	0.0000729	4	273	1	LT-NO	g	pmagpy-2.34	jm002h2	u	2009-10-05T22:55:00Z	0	0	0	90	273
Cromwell	This study		0.3	186.8	33.4	jm002i1:LT-NO	0.0000767	4	273	1	LT-NO	g	pmagpy-2.34	jm002i1	u	2009-10-05T22:45:00Z	0	0	0	90	273
Cromwell	This study		0.3	191.3	34	jm002i2:LT-NO	0.0000745	4	273	1	LT-NO	g	pmagpy-2.34	jm002i2	u	2009-10-05T22:46:00Z	0	0	0	90	273
Cromwell	This study		0.3	191.1	32.4	jm002i3:LT-NO	0.0000647	4	273	1	LT-NO	g	pmagpy-2.34	jm002i3	u	2009-10-05T22:53:00Z	0	0	0	90	273
Cromwell	This study		0.3	186.8	23.3	jm002j1:LT-NO	0.0000717	4	273	1	LT-NO	g	pmagpy-2.34	jm002j1	u	2009-10-05T22:40:00Z	0	0	0	90	273
Cromwell	This study		0.3	186.5	26.5	jm002j2:LT-NO	0.0000713	4	273	1	LT-NO	g	pmagpy-2.34	jm002j2	u	2009-10-05T23:15:00Z	0	0	0	90	273
Cromwell	This study		0.2	165.8	51	jm003a1:LT-NO	0.0000469	4	273	1	LT-NO	g	pmagpy-2.34	jm003a1	u	2009-10-05T22:59:00Z	0	0	0	90	273
Cromwell	This study		0.2	162.2	53	jm003a2:LT-NO	0.0000548	4	273	1	LT-NO	g	pmagpy-2.34	jm003a2	u	2009-10-05T22:57:00Z	0	0	0	90	273
Cromwell	This study		0.2	158.7	55.3	jm003b1:LT-NO	0.0000525	4	273	1	LT-NO	g	pmagpy-2.34	jm003b1	u	2009-10-05T22:56:00Z	0	0	0	90	273
Cromwell	This study		0.2	163.1	53.4	jm003c1:LT-NO	0.0000534	4	273	1	LT-NO	g	pmagpy-2.34	jm003c1	u	2009-10-05T22:58:00Z	0	0	0	90	273
Cromwell	This study		0.2	170.9	50	jm003e2:LT-NO	0.0000511	4	273	1	LT-NO	g	pmagpy-2.34	jm003e2	u	2009-10-05T23:00:00Z	0	0	0	90	273
Cromwell	This study		0.2	171.6	44.6	jm003f1:LT-NO	0.0000453	4	273	1	LT-NO	g	pmagpy-2.34	jm003f1	u	2009-10-05T22:59:00Z	0	0	0	90	273
Cromwell	This study		0.2	168.5	46.2	jm003f2:LT-NO	0.0000597	4	273	1	LT-NO	g	pmagpy-2.34	jm003f2	u	2009-10-05T23:03:00Z	0	0	0	90	273
Cromwell	This study		0.2	154.8	52.8	jm003g1:LT-NO	0.000049	4	273	1	LT-NO	g	pmagpy-2.34	jm003g1	u	2009-10-05T23:02:00Z	0	0	0	90	273
Cromwell	This study		0.2	156.1	54.4	jm003g2:LT-NO	0.0000638	4	273	1	LT-NO	g	pmagpy-2.34	jm003g2	u	2009-10-05T23:01:00Z	0	0	0	90	273
Cromwell	This study		0.2	169.2	67.3	jm003h1:LT-NO	0.0000508	4	273	1	LT-NO	g	pmagpy-2.34	jm003h1	u	2009-10-05T23:12:00Z	0	0	0	90	273
Cromwell	This study		0.2	165	68.2	jm003h2:LT-NO	0.0000635	4	273	1	LT-NO	g	pmagpy-2.34	jm003h2	u	2009-10-05T23:16:00Z	0	0	0	90	273
Cromwell	This study		0.2	170.5	60.6	jm003i1:LT-NO	0.0000425	4	273	1	LT-NO	g	pmagpy-2.34	jm003i1	u	2009-10-05T23:13:00Z	0	0	0	90	273
Cromwell	This study		0.2	168.1	62.2	jm003i2:LT-NO	0.000054	4	273	1	LT-NO	g	pmagpy-2.34	jm003i2	u	2009-10-05T23:09:00Z	0	0	0	90	273
Cromwell	This study		0.2	166.6	63.6	jm003i3:LT-NO	0.0000652	4	273	1	LT-NO	g	pmagpy-2.34	jm003i3	u	2009-10-05T23:08:00Z	0	0	0	90	273
Cromwell	This study		0.2	168.2	44.7	jm003j1:LT-NO	0.0000486	4	273	1	LT-NO	g	pmagpy-2.34	jm003j1	u	2009-10-05T23:11:00Z	0	0	0	90	273
Cromwell	This study		0.2	165.9	48.7	jm003j2:LT-NO	0.0000664	4	273	1	LT-NO	g	pmagpy-2.34	jm003j2	u	2009-10-05T23:14:00Z	0	0	0	90	273
Cromwell	This study		0.2	170.6	51.3	jm003j3:LT-NO	0.0000748	4	273	1	LT-NO	g	pmagpy-2.34	jm003j3	u	2009-10-05T23:13:00Z	0	0	0	90	273
Cromwell	This study		0.3	155.5	16.8	jm004a1:LT-NO	0.0000792	4	273	1	LT-NO	g	pmagpy-2.34	jm004a1	u	2009-10-06T16:58:00Z	0	0	0	90	273
