tab 	samples
azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	criteria	description	dip	dir_comp_name	dir_dec	dir_inc	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	lon	method_codes	orientation_quality	result_quality	sample	site	software_packages	specimens	timestamp
93	0	0	0	This study			-56										extrusive:igneous	lava flow	70.9196	cpx-olivine basalt	351.28396	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm002a	jm002			2009-08-01T00:00:00Z
				This study	DE-SPEC	sample direction		A	62.2	70.8	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-GPS-DIFF		g	jm002a	jm002	pmagpy-2.59	jm002a1	
89	0	0	0	This study			-39										extrusive:igneous	lava flow	70.9196	cpx-olivine basalt	351.28396	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm002b	jm002			2009-08-01T00:00:00Z
100	0	0	0	This study			-46.5										extrusive:igneous	lava flow	70.9196	cpx-olivine basalt	351.28396	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm002c	jm002			2009-08-01T00:00:00Z
				This study	DE-SPEC	sample direction		A	69.2	72.5	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-GPS-DIFF		g	jm002c	jm002	pmagpy-2.59	jm002c1	
52	0	0	0	This study			-71										extrusive:igneous	lava flow	70.9196	cpx-olivine basalt	351.28396	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm002d	jm002			2009-08-01T00:00:00Z
				This study		sample direction		A	139	-8.4	1	0	1	p	n	0						DA-DIR-GEO:DE-BFP:LP-DIR-T:SO-GPS-DIFF		g	jm002d	jm002	pmagpy-2.59	jm002d1	
81	0	0	0	This study			-23										extrusive:igneous	lava flow	70.9196	cpx-olivine basalt	351.28396	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm002e	jm002			2009-08-01T00:00:00Z
				This study	DE-SPEC	sample direction		A	75	76.9	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-GPS-DIFF		g	jm002e	jm002	pmagpy-2.59	jm002e1	
66	0	0	0	This study			-37										extrusive:igneous	lava flow	70.9196	cpx-olivine basalt	351.28396	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm002f	jm002			2009-08-01T00:00:00Z
				This study		sample direction		A	154.6	-1.7	1	0	1	p	n	0						DA-DIR-GEO:DE-BFP:LP-DIR-T:SO-GPS-DIFF		g	jm002f	jm002	pmagpy-2.59	jm002f1	
216	0	0	0	This study			-19										extrusive:igneous	lava flow	70.9196	cpx-olivine basalt	351.28396	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm002g	jm002			2009-08-01T00:00:00Z
				This study		sample direction		A	145.7	-2.9	1	0	1	p	n	0						DA-DIR-GEO:DE-BFP:LP-DIR-T:SO-GPS-DIFF		g	jm002g	jm002	pmagpy-2.59	jm002g2	
187	0	0	0	This study			-39										extrusive:igneous	lava flow	70.9196	cpx-olivine basalt	351.28396	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm002h	jm002			2009-08-01T00:00:00Z
				This study		sample direction		A	289.9	6.5	1	0	1	p	n	0						DA-DIR-GEO:DE-BFP:LP-DIR-T:SO-GPS-DIFF		g	jm002h	jm002	pmagpy-2.59	jm002h1	
185	0	0	0	This study			-45										extrusive:igneous	lava flow	70.9196	cpx-olivine basalt	351.28396	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm002i	jm002			2009-08-01T00:00:00Z
				This study	DE-SPEC	sample direction		A	33.9	76.9	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-GPS-DIFF		g	jm002i	jm002	pmagpy-2.59	jm002i1	
187	0	0	0	This study			-55										extrusive:igneous	lava flow	70.9196	cpx-olivine basalt	351.28396	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm002j	jm002			2009-08-01T00:00:00Z
				This study	DE-SPEC	sample direction		A	38.7	76.5	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-GPS-DIFF		g	jm002j	jm002	pmagpy-2.59	jm002j1	
194	0	0	0	This study			-31										extrusive:igneous	lava flow	70.92036	basalt	351.1506	FS-LOC-GPS:SO-POM:SO-SUN	g		jm003a	jm003			2009-08-02T00:00:00Z
				This study	DE-SPEC	sample direction		A	11.9	78.5	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-SUN		g	jm003a	jm003	pmagpy-2.59	jm003a1	
187.3	0	0	0	This study			-24										extrusive:igneous	lava flow	70.92036	basalt	351.1506	FS-LOC-GPS:SO-POM:SO-SUN	g		jm003b	jm003			2009-08-02T00:00:00Z
				This study	DE-SPEC	sample direction		A	5.4	77.4	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-SUN		g	jm003b	jm003	pmagpy-2.59	jm003b1	
204.3	0	0	0	This study			-28										extrusive:igneous	lava flow	70.92036	basalt	351.1506	FS-LOC-GPS:SO-POM:SO-SUN	g		jm003c	jm003			2009-08-02T00:00:00Z
				This study	DE-SPEC	sample direction		A	14.8	77.7	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-SUN		g	jm003c	jm003	pmagpy-2.59	jm003c1	
205.6	0	0	0	This study			-28										extrusive:igneous	lava flow	70.92036	basalt	351.1506	FS-LOC-GPS:SO-POM:SO-SUN	g		jm003d	jm003			2009-08-02T00:00:00Z
				This study		sample direction		A	148.4	8.4	1	0	1	p	n	0						DA-DIR-GEO:DE-BFP:LP-DIR-T:SO-SUN		g	jm003d	jm003	pmagpy-2.59	jm003d1	
176.5	0	0	0	This study			-31										extrusive:igneous	lava flow	70.92036	basalt	351.1506	FS-LOC-GPS:SO-POM:SO-SUN	g		jm003e	jm003			2009-08-02T00:00:00Z
				This study		sample direction		A	134.2	6.5	1	0	1	p	n	0						DA-DIR-GEO:DE-BFP:LP-DIR-T:SO-SUN		g	jm003e	jm003	pmagpy-2.59	jm003e1	
166.4	0	0	0	This study			-33										extrusive:igneous	lava flow	70.92036	basalt	351.1506	FS-LOC-GPS:SO-POM:SO-SUN	g		jm003f	jm003			2009-08-02T00:00:00Z
191.6	0	0	0	This study			-28										extrusive:igneous	lava flow	70.92036	basalt	351.1506	FS-LOC-GPS:SO-POM:SO-SUN	g		jm003g	jm003			2009-08-02T00:00:00Z
164.9	0	0	0	This study			-14										extrusive:igneous	lava flow	70.92036	basalt	351.1506	FS-LOC-GPS:SO-POM:SO-SUN	g		jm003h	jm003			2009-08-02T00:00:00Z
				This study	DE-SPEC	sample direction		A	320.2	82.7	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-SUN		g	jm003h	jm003	pmagpy-2.59	jm003h1	
165.8	0	0	0	This study			-18.5										extrusive:igneous	lava flow	70.92036	basalt	351.1506	FS-LOC-GPS:SO-POM:SO-SUN	g		jm003i	jm003			2009-08-02T00:00:00Z
				This study	DE-SPEC	sample direction		A	307.6	81.4	1	1	0	p	n	0						DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-SUN		g	jm003i	jm003	pmagpy-2.59	jm003i1	
172.1	0	0	0	This study			-31										extrusive:igneous	lava flow	70.92036	basalt	351.1506	FS-LOC-GPS:SO-POM:SO-SUN	g		jm003j	jm003			2009-08-02T00:00:00Z
241	0	0	0	This study			-68										extrusive:igneous	lava flow	70.9324	basalt	351.17127	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm004a	jm004			2009-08-02T00:00:00Z
235	0	0	0	This study			-70										extrusive:igneous	lava flow	70.9324	basalt	351.17127	FS-LOC-GPS:SO-GPS-DIFF:SO-POM	g		jm004b	jm004			2009-08-02T00:00:00Z
