tab 	specimens
analysts	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_s	aniso_s_mean	aniso_s_n_measurements	aniso_s_sigma	aniso_s_unit	aniso_tilt_correction	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_abs	int_b	int_b_beta	int_b_sigma	int_corr	int_drat	int_drats	int_f	int_fvds	int_gamma	int_mad_free	int_md	int_n_measurements	int_n_ptrm	int_q	int_rsc	int_scat	int_treat_dc_field	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
														This study		A	0.6	195	49.6	1.3	11	p	n	-1	LP-DIR-AF:jm002a1	extrusive:igneous	lava flow					u														cpx-olivine basalt	0.15	0.01	T	DE-BFL:LP-DIR-AF	g	jm002a	pmagpy-2.92	jm002a1
														This study		A	0.6	62.2	70.8	1.3	11	p	n	0	LP-DIR-AF:jm002a1	extrusive:igneous	lava flow					u														cpx-olivine basalt	0.15	0.01	T	DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-GPS-DIFF	g	jm002a	pmagpy-2.92	jm002a1
														This study		A	0.6	62.2	70.8	1.3	11	p	n	100	LP-DIR-AF:jm002a1	extrusive:igneous	lava flow					u														cpx-olivine basalt	0.15	0.01	T	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-AF:SO-GPS-DIFF	g	jm002a	pmagpy-2.92	jm002a1
														This study												extrusive:igneous	lava flow																			cpx-olivine basalt						jm002a		jm002a2
														This study												extrusive:igneous	lava flow																			cpx-olivine basalt						jm002b		jm002b1
														This study												extrusive:igneous	lava flow																			cpx-olivine basalt						jm002b		jm002b2
														This study		A	0.5	196.6	57.5	0.9	12	p	n	-1	LP-DIR-AF:jm002c1	extrusive:igneous	lava flow					u														cpx-olivine basalt	0.18	0.01	T	DE-BFL:LP-DIR-AF	g	jm002c	pmagpy-2.92	jm002c1
														This study		A	0.5	69.2	72.5	0.9	12	p	n	0	LP-DIR-AF:jm002c1	extrusive:igneous	lava flow					u														cpx-olivine basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-GPS-DIFF	g	jm002c	pmagpy-2.92	jm002c1
														This study		A	0.5	69.2	72.5	0.9	12	p	n	100	LP-DIR-AF:jm002c1	extrusive:igneous	lava flow					u														cpx-olivine basalt	0.18	0.01	T	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-AF:SO-GPS-DIFF	g	jm002c	pmagpy-2.92	jm002c1
														This study		A	90	261.1	-0.1	2.4	13	p	n	-1	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm002d1	extrusive:igneous	lava flow					u														cpx-olivine basalt	858	273	K	DE-BFP:LP-DIR-T	g	jm002d	pmagpy-2.92	jm002d1
														This study		A	90	139	-8.4	2.4	13	p	n	0	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm002d1	extrusive:igneous	lava flow					u														cpx-olivine basalt	858	273	K	DA-DIR-GEO:DE-BFP:LP-DIR-T:SO-GPS-DIFF	g	jm002d	pmagpy-2.92	jm002d1
														This study		A	90	139	-8.4	2.4	13	p	n	100	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm002d1	extrusive:igneous	lava flow					u														cpx-olivine basalt	858	273	K	DA-DIR-GEO:DA-DIR-TILT:DE-BFP:LP-DIR-T:SO-GPS-DIFF	g	jm002d	pmagpy-2.92	jm002d1
unknown														This study			11.3	172.4	40.3			p	n	-1	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm002d1	extrusive:igneous	lava flow	0.0000484	-1.21	0.082	0.099	u	6.1	14	0.897	0.708	0.6	4.4	4	8	5	8.8	0.9605	t	0.00004	cpx-olivine basalt	748	273	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:SM-FTEST	g	jm002d	pmagpy-2.92	jm002d1
														This study												extrusive:igneous	lava flow																			cpx-olivine basalt						jm002d		jm002d2
														This study		A	0.2	187.8	79.9	0.7	14	p	n	-1	LP-DIR-AF:jm002e1	extrusive:igneous	lava flow					u														cpx-olivine basalt	0.18	0	T	DE-BFL:LP-DIR-AF	g	jm002e	pmagpy-2.92	jm002e1
														This study		A	0.2	75	76.9	0.7	14	p	n	0	LP-DIR-AF:jm002e1	extrusive:igneous	lava flow					u														cpx-olivine basalt	0.18	0	T	DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-GPS-DIFF	g	jm002e	pmagpy-2.92	jm002e1
														This study		A	0.2	75	76.9	0.7	14	p	n	100	LP-DIR-AF:jm002e1	extrusive:igneous	lava flow					u														cpx-olivine basalt	0.18	0	T	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-AF:SO-GPS-DIFF	g	jm002e	pmagpy-2.92	jm002e1
														This study		A	90	267.8	0.5	2.4	13	p	n	-1	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm002f1	extrusive:igneous	lava flow					u														cpx-olivine basalt	858	273	K	DE-BFP:LP-DIR-T	g	jm002f	pmagpy-2.92	jm002f1
														This study		A	90	154.6	-1.7	2.4	13	p	n	0	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm002f1	extrusive:igneous	lava flow					u														cpx-olivine basalt	858	273	K	DA-DIR-GEO:DE-BFP:LP-DIR-T:SO-GPS-DIFF	g	jm002f	pmagpy-2.92	jm002f1
														This study		A	90	154.6	-1.7	2.4	13	p	n	100	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm002f1	extrusive:igneous	lava flow					u														cpx-olivine basalt	858	273	K	DA-DIR-GEO:DA-DIR-TILT:DE-BFP:LP-DIR-T:SO-GPS-DIFF	g	jm002f	pmagpy-2.92	jm002f1
unknown														This study			4.8	184.8	68.9			p	n	-1	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm002f1	extrusive:igneous	lava flow	0.0000498	-1.245	0.093	0.115	u	3.5	4.3	0.905	0.732	1.9	3	8	8	5	8	0.9492	t	0.00004	cpx-olivine basalt	748	273	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:SM-FTEST	g	jm002f	pmagpy-2.92	jm002f1
														This study												extrusive:igneous	lava flow																			cpx-olivine basalt						jm002f		jm002f2
														This study												extrusive:igneous	lava flow																			cpx-olivine basalt						jm002g		jm002g1
														This study		A	90	289.6	3.5	2	10	p	n	-1	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm002g2	extrusive:igneous	lava flow					u														cpx-olivine basalt	813	423	K	DE-BFP:LP-DIR-T	g	jm002g	pmagpy-2.92	jm002g2
														This study		A	90	145.7	-2.9	2	10	p	n	0	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm002g2	extrusive:igneous	lava flow					u														cpx-olivine basalt	813	423	K	DA-DIR-GEO:DE-BFP:LP-DIR-T:SO-GPS-DIFF	g	jm002g	pmagpy-2.92	jm002g2
														This study		A	90	145.7	-2.9	2	10	p	n	100	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm002g2	extrusive:igneous	lava flow					u														cpx-olivine basalt	813	423	K	DA-DIR-GEO:DA-DIR-TILT:DE-BFP:LP-DIR-T:SO-GPS-DIFF	g	jm002g	pmagpy-2.92	jm002g2
unknown														This study			17.5	163.7	71.9			p	n	-1	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm002g2	extrusive:igneous	lava flow	0.000033	-0.825	0.126	0.104	u	9.1	18.9	0.913	0.675	3.5	10.4	5	8	4	5.1	0.9073	t	0.00004	cpx-olivine basalt	748	273	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM	g	jm002g	pmagpy-2.92	jm002g2
														This study		A	89.9	104.2	-3	2.6	11	p	n	-1	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm002h1	extrusive:igneous	lava flow					u														cpx-olivine basalt	813	273	K	DE-BFP:LP-DIR-T	g	jm002h	pmagpy-2.92	jm002h1
														This study		A	89.9	289.9	6.5	2.6	11	p	n	0	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm002h1	extrusive:igneous	lava flow					u														cpx-olivine basalt	813	273	K	DA-DIR-GEO:DE-BFP:LP-DIR-T:SO-GPS-DIFF	g	jm002h	pmagpy-2.92	jm002h1
														This study		A	89.9	289.9	6.5	2.6	11	p	n	100	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm002h1	extrusive:igneous	lava flow					u														cpx-olivine basalt	813	273	K	DA-DIR-GEO:DA-DIR-TILT:DE-BFP:LP-DIR-T:SO-GPS-DIFF	g	jm002h	pmagpy-2.92	jm002h1
unknown														This study			7.4	187.9	41			p	n	-1	LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:jm002h1	extrusive:igneous	lava flow	0.0000472	-1.18	0.05	0.059	u	5.7	11.1	0.916	0.729	3.9	4.4	4	8	4	13.4	0.9851	t	0.00004	cpx-olivine basalt	748	273	K	DE-BFL:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-BT-MD:LP-PI-TRM:SM-FTEST	g	jm002h	pmagpy-2.92	jm002h1
														This study												extrusive:igneous	lava flow																			cpx-olivine basalt						jm002h		jm002h2
														This study		A	3	187.5	33.2	2.7	13	p	n	-1	LP-DIR-T:jm002i1	extrusive:igneous	lava flow					u														cpx-olivine basalt	843	273	K	DE-BFL:LP-DIR-T	g	jm002i	pmagpy-2.92	jm002i1
														This study		A	3	33.9	76.9	2.7	13	p	n	0	LP-DIR-T:jm002i1	extrusive:igneous	lava flow					u														cpx-olivine basalt	843	273	K	DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-GPS-DIFF	g	jm002i	pmagpy-2.92	jm002i1
														This study		A	3	33.9	76.9	2.7	13	p	n	100	LP-DIR-T:jm002i1	extrusive:igneous	lava flow					u														cpx-olivine basalt	843	273	K	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-T:SO-GPS-DIFF	g	jm002i	pmagpy-2.92	jm002i1
														This study												extrusive:igneous	lava flow																			cpx-olivine basalt						jm002i		jm002i2
														This study												extrusive:igneous	lava flow																			cpx-olivine basalt						jm002i		jm002i3
														This study		A	2.5	187.7	23.3	2.6	13	p	n	-1	LP-DIR-T:jm002j1	extrusive:igneous	lava flow					u														cpx-olivine basalt	843	273	K	DE-BFL:LP-DIR-T	g	jm002j	pmagpy-2.92	jm002j1
														This study		A	2.5	38.7	76.5	2.6	13	p	n	0	LP-DIR-T:jm002j1	extrusive:igneous	lava flow					u														cpx-olivine basalt	843	273	K	DA-DIR-GEO:DE-BFL:LP-DIR-T:SO-GPS-DIFF	g	jm002j	pmagpy-2.92	jm002j1
														This study		A	2.5	38.7	76.5	2.6	13	p	n	100	LP-DIR-T:jm002j1	extrusive:igneous	lava flow					u														cpx-olivine basalt	843	273	K	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-T:SO-GPS-DIFF	g	jm002j	pmagpy-2.92	jm002j1
														This study												extrusive:igneous	lava flow																			cpx-olivine basalt						jm002j		jm002j2
														This study		A	0.3	166.1	50.7	0.9	14	p	n	-1	LP-DIR-AF:jm003a1	extrusive:igneous	lava flow					u														basalt	0.18	0	T	DE-BFL:LP-DIR-AF	g	jm003a	pmagpy-2.92	jm003a1
														This study		A	0.3	324.1	78.5	0.9	14	p	n	0	LP-DIR-AF:jm003a1	extrusive:igneous	lava flow					u														basalt	0.18	0	T	DA-DIR-GEO:DE-BFL:LP-DIR-AF:SO-SUN	g	jm003a	pmagpy-2.92	jm003a1
														This study		A	0.3	324.1	78.5	0.9	14	p	n	100	LP-DIR-AF:jm003a1	extrusive:igneous	lava flow					u														basalt	0.18	0	T	DA-DIR-GEO:DA-DIR-TILT:DE-BFL:LP-DIR-AF:SO-SUN	g	jm003a	pmagpy-2.92	jm003a1
														This study												extrusive:igneous	lava flow																			basalt						jm003a		jm003a2
														This study		A	0.5	162.5	56.5	1.2	12	p	n	-1	LP-DIR-AF:jm003b1	extrusive:igneous	lava flow					u														basalt	0.18	0.01	T	DE-BFL:LP-DIR-AF	g	jm003b	pmagpy-2.92	jm003b1
