tab 	measurements
citations	description	dir_csd	dir_dec	dir_inc	er_analyst_mail_names	er_expedition_name	er_formation_name	er_fossil_name	er_member_name	er_mineral_name	er_synthetic_name	experiment	instrument_codes	location	magn_mass	magn_moment	magn_volume	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	measurement_charging_mode	measurement_chi_mass	measurement_chi_qdr_mass	measurement_chi_qdr_volume	measurement_chi_volume	measurement_composite_depth	measurement_core_depth	measurement_date	measurement_demagn_code	measurement_elevation	measurement_freq	measurement_height	measurement_lab_field_ac	measurement_lab_field_dc	measurement_loop_n	measurement_loop_x	measurement_magnitude	measurement_orient_phi	measurement_orient_theta	measurement_pos_x	measurement_pos_y	measurement_pos_z	measurement_r2	measurement_sd	measurement_sweep_rate	measurement_temp_change	measurement_time_zone	method_codes	number	quality	sample	site	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp	treatment_ac_field_dc_off	treatment_ac_field_dc_on	treatment_ac_field_decay_rate	treatment_dc_field_ac_off	treatment_dc_field_ac_on	treatment_dc_field_decay_rate	treatment_mw_energy	treatment_mw_integral	treatment_mw_power	treatment_mw_time	treatment_temp_dc_off	treatment_temp_dc_on	treatment_temp_decay_rate
This study		0.1	349.6	-11.8	Jason Steindorf							mc20b-LP-DIR-AF		McMurdo		0.000171						273																												LT-NO:LP-DIR-AF	1	g	mc20b	mc20	pmagpy-1.65b	mc20b	u	0	0	0	0	273													
This study		0.1	352.1	-11.8	Jason Steindorf							mc20b-LP-DIR-AF		McMurdo		0.00017						273																												LT-AF-Z:LP-DIR-AF	2	g	mc20b	mc20	pmagpy-1.65b	mc20b	u	0.005	0	0	0	273													
This study		0.2	347.4	-11.7	Jason Steindorf							mc20b-LP-DIR-AF		McMurdo		0.000168						273																												LT-AF-Z:LP-DIR-AF	3	g	mc20b	mc20	pmagpy-1.65b	mc20b	u	0.0075	0	0	0	273													
This study		0.1	348.8	-11.9	Jason Steindorf							mc20b-LP-DIR-AF		McMurdo		0.000166						273																												LT-AF-Z:LP-DIR-AF	4	g	mc20b	mc20	pmagpy-1.65b	mc20b	u	0.01	0	0	0	273													
This study		0.1	348.4	-11.8	Jason Steindorf							mc20b-LP-DIR-AF		McMurdo		0.000155						273																												LT-AF-Z:LP-DIR-AF	5	g	mc20b	mc20	pmagpy-1.65b	mc20b	u	0.015	0	0	0	273													
This study		0.2	346.9	-11.9	Jason Steindorf							mc20b-LP-DIR-AF		McMurdo		0.000141						273																												LT-AF-Z:LP-DIR-AF	6	g	mc20b	mc20	pmagpy-1.65b	mc20b	u	0.02	0	0	0	273													
This study		0.2	349	-12	Jason Steindorf							mc20b-LP-DIR-AF		McMurdo		0.00011						273																												LT-AF-Z:LP-DIR-AF	7	g	mc20b	mc20	pmagpy-1.65b	mc20b	u	0.03	0	0	0	273													
This study		0.1	347.1	-12.2	Jason Steindorf							mc20b-LP-DIR-AF		McMurdo		0.0000846						273																												LT-AF-Z:LP-DIR-AF	8	g	mc20b	mc20	pmagpy-1.65b	mc20b	u	0.04	0	0	0	273													
This study		0.1	346.7	-12.1	Jason Steindorf							mc20b-LP-DIR-AF		McMurdo		0.0000511						273																												LT-AF-Z:LP-DIR-AF	9	g	mc20b	mc20	pmagpy-1.65b	mc20b	u	0.06	0	0	0	273													
This study		0.1	345.9	-12.7	Jason Steindorf							mc20b-LP-DIR-AF		McMurdo		0.000029						273																												LT-AF-Z:DE-VM:LP-DIR-AF	10	g	mc20b	mc20	pmagpy-1.65b	mc20b	u	0.08	0	0	0	273													
This study		0.1	348.8	-12.6	Jason Steindorf							mc20b-LP-DIR-AF		McMurdo		0.000018						273																												LT-AF-Z:DE-VM:LP-DIR-AF	11	g	mc20b	mc20	pmagpy-1.65b	mc20b	u	0.1	0	0	0	273													
This study		0.1	349.2	-11.5	Jason Steindorf							mc20b-LP-DIR-AF		McMurdo		0.0000126						273																												LT-AF-Z:DE-VM:LP-DIR-AF	12	g	mc20b	mc20	pmagpy-1.65b	mc20b	u	0.12	0	0	0	273													
This study		0.1	348.2	-11.5	Jason Steindorf							mc20b-LP-DIR-AF		McMurdo		0.000008374						273																												LT-AF-Z:DE-VM:LP-DIR-AF	13	g	mc20b	mc20	pmagpy-1.65b	mc20b	u	0.15	0	0	0	273													
This study		0.1	350	-11.8	Jason Steindorf							mc20b-LP-DIR-AF		McMurdo		0.000006669						273																												LT-AF-Z:DE-VM:LP-DIR-AF	14	g	mc20b	mc20	pmagpy-1.65b	mc20b	u	0.18	0	0	0	273													
This study		0.5	3.1	-19.7	Jason Steindorf							mc20f-LP-DIR-AF		McMurdo		0.00029						273																												LT-NO:LP-DIR-AF	1	g	mc20f	mc20	pmagpy-1.65b	mc20f	u	0	0	0	0	273													
This study		0.5	2.1	-20.2	Jason Steindorf							mc20f-LP-DIR-AF		McMurdo		0.000274						273																												LT-AF-Z:LP-DIR-AF	2	g	mc20f	mc20	pmagpy-1.65b	mc20f	u	0.005	0	0	0	273													
This study		0.4	2.4	-20.8	Jason Steindorf							mc20f-LP-DIR-AF		McMurdo		0.000263						273																												LT-AF-Z:LP-DIR-AF	3	g	mc20f	mc20	pmagpy-1.65b	mc20f	u	0.0075	0	0	0	273													
