tab 	sites
age	age_high	age_low	age_unit	citations	criteria	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	samples	site	software_packages	specimens	vgp_dm	vgp_dp	vgp_lat	vgp_lon
0.6798	0.6798	0.6798	Ma	This study	ACCEPT	4.7	Fit 1	350.0	37.2	168	6	7	7	0	n	6.9642	0	Extrusive	Lava Flow	33.0678	Basaltic Lava	Golan-Heights	35.74018	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH01A:GH01B:GH01C:GH01D:GH01H:GH01M	GH01	pmagpy-3.16.0: demag_gui.v.3.0	GH01A1:GH01B1:GH01B2:GH01C1:GH01D1:GH01H1:GH01M1	5.5	3.2	74.8	254.1
1.35	2.6	0.1	Ma	This study	ACCEPT	2.3	Fit 1	349.7	37.2	575	6	8	8	0	n	7.9878	0	Extrusive	Lava Flow	33.06746	Basaltic Lava	Golan-Heights	35.74018	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH02A:GH02C:GH02D:GH02E:GH02F:GH02G	GH02	pmagpy-3.16.0: demag_gui.v.3.0	GH02A1:GH02C1:GH02D1:GH02E1:GH02E2:GH02F1:GH02G1:GH02G2	2.7	1.6	74.7	255.0
1.1115	1.1115	1.1115	Ma	This study	ACCEPT	2.3	Fit 1	157.0	-56.9	498	7	9	9	0	r	8.9839	0	Extrusive	Lava Flow	33.04463	Basaltic Lava	Golan-Heights	35.67154	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH03A:GH03B:GH03C:GH03D:GH03E:GH03G:GH03H	GH03	pmagpy-3.16.0: demag_gui.v.3.0	GH03A1:GH03B1:GH03C1:GH03C2:GH03D1:GH03E1:GH03E2:GH03G1:GH03H1	3.3	2.4	-70.8	145.5
1.35	2.6	0.1	Ma	This study	ACCEPT	2.1	Fit 1	175.1	-58	543	8	10	10	0	r	9.9834	0	Extrusive	Lava Flow	33.04396	Basaltic Lava	Golan-Heights	35.66901	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH04A:GH04B:GH04C:GH04D:GH04E:GH04F:GH04G:GH04H	GH04	pmagpy-3.16.0: demag_gui.v.3.0	GH04A1:GH04B1:GH04C1:GH04D1:GH04E1:GH04E2:GH04F1:GH04G1:GH04G2:GH04H1	3.1	2.3	-83.1	181.8
1.1196	1.1196	1.1196	Ma	This study	ACCEPT	2.8	Fit 1	181.0	-56.8	307	8	10	10	0	r	9.9707	0	Extrusive	Lava Flow	33.04417	Basaltic Lava	Golan-Heights	35.66922	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH05A:GH05B:GH05D:GH05G:GH05H:GH05I:GH05K:GH05L	GH05	pmagpy-3.16.0: demag_gui.v.3.0	GH05A1:GH05B1:GH05D1:GH05G1:GH05H1:GH05H2:GH05I1:GH05I2:GH05K1:GH05L1	4.1	2.9	-85.6	226.0
1.35	2.6	0.1	Ma	This study	ACCEPT	2.3	Fit 1	5.7	50	521	7	9	9	0	n	8.9846	0	Extrusive	Lava Flow	33.09859	Basaltic Lava	Golan-Heights	35.80091	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH06A:GH06C:GH06D:GH06E:GH06F:GH06G:GH06H	GH06	pmagpy-3.16.0: demag_gui.v.3.0	GH06A2:GH06C1:GH06D1:GH06D2:GH06E1:GH06E2:GH06F2:GH06G1:GH06H2	3.1	2.1	84.6	149.8
1.35	2.6	0.1	Ma	This study	ACCEPT	3.1	Fit 1	5.3	55.8	283	8	9	9	0	n	8.9717	0	Extrusive	Lava Flow	33.9597	Basaltic Lava	Golan-Heights	35.72762	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH07A:GH07B:GH07D:GH07E:GH07F:GH07G:GH07I:GH07J	GH07	pmagpy-3.16.0: demag_gui.v.3.0	GH07A1:GH07B1:GH07D1:GH07E1:GH07F1:GH07F2:GH07G1:GH07I1:GH07J1	4.4	3.2	85.1	95.4
0.1039	0.1039	0.1039	Ma	This study	ACCEPT	2.4	Fit 1	11.6	59	540	7	8	8	0	n	7.987	0	Extrusive	Lava Flow	33.09605	Basaltic Lava	Golan-Heights	35.72762	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH08A:GH08B:GH08C:GH08E:GH08F:GH08G:GH08H	GH08	pmagpy-3.16.0: demag_gui.v.3.0	GH08A1:GH08B2:GH08C1:GH08C2:GH08E1:GH08F2:GH08G1:GH08H1	3.6	2.7	78.5	86.8
0.1044	0.1044	0.1044	Ma	This study	ACCEPT	9.9	Fit 1	84.9	27.8	47	5	6	6	0	t	5.8925	0	Extrusive	Lava Flow	33.0464	Basaltic Lava	Golan-Heights	35.70973	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	GH09A:GH09B:GH09C:GH09D:GH09G	GH09	pmagpy-3.16.0: demag_gui.v.3.0	GH09A1:GH09B1:GH09C2:GH09D1:GH09G1:GH09G2	10.8	5.9	12.2	115.9
1.35	2.6	0.1	Ma	This study	ACCEPT	2.4	Fit 1	175.7	-56.8	522	7	8	8	0	r	7.9866	0	Extrusive	Lava Flow	33.0039	Basaltic Lava	Golan-Heights	35.68372	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DIR-T:LP-DC5:DE-FM	g	i	GH10A:GH10B:GH10C:GH10D:GH10E:GH10F:GH10G	GH10	pmagpy-3.16.0: demag_gui.v.3.0	GH10A2:GH10B2:GH10C1:GH10D1:GH10E1:GH10E2:GH10F1:GH10G2	3.5	2.5	-84.4	178.2
