tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_comp_name	specimen_correction	specimen_dang	specimen_dec	specimen_description	specimen_direction_type	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
	This study	Snake River	sr01a	sr01	sr01a1	sr01a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		LP-DIR-T:DE-BFL	pmagpy-2.132	8.230e+02	4.730e+02	K		A	u	1.2	170.3		l	26.8	1.8	9	-1
	This study	Snake River	sr01a	sr01	sr01a2	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI		LP-DIR-T:DE-BFL	pmagpy-2.132	8.480e+02	4.730e+02	K		A	u	0.4	171.8		l	29.8	0.9	10	-1
	This study	Snake River	sr01c	sr01	sr01c2	sr01c2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		LP-DIR-T:DE-BFL	pmagpy-2.132	8.230e+02	4.730e+02	K		A	u	1.3	160.4		l	25.6	3.0	9	-1
	This study	Snake River	sr01d	sr01	sr01d1	sr01d1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		LP-DIR-T:DE-BFL	pmagpy-2.132	7.980e+02	3.730e+02	K		A	u	1.1	187.0		l	38.0	1.9	10	-1
	This study	Snake River	sr01e	sr01	sr01e2	sr01e2-LP-DIR-AF		LP-DIR-AF:DE-BFL	pmagpy-2.132	1.800e-01	1.000e-02	T		A	u	0.0	200.7		l	27.6	1.9	10	-1
	This study	Snake River	sr01f	sr01	sr01f2	sr01f2-LP-DIR-T		LP-DIR-T:DE-BFL	pmagpy-2.132	9.230e+02	4.230e+02	K		A	u	0.2	201.7		l	21.8	1.6	15	-1
	This study	Snake River	sr01g	sr01	sr01g2	sr01g2-LP-DIR-AF		LP-DIR-AF:DE-BFL	pmagpy-2.132	1.600e-01	1.000e-02	T		A	u	0.9	179.2		l	38.3	2.6	10	-1
	This study	Snake River	sr01i	sr01	sr01i1	sr01i1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		LP-DIR-T:DE-BFL	pmagpy-2.132	8.230e+02	4.730e+02	K		A	u	1.3	208.3		l	52.8	2.8	9	-1
	This study	Snake River	sr03a	sr03	sr03a1	sr03a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-DIR-T:DE-BFL	pmagpy-2.132	8.230e+02	4.730e+02	K		A	u	1.5	26.9		l	-30.3	3.8	8	-1
	This study	Snake River	sr03b	sr03	sr03b1	sr03b1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		LP-DIR-T:DE-BFL	pmagpy-2.132	8.230e+02	6.730e+02	K		A	u	18.5	21.8		l	-10.8	13.1	5	-1
	This study	Snake River	sr03c	sr03	sr03c1	sr03c1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		LP-DIR-T:DE-BFL	pmagpy-2.132	8.230e+02	7.230e+02	K		A	u	0.8	11.2		l	-29.7	0.6	4	-1
	This study	Snake River	sr03e	sr03	sr03e1	sr03e1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		LP-DIR-T:DE-BFL	pmagpy-2.132	8.230e+02	4.730e+02	K		A	u	0.5	17.1		l	-30.9	2.9	9	-1
	This study	Snake River	sr03f	sr03	sr03f1	sr03f1-LP-DIR-AF		LP-DIR-AF:DE-BFL	pmagpy-2.132	1.800e-01	3.000e-02	T		A	u	1.8	41.5		l	-53.2	0.7	9	-1
	This study	Snake River	sr03g	sr03	sr03g1	sr03g1-LP-DIR-T		LP-DIR-T:DE-BFL	pmagpy-2.132	9.230e+02	8.230e+02	K		A	u	0.2	13.9		l	-36.2	0.1	5	-1
	This study	Snake River	sr03h	sr03	sr03h2	sr03h2-LP-DIR-AF		LP-DIR-AF:DE-BFL	pmagpy-2.132	1.800e-01	3.000e-02	T		A	u	1.2	28.7		l	-19.3	1.7	9	-1
	This study	Snake River	sr03k	sr03	sr03k1	sr03k1-LP-DIR-AF		LP-DIR-AF:DE-BFL	pmagpy-2.132	1.800e-01	1.000e-02	T		A	u	0.4	357.4		l	-44.1	1.1	11	-1
	This study	Snake River	sr04d	sr04	sr04d2	sr04d2-LP-DIR-T		LP-DIR-T:DE-BFL	pmagpy-2.132	7.980e+02	4.730e+02	K		A	u	0.8	199.4		l	-16.2	3.1	9	-1
	This study	Snake River	sr04e	sr04	sr04e1	sr04e1-LP-DIR-AF		LP-DIR-AF:DE-BFL	pmagpy-2.132	1.800e-01	2.000e-02	T		A	u	0.8	188.2		l	-3.0	1.6	10	-1
