tab 	er_specimens
er_citation_names	er_location_name	er_sample_name	er_scientist_mail_names	er_site_name	er_specimen_name	magic_method_codes	specimen_alteration	specimen_alteration_type	specimen_azimuth	specimen_class	specimen_dip	specimen_lithology	specimen_type
This study	Nading Co	07ND100	Peter C. Lippert	NDC-11	07ND100a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	287.13	Extrusive : Igneous : Subaerial	27	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND101	Peter C. Lippert	NDC-11	07ND101a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	286.33	Extrusive : Igneous : Subaerial	32	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND102	Peter C. Lippert	NDC-11	07ND102a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	277.43	Extrusive : Igneous : Subaerial	34	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND104	Peter C. Lippert	NDC-11	07ND104a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	288.43	Extrusive : Igneous : Subaerial	24	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND104	Peter C. Lippert	NDC-11	07ND104b	LP-DC4:LP-DIR-T	Unaltered	Weathering	288.43	Extrusive : Igneous : Subaerial	24	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND105	Peter C. Lippert	NDC-11	07ND105a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	290.63	Extrusive : Igneous : Subaerial	32	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND106	Peter C. Lippert	NDC-11	07ND106a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	290.53	Extrusive : Igneous : Subaerial	42	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND107	Peter C. Lippert	NDC-12	07ND107a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	286.03	Extrusive : Igneous : Subaerial	38	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND107	Peter C. Lippert	NDC-12	07ND107b	LP-DC4:LP-DIR-T	Unaltered	Weathering	286.03	Extrusive : Igneous : Subaerial	38	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND108	Peter C. Lippert	NDC-12	07ND108a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	294.23	Extrusive : Igneous : Subaerial	43	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND109	Peter C. Lippert	NDC-12	07ND109a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	272.23	Extrusive : Igneous : Subaerial	42	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND110	Peter C. Lippert	NDC-12	07ND110a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	295.43	Extrusive : Igneous : Subaerial	40	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND111	Peter C. Lippert	NDC-12	07ND111a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	293.83	Extrusive : Igneous : Subaerial	27	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND112	Peter C. Lippert	NDC-12	07ND112a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	274.83	Extrusive : Igneous : Subaerial	30	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND113	Peter C. Lippert	NDC-12	07ND113a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	280.93	Extrusive : Igneous : Subaerial	23	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND114	Peter C. Lippert	NDC-13	07ND114a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	259.53	Extrusive : Igneous : Subaerial	43	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND114	Peter C. Lippert	NDC-13	07ND114b	LP-DC4:LP-DIR-T	Unaltered	Weathering	259.53	Extrusive : Igneous : Subaerial	43	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND115	Peter C. Lippert	NDC-13	07ND115a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	228.23	Extrusive : Igneous : Subaerial	22	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND116	Peter C. Lippert	NDC-13	07ND116a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	231.53	Extrusive : Igneous : Subaerial	32	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND117	Peter C. Lippert	NDC-13	07ND117a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	241.03	Extrusive : Igneous : Subaerial	31	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND118	Peter C. Lippert	NDC-13	07ND118a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	249.33	Extrusive : Igneous : Subaerial	30	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
This study	Nading Co	07ND119	Peter C. Lippert	NDC-13	07ND119a	LP-DC4:LP-DIR-AF	Unaltered	Weathering	261.03	Extrusive : Igneous : Subaerial	39	Basalt : Basaltic Lava : Trachybasalt	Lava Flow
