tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_scientist_mail_names	er_site_name	magic_method_codes	sample_alteration	sample_alteration_type	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_class	sample_date	sample_declination_correction	sample_dip	sample_lat	sample_lithology	sample_lon	sample_orientation_flag	sample_time_zone	sample_type
This study	Wulan Wula Hu	06X034	Peter C. Lippert	WWH-1	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	226.4	0	0	Extrusive : Igneous : Subaerial	2006:05:07:00:00:00.00	0.4	47.5	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X035	Peter C. Lippert	WWH-1	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	350.1	0	0	Extrusive : Igneous : Subaerial	2006:05:07:00:00:00.00	2.4	10	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X036	Peter C. Lippert	WWH-1	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	351.9	0	0	Extrusive : Igneous : Subaerial	2006:05:07:00:00:00.00	1.4	29.5	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X037	Peter C. Lippert	WWH-1	FS-FD:FS-LOC-GPS:SO-MAG	Unaltered	Weathering	298.6	0	0	Extrusive : Igneous : Subaerial	2006:05:07:00:00:00.00	1.6	57	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X038	Peter C. Lippert	WWH-1	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	4	0	0	Extrusive : Igneous : Subaerial	2006:05:07:00:00:00.00	2	24	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X039	Peter C. Lippert	WWH-1	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	351.1	0	0	Extrusive : Igneous : Subaerial	2006:05:07:00:00:00.00	2.6	35.5	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X040	Peter C. Lippert	WWH-1	FS-FD:FS-LOC-GPS:SO-MAG	Unaltered	Weathering	272.1	0	0	Extrusive : Igneous : Subaerial	2006:05:07:00:00:00.00	1.6	20.5	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X041	Peter C. Lippert	WWH-1	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	268.7	0	0	Extrusive : Igneous : Subaerial	2006:05:07:00:00:00.00	-0.3	19.5	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X042	Peter C. Lippert	WWH-1	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	269.8	0	0	Extrusive : Igneous : Subaerial	2006:05:07:00:00:00.00	2.8	70.5	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X043	Peter C. Lippert	WWH-1	FS-FD:FS-LOC-GPS:SO-MAG	Unaltered	Weathering	320.6	0	0	Extrusive : Igneous : Subaerial	2006:05:07:00:00:00.00	1.6	77.5	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
This study	Wulan Wula Hu	06X054	Peter C. Lippert	WWH-2	FS-FD:FS-LOC-GPS:SO-MAG:SO-SUN	Unaltered	Weathering	335.3	0	0	Extrusive : Igneous : Subaerial	2006:05:07:00:00:00.00	3.8	76	34.536	Basalt : Basaltic Lava : Trachybasalt	90.227	g	+8 GMT	Lava Flow
