tab delimited	er_locations
er_location_name	location_type	location_begin_lat	location_begin_lon	location_end_lat	location_end_lon	continent_ocean	country	region	er_scientist_mail_names	er_citation_names
Wulan Wula Hu	Region	34.536	90.227	34.536	90.227	Asia	China	Tibet	Peter C. Lippert	This study
Ejumaima	Region	32.219	86.63	32.219	86.805	Asia	China	Tibet	Peter C. Lippert	This study
Nading Co	Region	32.685	85.575	32.737	85.604	Asia	China	Tibet	Peter C. Lippert	This study
>>>>>>>>>>
tab delimited	er_sites
er_site_name	er_location_name	site_definition	site_class	site_lithology	site_type	site_lat	site_lon	site_bed_dip_direction	site_bed_dip	magic_method_codes	er_scientist_mail_names	er_citation_names
WWH-1	Wulan Wula Hu	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	34.536	90.227	0	0	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
WWH-2	Wulan Wula Hu	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	34.536	90.227	0	0	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
WWH-3	Wulan Wula Hu	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	34.536	90.227	0	0	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
WWH-4	Wulan Wula Hu	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	34.536	90.227	0	0	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
WWH-5	Wulan Wula Hu	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	34.536	90.227	0	0	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
WWH-6	Wulan Wula Hu	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	34.536	90.227	0	0	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
WWH-7	Wulan Wula Hu	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	34.536	90.227	0	0	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
WWH-8	Wulan Wula Hu	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	34.536	90.227	0	0	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
WWH-9	Wulan Wula Hu	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	34.536	90.227	0	0	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
WWH-10	Wulan Wula Hu	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	34.536	90.227	0	0	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
EJU-1	Ejumaima	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	32.219	86.63	117	21	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
EJU-2	Ejumaima	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	32.219	86.63	117	21	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
EJU-3	Ejumaima	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	32.219	86.63	117	21	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
EJU-4	Ejumaima	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	32.219	86.63	117	21	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
EJU-5	Ejumaima	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	32.219	86.63	117	21	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
EJU-6	Ejumaima	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	32.219	86.63	117	21	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
EJU-7	Ejumaima	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	32.219	86.63	117	21	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
EJU-8	Ejumaima	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	32.219	86.63	117	21	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
EJU-9	Ejumaima	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	32.219	86.63	117	21	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
EJU-10	Ejumaima	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	32.219	86.805	117	21	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
EJU-11	Ejumaima	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	32.219	86.805	117	21	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
EJU-12	Ejumaima	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	32.219	86.805	117	21	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
EJU-13	Ejumaima	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	32.219	86.805	117	21	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
EJU-14	Ejumaima	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	32.219	86.805	117	21	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
NDC-11	Nading Co	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	32.685	85.604	148	22	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
NDC-12	Nading Co	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	32.685	85.604	148	22	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
NDC-13	Nading Co	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	32.685	85.604	148	22	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
NDC-14	Nading Co	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	32.685	85.604	148	22	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
NDC-15	Nading Co	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	32.685	85.604	148	22	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
NDC-16	Nading Co	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	32.685	85.604	148	22	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
NDC-17	Nading Co	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	32.685	85.604	148	22	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
NDC-18	Nading Co	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	32.685	85.604	148	22	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
NDC-20	Nading Co	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	32.685	85.604	148	22	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
NDC-21	Nading Co	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	32.737	85.575	15	2	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
NDC-22	Nading Co	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	32.737	85.575	15	2	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
NDC-23	Nading Co	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	32.737	85.575	15	2	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
NDC-24	Nading Co	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	32.737	85.575	15	2	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
NDC-25	Nading Co	s	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	32.737	85.575	15	2	FS-FD : FS-LOC-GPS	Peter C. Lippert	This study
>>>>>>>>>>
tab delimited	er_samples
er_sample_name	er_location_name	er_site_name	sample_class	sample_lithology	sample_type	sample_alteration	sample_alteration_type	sample_lat	sample_lon	sample_date	sample_time_zone	sample_orientation_flag	sample_declination_correction	sample_azimuth	sample_dip	sample_bed_dip_direction	sample_bed_dip	magic_method_codes	er_scientist_mail_names	er_citation_names
06X034	Wulan Wula Hu	WWH-1	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:07:00:00:00.00	+8 GMT	g	0.4	226.4	47.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG : SO-SUN	Peter C. Lippert	This study
06X035	Wulan Wula Hu	WWH-1	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:07:00:00:00.00	+8 GMT	g	2.4	350.1	10	0	0	FS-FD : FS-LOC-GPS : SO-MAG : SO-SUN	Peter C. Lippert	This study
06X036	Wulan Wula Hu	WWH-1	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:07:00:00:00.00	+8 GMT	g	1.4	351.9	29.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG : SO-SUN	Peter C. Lippert	This study
06X037	Wulan Wula Hu	WWH-1	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:07:00:00:00.00	+8 GMT	g	1.6	298.6	57	0	0	FS-FD : FS-LOC-GPS : SO-MAG	Peter C. Lippert	This study
06X038	Wulan Wula Hu	WWH-1	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:07:00:00:00.00	+8 GMT	g	2	4	24	0	0	FS-FD : FS-LOC-GPS : SO-MAG : SO-SUN	Peter C. Lippert	This study
06X039	Wulan Wula Hu	WWH-1	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:07:00:00:00.00	+8 GMT	g	2.6	351.1	35.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG : SO-SUN	Peter C. Lippert	This study
06X040	Wulan Wula Hu	WWH-1	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:07:00:00:00.00	+8 GMT	g	1.6	272.1	20.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG	Peter C. Lippert	This study
06X041	Wulan Wula Hu	WWH-1	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:07:00:00:00.00	+8 GMT	g	-0.3	268.7	19.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG : SO-SUN	Peter C. Lippert	This study
06X042	Wulan Wula Hu	WWH-1	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:07:00:00:00.00	+8 GMT	g	2.8	269.8	70.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG : SO-SUN	Peter C. Lippert	This study
06X043	Wulan Wula Hu	WWH-1	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:07:00:00:00.00	+8 GMT	g	1.6	320.6	77.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG	Peter C. Lippert	This study
06X054	Wulan Wula Hu	WWH-2	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:07:00:00:00.00	+8 GMT	g	3.8	335.3	76	0	0	FS-FD : FS-LOC-GPS : SO-MAG : SO-SUN	Peter C. Lippert	This study
06X055	Wulan Wula Hu	WWH-2	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:07:00:00:00.00	+8 GMT	g	2.4	194.9	57.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG	Peter C. Lippert	This study
06X056	Wulan Wula Hu	WWH-2	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:07:00:00:00.00	+8 GMT	g	2.9	9.90000000000001	49.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG : SO-SUN	Peter C. Lippert	This study
06X057	Wulan Wula Hu	WWH-2	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:07:00:00:00.00	+8 GMT	g	2.4	7.90000000000001	29.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG	Peter C. Lippert	This study
06X058	Wulan Wula Hu	WWH-2	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:07:00:00:00.00	+8 GMT	g	2.5	22	70.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG : SO-SUN	Peter C. Lippert	This study
06X059	Wulan Wula Hu	WWH-2	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:07:00:00:00.00	+8 GMT	g	2.4	248.4	78.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG	Peter C. Lippert	This study
06X060	Wulan Wula Hu	WWH-2	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:07:00:00:00.00	+8 GMT	g	0.4	135.9	18.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG : SO-SUN	Peter C. Lippert	This study
06X044	Wulan Wula Hu	WWH-3	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:07:00:00:00.00	+8 GMT	g	7.4	268.9	54.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG : SO-SUN	Peter C. Lippert	This study
06X045	Wulan Wula Hu	WWH-3	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:07:00:00:00.00	+8 GMT	g	6.2	226.7	39.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG : SO-SUN	Peter C. Lippert	This study
06X046	Wulan Wula Hu	WWH-3	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:07:00:00:00.00	+8 GMT	g	8.2	216.7	42	0	0	FS-FD : FS-LOC-GPS : SO-MAG : SO-SUN	Peter C. Lippert	This study
06X047	Wulan Wula Hu	WWH-3	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:07:00:00:00.00	+8 GMT	g	-1.7	274.3	50.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG : SO-SUN	Peter C. Lippert	This study
06X048	Wulan Wula Hu	WWH-3	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:07:00:00:00.00	+8 GMT	g	-2	297	62	0	0	FS-FD : FS-LOC-GPS : SO-MAG	Peter C. Lippert	This study
06X049	Wulan Wula Hu	WWH-3	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:07:00:00:00.00	+8 GMT	g	-4.6	286.4	58.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG : SO-SUN	Peter C. Lippert	This study
06X050	Wulan Wula Hu	WWH-3	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:07:00:00:00.00	+8 GMT	g	-0.6	306.9	21.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG : SO-SUN	Peter C. Lippert	This study
06X051	Wulan Wula Hu	WWH-3	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:07:00:00:00.00	+8 GMT	g	-0.7	294.3	59.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG	Peter C. Lippert	This study
06X052	Wulan Wula Hu	WWH-3	Extrusive : Igneous : Subaerial	Basalt : Basaltic Lava : Trachybasalt	Lava Flow	Unaltered	Weathering	34.536	90.227	2006:05:07:00:00:00.00	+8 GMT	g	-0.8	326.7	76.5	0	0	FS-FD : FS-LOC-GPS : SO-MAG : SO-SUN	Peter C. Lippert	This study
