tab 	sites
bed_dip	bed_dip_direction	citations	conglomerate_test	contact_test	description	dir_dec	dir_inc	dir_k	dir_n_samples	dir_nrm_origin	dir_polarity	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	vgp_lat	vgp_lon	vgp_n_samples
10	135.0	This study											Extrusive	Lava Flow		Basalt	Osler Volcanics, Nipigon Strait, Upper Normal		FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM			1			
		This study				289.8	43.6	517	5	p	n	100					Osler Volcanics, Nipigon Strait, Upper Normal		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		1			
		This study				293.1	34.5	517	5	p	n	0					Osler Volcanics, Nipigon Strait, Upper Normal		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		1			
		McElhinny & McFadden 2000:Cox & Doell 1960	ND	ND	VGP : Site 1	289.8	43.6		1	p	n	100			48.626429		Osler Volcanics, Nipigon Strait, Upper Normal	271.894142	DE-BFL:DE-DI:FS-LOC-GOOGLE:LP-DC2		i	1	31.6515520179076	185.574506201	1
12	140.0	This study											Extrusive	Lava Flow		Basalt	Osler Volcanics, Nipigon Strait, Upper Normal		FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM			2			
		This study				285.7	42	243	5	p	n	100					Osler Volcanics, Nipigon Strait, Upper Normal		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		2			
		This study				290.6	31.9	243	5	p	n	0					Osler Volcanics, Nipigon Strait, Upper Normal		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		2			
		McElhinny & McFadden 2000:Cox & Doell 1960	ND	ND	VGP : Site 2	285.7	42		1	p	n	100			48.637185		Osler Volcanics, Nipigon Strait, Upper Normal	271.913846	DE-BFL:DE-DI:FS-LOC-GOOGLE:LP-DC2		i	2	28.1100855266739	187.514757952	1
14	146.0	This study											Extrusive	Lava Flow		Basalt	Osler Volcanics, Nipigon Strait, Upper Normal		FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM			3			
		This study				307.4	37.9	2485	5	p	n	100					Osler Volcanics, Nipigon Strait, Upper Normal		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		3			
		This study				310.0	24.6	2485	5	p	n	0					Osler Volcanics, Nipigon Strait, Upper Normal		DE-BFL:DE-K:FS-FD:FS-H:LP-DC2:SO-SM	g		3			
		McElhinny & McFadden 2000:Cox & Doell 1960	ND	ND	VGP : Site 3	307.4	37.9		1	p	n	100			48.640811		Osler Volcanics, Nipigon Strait, Upper Normal	271.928039	DE-BFL:DE-DI:FS-LOC-GOOGLE:LP-DC2		i	3	40.260603763627	167.886291664	1
12	135.0	This study											Extrusive	Lava Flow		Basalt	Osler Volcanics, Nipigon Strait, Upper Normal		FS-FD:FS-H:FS-LOC-GOOGLE:SO-SM			4			
