specimen	treatment_type	treatment	dec_g	inc_g	dec_t	inc_t	moment
ag1-6a	T	0	284.4	19.3	284.4	19.3	1.07E-02
ag1-6a	T	100	283.1	17.6	283.1	17.6	1.05E-02
ag1-6a	T	200	284.1	16.4	284.1	16.4	1.02E-02
ag1-6a	T	250	283.2	15.1	283.2	15.1	9.81E-03
ag1-6a	T	300	283.2	16.1	283.2	16.1	9.53E-03
ag1-6a	T	340	287.4	16.5	287.4	16.5	9.18E-03
ag1-6a	T	370	286.6	16.3	286.6	16.3	8.98E-03
ag1-6a	T	400	285.3	15.9	285.3	15.9	8.88E-03
ag1-6a	T	430	285.4	15.4	285.4	15.4	8.54E-03
ag1-6a	T	460	286.3	16.4	286.3	16.4	8.24E-03
ag1-6a	T	490	285.2	16.8	285.2	16.8	7.61E-03
ag1-6a	T	515	284.4	17.9	284.4	17.9	6.06E-03
ag1-6a	T	540	291.9	22.7	291.9	22.7	2.28E-03
ag1-6a	T	565	317.8	42.7	317.8	42.7	1.16E-04
ag1-6a	T	590	322.2	39.1	322.2	39.1	1.02E-04
ag1-6b	A	0	292.2	19.6	292.2	19.6	1.01E-02
ag1-6b	A	5	291.2	18.4	291.2	18.4	9.89E-03
ag1-6b	A	10	290	16.8	290	16.8	9.53E-03
ag1-6b	A	15	289.4	15.5	289.4	15.5	9.06E-03
ag1-6b	A	20	289	14.7	289	14.7	8.57E-03
ag1-6b	A	25	289	14.4	289	14.4	8.12E-03
ag1-6b	A	30	288.8	14	288.8	14	7.68E-03
ag1-6b	A	35	287.5	11.7	287.5	11.7	7.42E-03
ag1-6b	A	40	288.6	13.8	288.6	13.8	6.96E-03
ag1-6b	A	45	288.7	13.9	288.7	13.9	6.65E-03
ag1-6b	A	50	288.8	13.7	288.8	13.7	6.28E-03
ag1-6b	A	55	288.7	13.4	288.7	13.4	6.00E-03
ag1-6b	A	60	288.6	13.1	288.6	13.1	5.73E-03
ag1-6b	A	65	289	13.5	289	13.5	5.45E-03
ag1-6b	A	70	289.3	13.1	289.3	13.1	5.22E-03
ag1-6b	A	80	288.9	13	288.9	13	4.75E-03
ag1-6b	A	90	289.3	12.8	289.3	12.8	4.35E-03
ag1-6b	A	100	290	13.1	290	13.1	3.95E-03
ag1-6b	A	110	289.5	13	289.5	13	3.57E-03
