specimen	treatment	treatment_type	moment	dec_s	inc_s
mgf10a1	0	T	2.12E-04	347.8	59.2
mgf10a1	100	T	2.08E-04	349.2	59
mgf10a1	100.1	T	1.91E-04	348.2	55.5
mgf10a1	200.1	T	1.43E-04	346.3	43.1
mgf10a1	200	T	1.82E-04	345.8	55.6
mgf10a1	250	T	1.77E-04	349.3	56.8
mgf10a1	100.2	T	1.54E-04	347.8	50.8
mgf10a1	250.1	T	1.24E-04	347.4	37.2
mgf10a1	300.1	T	9.79E-05	348.5	22.9
mgf10a1	300	T	1.57E-04	348.7	55.8
mgf10a1	350	T	1.43E-04	348	57.4
mgf10a1	250.2	T	9.41E-05	347.9	30.9
mgf10a1	350.1	T	8.05E-05	351	1.9
mgf10a1	400.1	T	9.00E-05	348.9	-34.8
mgf10a1	400	T	1.13E-04	347.5	55.7
mgf10a1	440	T	9.05E-05	346.9	57.5
mgf10a1	350.2	T	6.59E-05	350.9	-38
mgf10a1	440.1	T	1.22E-04	352.5	-64.5
mgf10a1	470.1	T	1.81E-04	348	-78.2
mgf10a1	470	T	5.54E-05	347.1	54
mgf10a1	500	T	3.22E-05	347.8	57.5
mgf10a1	440.2	T	1.64E-04	14.6	-83.1
mgf10a1	500.1	T	2.48E-04	357.7	-82
mgf10a1	530.1	T	2.94E-04	6.6	-85.6
mgf10a1	530	T	1.05E-05	349.2	49
mgf10a1	560	T	4.63E-06	347.2	57.3
mgf10a1	500.2	T	2.79E-04	51	-87.2
mgf10a1	560.1	T	3.13E-04	2.1	-88.1
mgf10a1	585.1	T	3.17E-04	13.7	-88.7
mgf10a1	585	T	1.36E-06	344.7	50.5
mgf10a1	600	T	7.04E-07	351.9	64.5
mgf10a1	560.2	T	3.25E-04	42.7	-87.5
mgf10a1	600.1	T	3.13E-04	349	-88.6
