"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CSF-B (m)","Treatment Type","Treatment Value","Inclination background & drift corrected (deg)","Declination background & drift corrected (deg)","Intensity background & drift corrected (A/m)","Inclination raw (deg)","Declination raw (deg)","Intensity raw (A/m)","Magnetic moment x (Am²)","Magnetic moment y (Am²)","Magnetic moment z (Am²)","Sample orientation","Raw data","Timestamp (UTC)","Instrument","Text ID","Test No.","Comments"
"999","U999","A","1","H","4","A","0.0","6.500","6.500","IN-LINE AF DEMAG","10","41.5","207.0","5.7055E-6","-25.3","201.2","1.0173E-4","-8.3897E-9","-3.2507E-9","-5.2414E-9","SECTION HALF : ARCHIVE","47741261","2019-01-18 19:57:40","SRM","SHLF9693261","112703961",""
"999","U999","A","1","H","4","A","2.5","6.525","6.525","IN-LINE AF DEMAG","10","33.2","185.8","7.3953E-6","-46.4","213.1","4.2601E-5","-2.4060E-9","-1.5692E-9","-3.7222E-9","","","2019-01-18 19:57:40","SRM","SHLF9693261","112703961",""
"999","U999","A","1","H","4","A","5.0","6.550","6.550","IN-LINE AF DEMAG","10","47.1","316.0","4.8602E-6","-82.5","305.9","1.2166E-5","9.0760E-11","-1.2554E-10","-1.4548E-9","","","2019-01-18 19:57:40","SRM","SHLF9693261","112703961",""
"999","U999","A","1","H","4","A","7.5","6.575","6.575","IN-LINE AF DEMAG","10","41.5","332.5","1.2444E-5","-56.4","126.8","5.1964E-6","-1.6855E-10","2.2547E-10","-5.2181E-10","","","2019-01-18 19:57:40","SRM","SHLF9693261","112703961",""
"999","U999","A","1","H","4","A","10.0","6.600","6.600","IN-LINE AF DEMAG","10","58.6","325.5","1.6379E-5","-20.7","353.3","3.8072E-6","3.4602E-10","-4.0469E-11","-1.6229E-10","","","2019-01-18 19:57:40","SRM","SHLF9693261","112703961",""
"999","U999","A","1","H","4","A","12.5","6.625","6.625","IN-LINE AF DEMAG","10","70.5","216.5","1.5157E-5","17.3","299.8","3.5978E-6","1.6693E-10","-2.9154E-10","1.2929E-10","","","2019-01-18 19:57:40","SRM","SHLF9693261","112703961",""
"999","U999","A","1","H","4","A","15.0","6.650","6.650","IN-LINE AF DEMAG","10","63.7","236.4","1.0709E-5","3.5","249.2","5.6448E-6","-1.9530E-10","-5.1536E-10","4.1931E-11","","","2019-01-18 19:57:40","SRM","SHLF9693261","112703961",""
"999","U999","A","1","H","4","A","17.5","6.675","6.675","IN-LINE AF DEMAG","10","46.0","235.6","8.9496E-6","-11.5","225.3","6.5231E-6","-4.4003E-10","-4.4433E-10","-1.5646E-10","","","2019-01-18 19:57:40","SRM","SHLF9693261","112703961",""
"999","U999","A","1","H","4","A","20.0","6.700","6.700","IN-LINE AF DEMAG","10","15.7","207.9","7.0046E-6","-26.5","206.6","6.9479E-6","-5.4375E-10","-2.7255E-10","-3.7388E-10","","","2019-01-18 19:57:40","SRM","SHLF9693261","112703961",""
"999","U999","A","1","H","4","A","22.5","6.725","6.725","IN-LINE AF DEMAG","10","-27.9","182.7","1.1707E-5","-45.7","190.5","9.5771E-6","-6.4343E-10","-1.1893E-10","-8.2658E-10","","","2019-01-18 19:57:40","SRM","SHLF9693261","112703961",""
"999","U999","A","1","H","4","A","25.0","6.750","6.750","IN-LINE AF DEMAG","10","-66.3","211.4","1.1438E-5","-68.7","246.0","1.2659E-5","-1.8314E-10","-4.1130E-10","-1.4222E-9","","","2019-01-18 19:57:40","SRM","SHLF9693261","112703961",""
"999","U999","A","1","H","4","A","27.5","6.775","6.775","IN-LINE AF DEMAG","10","-63.1","274.2","1.2638E-5","-53.3","331.8","1.7644E-5","9.0922E-10","-4.8728E-10","-1.7060E-9","","","2019-01-18 19:57:40","SRM","SHLF9693261","112703961",""
"999","U999","A","1","H","4","A","30.0","6.800","6.800","IN-LINE AF DEMAG","10","-49.2","304.1","1.0033E-5","-35.1","349.0","1.7676E-5","1.3881E-9","-2.7007E-10","-1.2265E-9","","","2019-01-18 19:57:40","SRM","SHLF9693261","112703961",""
"999","U999","A","1","H","4","A","32.5","6.825","6.825","IN-LINE AF DEMAG","10","-49.0","267.1","4.8320E-6","-32.3","358.0","1.0062E-5","8.3143E-10","-2.8907E-11","-6.4838E-10","","","2019-01-18 19:57:40","SRM","SHLF9693261","112703961",""
"999","U999","A","1","H","4","A","35.0","6.850","6.850","IN-LINE AF DEMAG","10","-34.1","238.2","4.5013E-6","-58.9","265.4","6.3618E-6","-2.5932E-11","-3.2045E-10","-6.5692E-10","","","2019-01-18 19:57:40","SRM","SHLF9693261","112703961",""
"999","U999","A","1","H","4","A","37.5","6.875","6.875","IN-LINE AF DEMAG","10","-9.8","343.0","8.8878E-6","-38.5","316.7","1.0777E-5","6.0048E-10","-5.6574E-10","-8.0911E-10","","","2019-01-18 19:57:40","SRM","SHLF9693261","112703961",""
"999","U999","A","1","H","4","A","40.0","6.900","6.900","IN-LINE AF DEMAG","10","22.8","11.3","1.2480E-5","-6.6","355.1","1.7150E-5","1.6604E-9","-1.4205E-10","-2.3761E-10","","","2019-01-18 19:57:40","SRM","SHLF9693261","112703961",""
