"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CSF-B (m)","Treatment Type","Treatment Value","Inclination background & drift corrected (deg)","Declination background & drift corrected (deg)","Intensity background & drift corrected (A/m)","Inclination raw (deg)","Declination raw (deg)","Intensity raw (A/m)","Magnetic moment x (Am²)","Magnetic moment y (Am²)","Magnetic moment z (Am²)","Sample orientation","Raw data","Timestamp (UTC)","Instrument","Text ID","Test No.","Comments"
"999","U999","A","1","H","1","W","26.0","3.270","3.270","NRM","0","-77.7","227.9","1.5826E-1","-77.7","227.8","1.5816E-1","-1.8023E-7","-1.9911E-7","-1.2365E-6","TOP - AWAY : CUBE WORKING","","2019-03-25 19:01:38","SRM","CUBE9805311","113378341","A. extruder"
"999","U999","A","1","H","1","W","26.0","3.270","3.270","IN-LINE AF DEMAG","5","-73.2","222.3","9.6222E-2","-73.3","222.3","9.6158E-2","-1.6394E-7","-1.4915E-7","-7.3664E-7","TOP - AWAY : CUBE WORKING","","2019-03-25 19:03:36","SRM","CUBE9805311","113378361","A. extruder"
"999","U999","A","1","H","1","W","26.0","3.270","3.270","IN-LINE AF DEMAG","10","-71.1","214.8","5.8587E-2","-71.1","214.7","5.8517E-2","-1.2446E-7","-8.6261E-8","-4.4297E-7","TOP - AWAY : CUBE WORKING","","2019-03-25 19:05:28","SRM","CUBE9805311","113378381","A. extruder"
"999","U999","A","1","H","1","W","26.0","3.270","3.270","IN-LINE AF DEMAG","15","-66.1","221.7","4.7645E-2","-66.2","221.7","4.7571E-2","-1.1473E-7","-1.0212E-7","-3.4820E-7","TOP - AWAY : CUBE WORKING","","2019-03-25 19:07:28","SRM","CUBE9805311","113378401","A. extruder"
"999","U999","A","1","H","1","W","26.0","3.270","3.270","IN-LINE AF DEMAG","20","-64.7","217.5","3.9539E-2","-64.8","217.4","3.9469E-2","-1.0703E-7","-8.1740E-8","-2.8559E-7","TOP - AWAY : CUBE WORKING","","2019-03-25 19:09:31","SRM","CUBE9805311","113378421","A. extruder"
"999","U999","A","1","H","1","W","26.0","3.270","3.270","IN-LINE AF DEMAG","25","-62.2","218.9","3.3752E-2","-62.3","218.8","3.3679E-2","-9.7693E-8","-7.8647E-8","-2.3846E-7","TOP - AWAY : CUBE WORKING","","2019-03-25 19:11:41","SRM","CUBE9805311","113378441","A. extruder"
"999","U999","A","1","H","1","W","26.0","3.270","3.270","IN-LINE AF DEMAG","30","-67.7","216.7","2.6584E-2","-67.9","216.6","2.6515E-2","-6.4199E-8","-4.7638E-8","-1.9647E-7","TOP - AWAY : CUBE WORKING","","2019-03-25 19:13:58","SRM","CUBE9805311","113378461","A. extruder"
"999","U999","A","1","H","1","W","26.0","3.270","3.270","IN-LINE AF DEMAG","35","-69.1","214.9","2.1021E-2","-69.3","214.7","2.0975E-2","-4.8736E-8","-3.3708E-8","-1.5698E-7","TOP - AWAY : CUBE WORKING","","2019-03-25 19:16:21","SRM","CUBE9805311","113378481","A. extruder"
"999","U999","A","1","H","1","W","26.0","3.270","3.270","IN-LINE AF DEMAG","40","-70.4","213.1","1.8119E-2","-70.6","212.8","1.8064E-2","-4.0362E-8","-2.6034E-8","-1.3629E-7","TOP - AWAY : CUBE WORKING","","2019-03-25 19:18:53","SRM","CUBE9805311","113378511","A. extruder"
"999","U999","A","1","H","1","W","26.0","3.270","3.270","IN-LINE AF DEMAG","45","-68.3","217.4","1.3498E-2","-68.6","217.3","1.3425E-2","-3.1173E-8","-2.3706E-8","-1.0000E-7","TOP - AWAY : CUBE WORKING","","2019-03-25 19:21:33","SRM","CUBE9805311","113378521","A. extruder"
"999","U999","A","1","H","1","W","26.0","3.270","3.270","IN-LINE AF DEMAG","50","-69.7","219.1","1.1926E-2","-70.0","218.9","1.1858E-2","-2.5219E-8","-2.0341E-8","-8.9163E-8","TOP - AWAY : CUBE WORKING","","2019-03-25 19:24:20","SRM","CUBE9805311","113378551","A. extruder"
"999","U999","A","1","H","1","W","26.0","3.270","3.270","IN-LINE AF DEMAG","55","-65.1","222.0","8.8442E-3","-65.5","221.9","8.7766E-3","-2.1674E-8","-1.9417E-8","-6.3899E-8","TOP - AWAY : CUBE WORKING","","2019-03-25 19:27:16","SRM","CUBE9805311","113378561","A. extruder"
"999","U999","A","1","H","1","W","26.0","3.270","3.270","IN-LINE AF DEMAG","60","-62.8","222.4","7.6573E-3","-63.3","222.3","7.5859E-3","-2.0211E-8","-1.8370E-8","-5.4194E-8","TOP - AWAY : CUBE WORKING","","2019-03-25 19:30:21","SRM","CUBE9805311","113378581","A. extruder"
"999","U999","A","1","H","1","W","26.0","3.270","3.270","IN-LINE AF DEMAG","65","-62.0","216.4","6.9727E-3","-62.5","216.1","6.8949E-3","-2.0590E-8","-1.5007E-8","-4.8922E-8","TOP - AWAY : CUBE WORKING","","2019-03-25 19:33:34","SRM","CUBE9805311","113378601","A. extruder"
"999","U999","A","1","H","1","W","26.0","3.270","3.270","IN-LINE AF DEMAG","75","-58.7","218.3","2.6534E-3","-60.1","217.5","2.5868E-3","-8.1845E-9","-6.2859E-9","-1.7938E-8","TOP - AWAY : CUBE WORKING","","2019-03-25 19:40:24","SRM","CUBE9805311","113378621","A. extruder"
"999","U999","A","1","H","1","W","26.0","3.270","3.270","IN-LINE AF DEMAG","70","-55.2","222.5","3.9255E-3","-55.9","222.3","3.8343E-3","-1.2716E-8","-1.1553E-8","-2.5411E-8","TOP - AWAY : CUBE WORKING","","2019-03-25 19:36:54","SRM","CUBE9805311","113378631","A. extruder"
"999","U999","A","1","H","1","W","26.0","3.270","3.270","IN-LINE AF DEMAG","80","-60.2","242.8","1.3458E-3","-62.8","245.0","1.2641E-3","-1.9581E-9","-4.1934E-9","-8.9916E-9","TOP - AWAY : CUBE WORKING","","2019-03-25 19:44:02","SRM","CUBE9805311","113378661","A. extruder"
"999","U999","A","1","H","2","W","140.0","6.060","6.060","NRM","0","-75.3","219.6","1.8210E-1","-75.3","219.6","1.8201E-1","-2.8522E-7","-2.3570E-7","-1.4083E-6","TOP - AWAY : CUBE WORKING","","2019-03-25 19:01:38","SRM","CUBE9790501","113378351",""
"999","U999","A","1","H","2","W","140.0","6.060","6.060","IN-LINE AF DEMAG","5","-74.3","205.6","1.0961E-1","-74.3","205.6","1.0958E-1","-2.1399E-7","-1.0256E-7","-8.4387E-7","TOP - AWAY : CUBE WORKING","","2019-03-25 19:03:36","SRM","CUBE9790501","113378371",""
"999","U999","A","1","H","2","W","140.0","6.060","6.060","IN-LINE AF DEMAG","10","-67.5","206.8","6.7296E-2","-67.5","206.8","6.7259E-2","-1.8357E-7","-9.2612E-8","-4.9724E-7","TOP - AWAY : CUBE WORKING","","2019-03-25 19:05:28","SRM","CUBE9790501","113378391",""
