tab 	measurements
citations	description	dir_csd	dir_dec	dir_inc	experiment	external_database_ids	instrument_codes	magn_moment	magn_volume	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
This study	NRM:: average of multiple measurements	60.9	320.1	55.5	999-U999A-1H-1-A-0.0_LP-DIR-AF	LORE[112708351]	IODP-SRM	1.117e-06	0.014118	2.0	2.730e+02	999-U999A-1H-1-A-0.0_LP-DIR-AF-1	LT-NO:DE-VM:LP-DIR-AF	g	0	pmagpy-4.2.25-1	999-U999A-1H-1-A-0.0	u	2019-01-25T02:19:33Z	0.0	0	0	0	0	2.730e+02
This study	IN-LINE AF DEMAG:	0	16.6	6.1	999-U999A-1H-1-A-0.0_LP-DIR-AF	LORE[113379361]	IODP-SRM:IODP-SRM-AF	6.53383227899217e-07	0.0059893	1	2.730e+02	999-U999A-1H-1-A-0.0_LP-DIR-AF-2	LT-AF-Z:LP-DIR-AF	g	1	pmagpy-4.2.25-1	999-U999A-1H-1-A-0.0	u	2019-03-23T23:05:09Z	0.002	0	0	0	1	2.730e+02
This study	IN-LINE AF DEMAG:	0	16.3	6.2	999-U999A-1H-1-A-0.0_LP-DIR-AF	LORE[113379381]	IODP-SRM:IODP-SRM-AF	6.475873231464619e-07	0.0059339	1	2.730e+02	999-U999A-1H-1-A-0.0_LP-DIR-AF-3	LT-AF-Z:LP-DIR-AF	g	2	pmagpy-4.2.25-1	999-U999A-1H-1-A-0.0	u	2019-03-23T23:07:35Z	0.004	0	0	0	2	2.730e+02
This study	IN-LINE AF DEMAG:	0	266.6	29.8	999-U999A-1H-1-A-0.0_LP-DIR-AF	LORE[112708361]	IODP-SRM:IODP-SRM-AF	7.93360567674623e-07	0.0058498000000000005	1	2.730e+02	999-U999A-1H-1-A-0.0_LP-DIR-AF-4	LT-AF-Z:LP-DIR-AF	g	3	pmagpy-4.2.25-1	999-U999A-1H-1-A-0.0	u	2019-01-25T02:22:20Z	0.01	0	0	0	3	2.730e+02
This study	IN-LINE AF DEMAG:	0	265.1	25.5	999-U999A-1H-1-A-0.0_LP-DIR-AF	LORE[112708371]	IODP-SRM:IODP-SRM-AF	4.819357916610884e-07	0.0036006999999999996	1	2.730e+02	999-U999A-1H-1-A-0.0_LP-DIR-AF-5	LT-AF-Z:LP-DIR-AF	g	4	pmagpy-4.2.25-1	999-U999A-1H-1-A-0.0	u	2019-01-25T02:25:24Z	0.02	0	0	0	4	2.730e+02
This study	NRM:: average of multiple measurements	61.5	314.7	72.3	999-U999A-1H-1-A-10.0_LP-DIR-AF	LORE[112708351]	IODP-SRM	2.342e-06	0.029182	2.0	2.730e+02	999-U999A-1H-1-A-10.0_LP-DIR-AF-6	LT-NO:DE-VM:LP-DIR-AF	g	5	pmagpy-4.2.25-1	999-U999A-1H-1-A-10.0	u	2019-01-25T02:19:33Z	0.0	0	0	0	0	2.730e+02
This study	IN-LINE AF DEMAG:	0	27.1	11.6	999-U999A-1H-1-A-10.0_LP-DIR-AF	LORE[113379361]	IODP-SRM:IODP-SRM-AF	1.2176360067770665e-06	0.011048	1	2.730e+02	999-U999A-1H-1-A-10.0_LP-DIR-AF-7	LT-AF-Z:LP-DIR-AF	g	6	pmagpy-4.2.25-1	999-U999A-1H-1-A-10.0	u	2019-03-23T23:05:09Z	0.002	0	0	0	1	2.730e+02
This study	IN-LINE AF DEMAG:	0	26.6	12.2	999-U999A-1H-1-A-10.0_LP-DIR-AF	LORE[113379381]	IODP-SRM:IODP-SRM-AF	1.1994018089864631e-06	0.01085	1	2.730e+02	999-U999A-1H-1-A-10.0_LP-DIR-AF-8	LT-AF-Z:LP-DIR-AF	g	7	pmagpy-4.2.25-1	999-U999A-1H-1-A-10.0	u	2019-03-23T23:07:35Z	0.004	0	0	0	2	2.730e+02
This study	IN-LINE AF DEMAG:	0	261.4	37.1	999-U999A-1H-1-A-10.0_LP-DIR-AF	LORE[112708361]	IODP-SRM:IODP-SRM-AF	1.3363634222022091e-06	0.009593899999999999	1	2.730e+02	999-U999A-1H-1-A-10.0_LP-DIR-AF-9	LT-AF-Z:LP-DIR-AF	g	8	pmagpy-4.2.25-1	999-U999A-1H-1-A-10.0	u	2019-01-25T02:22:20Z	0.01	0	0	0	3	2.730e+02
This study	IN-LINE AF DEMAG:	0	261.9	30.9	999-U999A-1H-1-A-10.0_LP-DIR-AF	LORE[112708371]	IODP-SRM:IODP-SRM-AF	8.12650344106246e-07	0.0059675	1	2.730e+02	999-U999A-1H-1-A-10.0_LP-DIR-AF-10	LT-AF-Z:LP-DIR-AF	g	9	pmagpy-4.2.25-1	999-U999A-1H-1-A-10.0	u	2019-01-25T02:25:24Z	0.02	0	0	0	4	2.730e+02
This study	NRM:: average of multiple measurements	66.9	317.4	68.7	999-U999A-1H-1-A-100.0_LP-DIR-AF	LORE[112708351]	IODP-SRM	7.870e-07	0.0093992	2.0	2.730e+02	999-U999A-1H-1-A-100.0_LP-DIR-AF-11	LT-NO:DE-VM:LP-DIR-AF	g	10	pmagpy-4.2.25-1	999-U999A-1H-1-A-100.0	u	2019-01-25T02:19:33Z	0.0	0	0	0	0	2.730e+02
This study	IN-LINE AF DEMAG:	0	23.1	22.1	999-U999A-1H-1-A-100.0_LP-DIR-AF	LORE[113379361]	IODP-SRM:IODP-SRM-AF	9.562569248899588e-07	0.0080744	1	2.730e+02	999-U999A-1H-1-A-100.0_LP-DIR-AF-12	LT-AF-Z:LP-DIR-AF	g	11	pmagpy-4.2.25-1	999-U999A-1H-1-A-100.0	u	2019-03-23T23:05:09Z	0.002	0	0	0	1	2.730e+02
This study	IN-LINE AF DEMAG:	0	22.7	23.3	999-U999A-1H-1-A-100.0_LP-DIR-AF	LORE[113379381]	IODP-SRM:IODP-SRM-AF	9.501890201954556e-07	0.007948100000000001	1	2.730e+02	999-U999A-1H-1-A-100.0_LP-DIR-AF-13	LT-AF-Z:LP-DIR-AF	g	12	pmagpy-4.2.25-1	999-U999A-1H-1-A-100.0	u	2019-03-23T23:07:35Z	0.004	0	0	0	2	2.730e+02
This study	IN-LINE AF DEMAG:	0	239.2	30.0	999-U999A-1H-1-A-100.0_LP-DIR-AF	LORE[112708361]	IODP-SRM:IODP-SRM-AF	7.862391074603196e-07	0.0057901	1	2.730e+02	999-U999A-1H-1-A-100.0_LP-DIR-AF-14	LT-AF-Z:LP-DIR-AF	g	13	pmagpy-4.2.25-1	999-U999A-1H-1-A-100.0	u	2019-01-25T02:22:20Z	0.01	0	0	0	3	2.730e+02
This study	IN-LINE AF DEMAG:	0	239.2	22.8	999-U999A-1H-1-A-100.0_LP-DIR-AF	LORE[112708371]	IODP-SRM:IODP-SRM-AF	5.266290009105081e-07	0.0039705	1	2.730e+02	999-U999A-1H-1-A-100.0_LP-DIR-AF-15	LT-AF-Z:LP-DIR-AF	g	14	pmagpy-4.2.25-1	999-U999A-1H-1-A-100.0	u	2019-01-25T02:25:24Z	0.02	0	0	0	4	2.730e+02
This study	NRM:	0	30.9	30.1	999-U999A-1H-1-A-102.0_LP-DIR-AF	LORE[113379371]	IODP-SRM	6.105480533094836e-07	0.0048104	1	2.730e+02	999-U999A-1H-1-A-102.0_LP-DIR-AF-16	LT-NO:LP-DIR-AF	g	15	pmagpy-4.2.25-1	999-U999A-1H-1-A-102.0	u	2019-03-23T23:02:45Z	0.0	0	0	0	0	2.730e+02
This study	IN-LINE AF DEMAG:	0	29.7	27.1	999-U999A-1H-1-A-102.0_LP-DIR-AF	LORE[113379361]	IODP-SRM:IODP-SRM-AF	5.726359243009471e-07	0.0046302	1	2.730e+02	999-U999A-1H-1-A-102.0_LP-DIR-AF-17	LT-AF-Z:LP-DIR-AF	g	16	pmagpy-4.2.25-1	999-U999A-1H-1-A-102.0	u	2019-03-23T23:05:09Z	0.002	0	0	0	1	2.730e+02
