citations,description,dir_csd,dir_dec,dir_inc,experiment,external_database_ids,instrument_codes,magn_moment,magn_volume,meas_n_orient,meas_temp,measurement,method_codes,quality,sequence,software_packages,specimen,standard,timestamp,treat_ac_field,treat_dc_field,treat_dc_field_phi,treat_dc_field_theta,treat_step_num,treat_temp,core_depth,core_sects,offset,core,section
This study,IN-LINE AF DEMAG:,0.0,239.2,30.0,999-U999A-1H-1-A-100.0_LP-DIR-AF,LORE[112708361],IODP-SRM:IODP-SRM-AF,7.862391074603195e-07,0.0057901,1.0,273.0,999-U999A-1H-1-A-100.0_LP-DIR-AF-14,LT-AF-Z:LP-DIR-AF,g,13,pmagpy-4.2.25-1,999-U999A-1H-1-A-100.0,u,2019-01-25T02:22:20Z,0.01,0,0,0,3,273.0,4.0,1H-1,100.0,1H,1
This study,IN-LINE AF DEMAG:,0.0,237.0,31.6,999-U999A-1H-1-A-102.5_LP-DIR-AF,LORE[112708361],IODP-SRM:IODP-SRM-AF,7.585166137930005e-07,0.005556,1.0,273.0,999-U999A-1H-1-A-102.5_LP-DIR-AF-20,LT-AF-Z:LP-DIR-AF,g,19,pmagpy-4.2.25-1,999-U999A-1H-1-A-102.5,u,2019-01-25T02:22:20Z,0.01,0,0,0,1,273.0,4.025,1H-1,102.5,1H,1
This study,IN-LINE AF DEMAG:,0.0,237.0,31.0,999-U999A-1H-1-A-105.0_LP-DIR-AF,LORE[112708361],IODP-SRM:IODP-SRM-AF,7.63860331539739e-07,0.0056068,1.0,273.0,999-U999A-1H-1-A-105.0_LP-DIR-AF-23,LT-AF-Z:LP-DIR-AF,g,22,pmagpy-4.2.25-1,999-U999A-1H-1-A-105.0,u,2019-01-25T02:22:20Z,0.01,0,0,0,1,273.0,4.05,1H-1,105.0,1H,1
This study,IN-LINE AF DEMAG:,0.0,238.1,27.2,999-U999A-1H-1-A-107.5_LP-DIR-AF,LORE[112708361],IODP-SRM:IODP-SRM-AF,8.002841092387128e-07,0.0059516000000000005,1.0,273.0,999-U999A-1H-1-A-107.5_LP-DIR-AF-26,LT-AF-Z:LP-DIR-AF,g,25,pmagpy-4.2.25-1,999-U999A-1H-1-A-107.5,u,2019-01-25T02:22:20Z,0.01,0,0,0,1,273.0,4.075,1H-1,107.5,1H,1
This study,IN-LINE AF DEMAG:,0.0,238.6,23.4,999-U999A-1H-1-A-110.0_LP-DIR-AF,LORE[112708361],IODP-SRM:IODP-SRM-AF,8.145929097408105e-07,0.0061311,1.0,273.0,999-U999A-1H-1-A-110.0_LP-DIR-AF-29,LT-AF-Z:LP-DIR-AF,g,28,pmagpy-4.2.25-1,999-U999A-1H-1-A-110.0,u,2019-01-25T02:22:20Z,0.01,0,0,0,1,273.0,4.1,1H-1,110.0,1H,1
This study,IN-LINE AF DEMAG:,0.0,241.8,22.4,999-U999A-1H-1-A-112.5_LP-DIR-AF,LORE[112708361],IODP-SRM:IODP-SRM-AF,8.110425482057029e-07,0.006122,1.0,273.0,999-U999A-1H-1-A-112.5_LP-DIR-AF-32,LT-AF-Z:LP-DIR-AF,g,31,pmagpy-4.2.25-1,999-U999A-1H-1-A-112.5,u,2019-01-25T02:22:20Z,0.01,0,0,0,1,273.0,4.125,1H-1,112.5,1H,1
This study,IN-LINE AF DEMAG:,0.0,247.2,25.7,999-U999A-1H-1-A-115.0_LP-DIR-AF,LORE[112708361],IODP-SRM:IODP-SRM-AF,8.24224155130144e-07,0.0061585,1.0,273.0,999-U999A-1H-1-A-115.0_LP-DIR-AF-35,LT-AF-Z:LP-DIR-AF,g,34,pmagpy-4.2.25-1,999-U999A-1H-1-A-115.0,u,2019-01-25T02:22:20Z,0.01,0,0,0,1,273.0,4.15,1H-1,115.0,1H,1
This study,IN-LINE AF DEMAG:,0.0,249.9,30.6,999-U999A-1H-1-A-117.5_LP-DIR-AF,LORE[112708361],IODP-SRM:IODP-SRM-AF,8.920203532431309e-07,0.006555199999999999,1.0,273.0,999-U999A-1H-1-A-117.5_LP-DIR-AF-38,LT-AF-Z:LP-DIR-AF,g,37,pmagpy-4.2.25-1,999-U999A-1H-1-A-117.5,u,2019-01-25T02:22:20Z,0.01,0,0,0,1,273.0,4.175,1H-1,117.5,1H,1
This study,IN-LINE AF DEMAG:,0.0,246.2,33.0,999-U999A-1H-1-A-120.0_LP-DIR-AF,LORE[112708361],IODP-SRM:IODP-SRM-AF,9.774538357385478e-07,0.007123100000000001,1.0,273.0,999-U999A-1H-1-A-120.0_LP-DIR-AF-47,LT-AF-Z:LP-DIR-AF,g,46,pmagpy-4.2.25-1,999-U999A-1H-1-A-120.0,u,2019-01-25T02:22:20Z,0.01,0,0,0,1,273.0,4.2,1H-1,120.0,1H,1
This study,IN-LINE AF DEMAG:,0.0,244.1,32.8,999-U999A-1H-1-A-122.5_LP-DIR-AF,LORE[112708361],IODP-SRM:IODP-SRM-AF,9.75042069656484e-07,0.007109000000000002,1.0,273.0,999-U999A-1H-1-A-122.5_LP-DIR-AF-50,LT-AF-Z:LP-DIR-AF,g,49,pmagpy-4.2.25-1,999-U999A-1H-1-A-122.5,u,2019-01-25T02:22:20Z,0.01,0,0,0,1,273.0,4.225,1H-1,122.5,1H,1
