"Exp","Site","Hole","Core","Type","Sect","A/W","Top offset (cm)","Bottom offset (cm)","Top depth CSF-A (m)","Bottom depth CSF-A (m)","Top depth CSF-B (m)","Bottom depth CSF-B (m)","Length (cm)","Volume (cm3)","Sample type","Test","Request Code","Request number","Sample name","Text ID","Date sample logged","Sample entered by","Location","Comments","Label identifier"
"999","U999","A","1","H","1","","7.0","9.0","3.070","3.090","3.070","3.090","2.0","7","CUBE","PMAG","","","PMAG","CUBE9709951","2019-01-31 13:33:14","JRS_HILLENBRAND","JR","","999-U999A-1H-1-PMAG"
"999","U999","A","1","H","1","W","10.0","12.0","3.100","3.120","3.100","3.120","2.0","8","CUBE","PMAG","","","PMAG","CUBE9790581","2019-03-23 20:01:02","JR_MARTINEZ","JR","","999-U999A-1H-1-W 10/12-PMAG"
"999","U999","A","1","H","1","W","20.0","22.0","3.200","3.220","3.200","3.220","2.0","7","CUBE","PMAG","","","PMAG","CUBE9693461","2018-11-17 19:07:41","NOVAK","JR","","999-U999A-1H-1-W 20/22-PMAG"
"999","U999","A","1","H","1","W","26.0","28.0","3.260","3.280","3.260","3.280","2.0","8","CUBE","PMAG","","","PMAG","CUBE9805321","2019-03-24 20:35:05","JRS_REILLY","JR","B. push-in","999-U999A-1H-1-W 26/28-PMAG"
"999","U999","A","1","H","1","W","26.0","28.0","3.260","3.280","3.260","3.280","2.0","8","CUBE","PMAG","","","PMAG","CUBE9805311","2019-03-24 20:35:04","JRS_REILLY","JR","A. extruder","999-U999A-1H-1-W 26/28-PMAG"
"999","U999","A","1","H","1","W","26.0","28.0","3.360","3.380","3.360","3.380","2.0","7","CUBE","PMAG","","","PMAG","CUBE9852571","2019-04-05 09:53:14","JRS_ZHENG","JR","","999-U999A-1H-1-W 26/28-PMAG-PMAG"
"999","U999","A","1","H","1","W","95.0","97.0","3.900","3.920","3.900","3.920","2.0","8","CUBE","PMAG","","","PMAG","CUBE9790571","2019-03-23 19:44:47","JR_MARTINEZ","JR","","999-U999A-1H-1-W 95/97-PMAG"
"999","U999","A","1","H","2","W","15.0","17.0","4.650","4.670","4.650","4.670","2.0","7","CUBE","PMAG","","","PMAG","CUBE9693471","2018-11-17 19:07:42","NOVAK","JR","","999-U999A-1H-2-W 15/17-PMAG"
"999","U999","A","1","H","2","W","15.0","17.0","4.900","4.920","4.900","4.920","2.0","10","CUBE","PMAG","","","PMAG","CUBE9790491","2019-03-23 17:53:44","HASTEDT","JR","","999-U999A-1H-2-W 15/17-PMAG-PMAG"
"999","U999","A","1","H","2","W","15.0","17.0","6.050","6.070","6.050","6.070","2.0","10","CUBE","PMAG","","","PMAG","CUBE9790501","2019-03-23 17:53:45","HASTEDT","JR","","999-U999A-1H-2-W 15/17-PMAG-PMAG"
"999","U999","A","1","H","3","W","5.0","7.0","6.050","6.070","6.050","6.070","2.0","7","CUBE","PMAG","","","PMAG","CUBE9693441","2018-11-17 19:07:41","NOVAK","JR","","999-U999A-1H-3-W 5/7-PMAG"
"999","U999","A","1","H","4","W","14.0","16.0","6.640","6.660","6.640","6.660","2.0","7","CUBE","PMAG","","","PMAG","CUBE9693451","2018-11-17 19:07:41","NOVAK","JR","","999-U999A-1H-4-W 14/16-PMAG"
