tab	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
Saiko	This study		0.6	226.8	81.9	318-U1359A-002H-1-W-109_LP-IRM	SIO-flo	1.874e-05	4.0	273.0	318-U1359A-002H-1-W-109_LP-IRM0	LT-IRM:LP-IRM	g	1	pmagpy-4.2.19	318-U1359A-002H-1-W-109	u	2012-04-09T18:48:00Z	0	0.015	0.0	90.0	0	273.0
Saiko	This study		0.6	215.2	87.5	318-U1359A-002H-1-W-109_LP-IRM	SIO-flo	2.865e-05	4.0	273.0	318-U1359A-002H-1-W-109_LP-IRM1	LT-IRM:LP-IRM	g	2	pmagpy-4.2.19	318-U1359A-002H-1-W-109	u	2012-04-09T18:49:00Z	0	0.023	0.0	90.0	1	273.0
Saiko	This study		1.4	149.3	86.2	318-U1359A-002H-1-W-109_LP-IRM	SIO-flo	3.419e-05	4.0	273.0	318-U1359A-002H-1-W-109_LP-IRM2	LT-IRM:LP-IRM	g	3	pmagpy-4.2.19	318-U1359A-002H-1-W-109	u	2012-04-09T18:50:00Z	0	0.03	0.0	90.0	2	273.0
Saiko	This study		1.5	126.5	86.7	318-U1359A-002H-1-W-109_LP-IRM	SIO-flo	4.11e-05	4.0	273.0	318-U1359A-002H-1-W-109_LP-IRM3	LT-IRM:LP-IRM	g	4	pmagpy-4.2.19	318-U1359A-002H-1-W-109	u	2012-04-09T18:51:00Z	0	0.045	0.0	90.0	3	273.0
Saiko	This study		0.8	241.8	88.4	318-U1359A-002H-1-W-109_LP-IRM	SIO-flo	4.448e-05	4.0	273.0	318-U1359A-002H-1-W-109_LP-IRM4	LT-IRM:LP-IRM	g	5	pmagpy-4.2.19	318-U1359A-002H-1-W-109	u	2012-04-09T18:52:00Z	0	0.059	0.0	90.0	4	273.0
Saiko	This study		0.9	240.3	86.0	318-U1359A-002H-1-W-109_LP-IRM	SIO-flo	4.659e-05	4.0	273.0	318-U1359A-002H-1-W-109_LP-IRM5	LT-IRM:LP-IRM	g	6	pmagpy-4.2.19	318-U1359A-002H-1-W-109	u	2012-04-09T18:54:00Z	0	0.074	0.0	90.0	5	273.0
Saiko	This study		0.9	107.3	86.8	318-U1359A-002H-1-W-109_LP-IRM	SIO-flo	4.751e-05	4.0	273.0	318-U1359A-002H-1-W-109_LP-IRM6	LT-IRM:LP-IRM	g	7	pmagpy-4.2.19	318-U1359A-002H-1-W-109	u	2012-04-09T18:55:00Z	0	0.088	0.0	90.0	6	273.0
Saiko	This study		1.3	107.6	84.4	318-U1359A-002H-1-W-109_LP-IRM	SIO-flo	4.876e-05	4.0	273.0	318-U1359A-002H-1-W-109_LP-IRM7	LT-IRM:LP-IRM	g	8	pmagpy-4.2.19	318-U1359A-002H-1-W-109	u	2012-04-09T18:57:00Z	0	0.147	0.0	90.0	7	273.0
Saiko	This study		1.2	119.1	85.9	318-U1359A-002H-1-W-109_LP-IRM	SIO-flo	4.917e-05	4.0	273.0	318-U1359A-002H-1-W-109_LP-IRM8	LT-IRM:LP-IRM	g	9	pmagpy-4.2.19	318-U1359A-002H-1-W-109	u	2012-04-09T18:58:00Z	0	0.22	0.0	90.0	8	273.0
Saiko	This study		1.6	152.5	88.1	318-U1359A-002H-1-W-109_LP-IRM	SIO-flo	4.925e-05	4.0	273.0	318-U1359A-002H-1-W-109_LP-IRM9	LT-IRM:LP-IRM	g	10	pmagpy-4.2.19	318-U1359A-002H-1-W-109	u	2012-04-09T18:59:00Z	0	0.293	0.0	90.0	9	273.0
