tab	sites
lat	location	lon	site
	U1359A		318-U1359A-002H-1-W-109
	U1359A		318-U1359A-002H-2-W-135
	U1359A		318-U1359A-002H-3-W-45
	U1359A		318-U1359A-002H-4-W-65
	U1359A		318-U1359A-002H-6-W-7
	U1359A		318-U1359A-003H-1-W-50
	U1359A		318-U1359A-003H-2-W-37
	U1359A		318-U1359A-003H-5-W-26
	U1359A		318-U1359A-003H-7-W-57
	U1359A		318-U1359A-004H-2-W-18
	U1359A		318-U1359A-004H-2-W-44
	U1359A		318-U1359A-004H-2-W-69
	U1359A		318-U1359A-004H-2-W-100
	U1359A		318-U1359A-004H-2-W-130
	U1359A		318-U1359A-004H-3-W-9
	U1359A		318-U1359A-004H-3-W-29
	U1359A		318-U1359A-004H-3-W-50
	U1359A		318-U1359A-004H-3-W-100
	U1359A		318-U1359A-004H-3-W-120
	U1359A		318-U1359A-004H-3-W-145
	U1359A		318-U1359A-004H-4-W-9
	U1359A		318-U1359A-004H-4-W-24
	U1359A		318-U1359A-004H-4-W-44
	U1359A		318-U1359A-004H-4-W-61
	U1359A		318-U1359A-004H-4-W-84
	U1359A		318-U1359A-004H-4-W-102
	U1359A		318-U1359A-004H-4-W-120
	U1359A		318-U1359A-004H-4-W-143
	U1359A		318-U1359A-004H-5-W-139
	U1359A		318-U1359A-004H-6-W-85
	U1359A		318-U1359A-006H-3-W-125
	U1359A		318-U1359A-006H-4-W-59
	U1359A		318-U1359A-006H-6-W-22
	U1359A		318-U1359A-007H-2-W-125
	U1359A		318-U1359A-007H-3-W-46
	U1359A		318-U1359A-007H-5-W-52
	U1359A		318-U1359A-009H-2-W-70
	U1359A		318-U1359A-009H-3-W-70
	U1359A		318-U1359A-009H-4-W-105
	U1359A		318-U1359A-009H-5-W-17
	U1359A		318-U1359A-009H-6-W-31
	U1359A		318-U1359A-010H-1-W-94
	U1359A		318-U1359A-010H-3-W-94
	U1359A		318-U1359A-015H-2-W-56
	U1359A		318-U1359A-018X-4-W-67
	U1359A		318-U1359A-019X-2-W-40
	U1359A		318-U1359A-021X-2-W-25
	U1359A		318-U1359A-021X-5-W-77
	U1359A		318-U1359A-022X-3-W-38
	U1359A		318-U1359A-002H-5-W-36
	U1359A		318-U1359A-003H-4-W-16
	U1359A		318-U1359A-008H-5-W-129
	U1359A		318-U1359A-010H-2-W-73
	U1359A		318-U1359A-017H-2-W-64
	U1359A		318-U1359A-018X-6-W-57
	U1359A		318-U1359A-019X-4-W-40
	U1359A		318-U1359A-021X-4-W-18
	U1359A		318-U1359A-022X-2-W-95
	U1359A		318-U1359A-003H-6-W-66
	U1359A		318-U1359A-004H-3-W-77
	U1359A		318-U1359A-006H-2-W-95
	U1359A		318-U1359A-007H-1-W-54
	U1359A		318-U1359A-008H-6-W-101
