tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_method_codes	magic_software_packages	measurement_chi_volume	measurement_flag	measurement_number	measurement_orient_phi	measurement_orient_theta	measurement_standard	measurement_temp	treatment_temp
This study	Troodos Ophiolite	tr245f	tr245	tr245f	998.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0009950000	g	1	315.0	0.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245f	tr245	tr245f	998.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0009990000	g	2	225.0	0.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245f	tr245	tr245f	998.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0009930000	g	3	180.0	0.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245f	tr245	tr245f	998.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0009950000	g	4	135.0	0.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245f	tr245	tr245f	998.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0010000000	g	5	45.0	0.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245f	tr245	tr245f	998.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0010040000	g	6	90.0	-45.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245f	tr245	tr245f	998.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0009990000	g	7	270.0	-45.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245f	tr245	tr245f	998.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0010010000	g	8	270.0	0.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245f	tr245	tr245f	998.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0010040000	g	9	270.0	45.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245f	tr245	tr245f	998.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0009990000	g	10	90.0	45.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245f	tr245	tr245f	998.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0009980000	g	11	180.0	45.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245f	tr245	tr245f	998.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0009970000	g	12	180.0	-45.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245f	tr245	tr245f	998.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0010020000	g	13	0.0	-90.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245f	tr245	tr245f	998.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0009980000	g	14	0.0	-45.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245f	tr245	tr245f	998.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0009970000	g	15	0.0	45.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245g	tr245	tr245g	1068.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0010760000	g	1	315.0	0.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245g	tr245	tr245g	1068.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0010660000	g	2	225.0	0.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245g	tr245	tr245g	1068.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0010720000	g	3	180.0	0.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245g	tr245	tr245g	1068.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0010770000	g	4	135.0	0.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245g	tr245	tr245g	1068.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0010670000	g	5	45.0	0.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245g	tr245	tr245g	1068.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0010760000	g	6	90.0	-45.0	u	2.730e+02	2.730e+02
This study	Troodos Ophiolite	tr245g	tr245	tr245g	1068.:LP-AN-MS	LP-X	pmagpy-3.10.0	0.0010680000	g	7	270.0	-45.0	u	2.730e+02	2.730e+02
