tab 	rmag_anisotropy
anisotropy_mean	anisotropy_n	anisotropy_s1	anisotropy_s2	anisotropy_s3	anisotropy_s4	anisotropy_s5	anisotropy_s6	anisotropy_sigma	anisotropy_tilt_correction	anisotropy_type	anisotropy_unit	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_method_codes	magic_software_packages
0.0009987333	15	0.3314698618	0.3341399106	0.3343902276	0.0007509512	-0.0008343902	-0.0001668780	0.0000861755	-1	AMS	SI	This study	Troodos Ophiolite	tr245f	tr245	tr245f	tr245f:AMS	LP-X:AE-H:LP-AN-MS	pmagpy-3.10.0
0.0009987333	15	0.3341268003	0.3328273296	0.3330458701	-0.0001528877	0.0012484037	0.0013572073	0.0000861755	0	AMS	SI	This study	Troodos Ophiolite	tr245f	tr245	tr245f	tr245f:AMS	LP-X:AE-H:LP-AN-MS	pmagpy-3.10.0
0.0009987333	15	0.3345571160	0.3319265842	0.3335162997	-0.0004356251	0.0009276991	0.0010500607	0.0000861755	100	AMS	SI	This study	Troodos Ophiolite	tr245f	tr245	tr245f	tr245f:AMS	LP-X:AE-H:LP-AN-MS	pmagpy-3.10.0
0.0010716667	15	0.3333592535	0.3333592535	0.3332814930	-0.0015552100	-0.0013219285	0.0011664075	0.0001719349	-1	AMS	SI	This study	Troodos Ophiolite	tr245g	tr245	tr245g	tr245g:AMS	LP-X:AE-H:LP-AN-MS	pmagpy-3.10.0
0.0010716667	15	0.3355630040	0.3319826424	0.3324543238	0.0008725883	0.0002414079	0.0009616597	0.0001719349	0	AMS	SI	This study	Troodos Ophiolite	tr245g	tr245	tr245g	tr245g:AMS	LP-X:AE-H:LP-AN-MS	pmagpy-3.10.0
0.0010716667	15	0.3358550072	0.3319156170	0.3322293460	0.0005595986	-0.0000531393	0.0006473018	0.0001719349	100	AMS	SI	This study	Troodos Ophiolite	tr245g	tr245	tr245g	tr245g:AMS	LP-X:AE-H:LP-AN-MS	pmagpy-3.10.0
0.0012256667	15	0.3309763394	0.3357356541	0.3332880065	0.0016317650	0.0001359804	0.0000000000	0.0001813072	-1	AMS	SI	This study	Troodos Ophiolite	tr245h	tr245	tr245h	tr245h:AMS	LP-X:AE-H:LP-AN-MS	pmagpy-3.10.0
0.0012256667	15	0.3358490765	0.3314062655	0.3327446878	0.0013184443	0.0011881572	0.0000298656	0.0001813072	0	AMS	SI	This study	Troodos Ophiolite	tr245h	tr245	tr245h	tr245h:AMS	LP-X:AE-H:LP-AN-MS	pmagpy-3.10.0
0.0012256667	15	0.3358666599	0.3308492601	0.3332840800	0.0014226855	0.0001323491	0.0000920061	0.0001813072	100	AMS	SI	This study	Troodos Ophiolite	tr245h	tr245	tr245h	tr245h:AMS	LP-X:AE-H:LP-AN-MS	pmagpy-3.10.0
0.0010304667	15	0.3315002911	0.3346542020	0.3338455069	-0.0006469561	-0.0005660866	-0.0004852171	0.0001486279	-1	AMS	SI	This study	Troodos Ophiolite	tr245i1	tr245i	tr245i1	tr245i1:AMS	LP-X:AE-H:LP-AN-MS	pmagpy-3.10.0
0.0010304667	15	0.3347975314	0.3314253092	0.3337771893	-0.0004749286	0.0004954052	0.0004430301	0.0001486279	0	AMS	SI	This study	Troodos Ophiolite	tr245i1	tr245i	tr245i1	tr245i1:AMS	LP-X:AE-H:LP-AN-MS	pmagpy-3.10.0
0.0010304667	15	0.3348866105	0.3313849568	0.3337284625	-0.0005659953	-0.0003908412	0.0000487497	0.0001486279	100	AMS	SI	This study	Troodos Ophiolite	tr245i1	tr245i	tr245i1	tr245i1:AMS	LP-X:AE-H:LP-AN-MS	pmagpy-3.10.0
0.0010646000	15	0.3312198635	0.3352119732	0.3335681633	-0.0004696600	-0.0004696600	-0.0008610433	0.0001837604	-1	AMS	SI	This study	Troodos Ophiolite	tr245i2	tr245i	tr245i2	tr245i2:AMS	LP-X:AE-H:LP-AN-MS	pmagpy-3.10.0
0.0010646000	15	0.3350561261	0.3311484456	0.3337953985	-0.0010137487	0.0002853553	0.0003485158	0.0001837604	0	AMS	SI	This study	Troodos Ophiolite	tr245i2	tr245i	tr245i2	tr245i2:AMS	LP-X:AE-H:LP-AN-MS	pmagpy-3.10.0
0.0010646000	15	0.3350659907	0.3312701881	0.3336637616	-0.0010519846	-0.0005725760	-0.0002995814	0.0001837604	100	AMS	SI	This study	Troodos Ophiolite	tr245i2	tr245i	tr245i2	tr245i2:AMS	LP-X:AE-H:LP-AN-MS	pmagpy-3.10.0
0.0018065333	15	0.3317957045	0.3340560189	0.3341482766	-0.0000922577	-0.0000461289	-0.0002767732	0.0001047395	-1	AMS	SI	This study	Troodos Ophiolite	tr245j	tr245	tr245j	tr245j:AMS	LP-X:AE-H:LP-AN-MS	pmagpy-3.10.0
0.0018065333	15	0.3340615928	0.3322691619	0.3336692452	-0.0000226697	0.0009854900	0.0000555323	0.0001047395	0	AMS	SI	This study	Troodos Ophiolite	tr245j	tr245	tr245j	tr245j:AMS	LP-X:AE-H:LP-AN-MS	pmagpy-3.10.0
