tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	er_expedition_name	er_formation_name	er_fossil_name	er_member_name	er_mineral_name	experiment	hyst_charging_mode	hyst_loop	hyst_sweep_rate	instrument_codes	location	magn_mass	magn_moment	magn_r2_det	magn_volume	magn_x_sigma	magn_xyz_sigma	magn_y_sigma	magn_z_sigma	meas_field_ac	meas_field_dc	meas_freq	meas_n_orient	meas_orient_phi	meas_orient_theta	meas_pos_x	meas_pos_y	meas_pos_z	meas_temp	meas_temp_change	measurement	measurement_composite_depth	measurement_core_depth	measurement_demagn_code	measurement_elevation	measurement_height	measurement_loop_n	measurement_magnitude	method_codes	quality	sample	site	software_packages	specimen	standard	susc_chi_mass	susc_chi_qdr_mass	susc_chi_qdr_volume	susc_chi_volume	timestamp	treat_ac_field	treat_ac_field_dc_off	treat_ac_field_dc_on	treat_ac_field_decay_rate	treat_dc_field	treat_dc_field_ac_off	treat_dc_field_ac_on	treat_dc_field_decay_rate	treat_dc_field_phi	treat_dc_field_theta	treat_mw_energy	treat_mw_integral	treat_mw_power	treat_mw_time	treat_temp	treat_temp_dc_off	treat_temp_dc_on	treat_temp_decay_rate
	This study		0.9	284.9	-0.8						sv01a1-LP-DIR-AF					San Francisco Volcanics		0.0002803																273		1								LT-NO : DE-VM : LP-DIR-AF	g	sv01a	sv01		sv01a1	u						0				0				0	0					273			
	This study		0.7	282.6	-6.1						sv01a1-LP-DIR-AF					San Francisco Volcanics		0.0002741																273		1								LT-AF-Z : LP-DIR-AF	g	sv01a	sv01		sv01a1	u						0.005				0				0	0					273			
	This study		1.4	281	-18.5						sv01a1-LP-DIR-AF					San Francisco Volcanics		0.0002083																273		1								LT-AF-Z : LP-DIR-AF	g	sv01a	sv01		sv01a1	u						0.01				0				0	0					273			
	This study		0.9	277.1	-14.9						sv01a1-LP-DIR-AF					San Francisco Volcanics		0.00005819																273		1								LT-AF-Z : LP-DIR-AF	g	sv01a	sv01		sv01a1	u						0.02				0				0	0					273			
	This study		0.9	270.9	12.3						sv01a1-LP-DIR-AF					San Francisco Volcanics		0.00001898																273		1								LT-AF-Z : LP-DIR-AF	g	sv01a	sv01		sv01a1	u						0.03				0				0	0					273			
	This study		0.9	264.5	39.3						sv01a1-LP-DIR-AF					San Francisco Volcanics		0.00001084																273		1								LT-AF-Z : LP-DIR-AF	g	sv01a	sv01		sv01a1	u						0.04				0				0	0					273			
	This study		0.8	259.9	55.1						sv01a1-LP-DIR-AF					San Francisco Volcanics		0.000008006																273		1								LT-AF-Z : LP-DIR-AF	g	sv01a	sv01		sv01a1	u						0.05				0				0	0					273			
	This study		0.9	251.2	63.9						sv01a1-LP-DIR-AF					San Francisco Volcanics		0.000006186																273		1								LT-AF-Z : LP-DIR-AF	g	sv01a	sv01		sv01a1	u						0.06				0				0	0					273			
	This study		0.9	248.9	69.3						sv01a1-LP-DIR-AF					San Francisco Volcanics		0.000005033																273		1								LT-AF-Z : LP-DIR-AF	g	sv01a	sv01		sv01a1	u						0.07				0				0	0					273			
	This study		0.8	239.9	73.9						sv01a1-LP-DIR-AF					San Francisco Volcanics		0.000004128																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv01a	sv01		sv01a1	u						0.08				0				0	0					273			
	This study		0.9	230	76.4						sv01a1-LP-DIR-AF					San Francisco Volcanics		0.000003006																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv01a	sv01		sv01a1	u						0.1				0				0	0					273			
	This study		1.1	230.5	76.7						sv01a1-LP-DIR-AF					San Francisco Volcanics		0.00000228																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv01a	sv01		sv01a1	u						0.12				0				0	0					273			
	This study		0.9	248.8	77.7						sv01a1-LP-DIR-AF					San Francisco Volcanics		0.000001797																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv01a	sv01		sv01a1	u						0.14				0				0	0					273			
	This study		1	259.2	75.9						sv01a1-LP-DIR-AF					San Francisco Volcanics		0.000001423																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv01a	sv01		sv01a1	u						0.16				0				0	0					273			
	This study		1.2	263.1	75.7						sv01a1-LP-DIR-AF					San Francisco Volcanics		0.000001282																273		1								LT-AF-Z : DE-VM : LP-DIR-AF	g	sv01a	sv01		sv01a1	u						0.18				0				0	0					273			
	This study		0.7	268.7	9.7						sv01b1-LP-DIR-AF					San Francisco Volcanics		0.0005619																273		1								LT-NO : LP-DIR-AF	g	sv01b	sv01		sv01b1	u						0				0				0	0					273			
	This study		0.7	268	5.4						sv01b1-LP-DIR-AF					San Francisco Volcanics		0.0005605																273		1								LT-AF-Z : LP-DIR-AF	g	sv01b	sv01		sv01b1	u						0.005				0				0	0					273			
	This study		0.6	264.1	-6.3						sv01b1-LP-DIR-AF					San Francisco Volcanics		0.0004963																273		1								LT-AF-Z : LP-DIR-AF	g	sv01b	sv01		sv01b1	u						0.01				0				0	0					273			
	This study		0.6	260.8	-13.6						sv01b1-LP-DIR-AF					San Francisco Volcanics		0.0002138																273		1								LT-AF-Z : LP-DIR-AF	g	sv01b	sv01		sv01b1	u						0.02				0				0	0					273			
