tab	specimens																	
specimen	sample	experiments	dir_dec	dir_inc	dir_n_measurements	dir_tilt_correction	dir_mad_free	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	description	int_corr	citations	method_codes	specimen_direction_type
sv01a1	sv01a							Igneous	Lava Flow	Basalt						This study		
sv01a1	sv01a	sv01a1 : LP-DIR-AF	348.4	-34.7	12	0	5.1				0.14	0.005	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFP : DA-DIR-GEO	p
sv01b1	sv01b							Igneous	Lava Flow	Basalt						This study		
sv01b1	sv01b	sv01b1 : LP-DIR-AF	122.7	25.5	15	0	3.8				0.18	0	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFP : DA-DIR-GEO	p
sv01g1	sv01g							Igneous	Lava Flow	Basalt						This study		
sv01g1	sv01g	sv01g1 : LP-DIR-AF	162.4	36.6	13	0	3				0.18	0.01	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFP : DA-DIR-GEO	p
sv01g2	sv01g							Igneous	Lava Flow	Basalt						This study		
sv01h1	sv01h	sv01h1 : LP-DIR-AF	190.4	34.6	13	0	5				0.18	0.01	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFP : DA-DIR-GEO	p
sv01h1	sv01h							Igneous	Lava Flow	Basalt						This study		
sv01j1	sv01j	sv01j1 : LP-DIR-AF	133.4	21.9	8	0	5.4				0.18	0.06	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFP : DA-DIR-GEO	p
sv01j1	sv01j							Igneous	Lava Flow	Basalt						This study		
sv01j2	sv01j							Igneous	Lava Flow	Basalt						This study		
sv02a1	sv02a	sv02a1 : LP-DIR-AF	330.3	30.4	6	0	2.5				0.18	0.08	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv02a1	sv02a							Igneous	Lava Flow	Basalt						This study		
sv02b1	sv02b	sv02b1 : LP-DIR-AF	225.7	37	14	0	3.7				0.18	0	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	p
sv02b1	sv02b							Igneous	Lava Flow	Basalt						This study		
sv02b2	sv02b							Igneous	Lava Flow	Basalt						This study		
sv02c1	sv02c	sv02c1 : LP-DIR-AF	103.1	32.3	11	0	3.8				0.18	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	p
sv02c1	sv02c							Igneous	Lava Flow	Basalt						This study		
sv02d1	sv02d							Igneous	Lava Flow	Basalt						This study		
sv02d1	sv02d	sv02d1 : LP-DIR-AF	338.6	44.5	11	0	1.3				0.18	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv02e1	sv02e							Igneous	Lava Flow	Basalt						This study		
sv02e1	sv02e	sv02e1 : LP-DIR-AF	340.6	42.4	10	0	0.9				0.18	0.04	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv02k1	sv02k							Igneous	Lava Flow	Basalt						This study		
sv02k1	sv02k	sv02k1 : LP-DIR-AF	337.7	40.3	12	0	2.6				0.18	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv02k3	sv02k							Igneous	Lava Flow	Basalt						This study		
sv03a1	sv03a							Igneous	Lava Flow	Basalt						This study		
sv03a1	sv03a	sv03a1 : LP-DIR-AF	344.6	52.1	4	0	1.3				0.15	0.08	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv03b1	sv03b	sv03b1 : LP-DIR-AF	39.5	-24.5	6	0	3.8				0.18	0.08	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFP : DA-DIR-GEO	p
sv03b1	sv03b							Igneous	Lava Flow	Basalt						This study		
sv03b2	sv03b							Igneous	Lava Flow	Basalt						This study		
sv03d1	sv03d							Igneous	Lava Flow	Basalt						This study		
sv03d1	sv03d	sv03d1 : LP-DIR-AF	3.9	-33.5	11	0	4.6				0.18	0	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFP : DA-DIR-GEO	p
sv03e1	sv03e	sv03e1 : LP-DIR-AF	8.8	-33.8	13	0	2.1				0.18	0.01	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFP : DA-DIR-GEO	p
sv03e1	sv03e							Igneous	Lava Flow	Basalt						This study		
sv03g1	sv03g							Igneous	Lava Flow	Basalt						This study		
sv03g1	sv03g	sv03g1 : LP-DIR-AF	352.8	52.2	7	0	0.9				0.18	0.07	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv03h1	sv03h							Igneous	Lava Flow	Basalt						This study		
sv03h1	sv03h	sv03h1 : LP-DIR-AF	349.1	55.5	8	0	0.9				0.18	0.06	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv03h2	sv03h							Igneous	Lava Flow	Basalt						This study		
sv03i1	sv03i	sv03i1 : LP-DIR-AF	353.2	57.3	8	0	0.7				0.18	0.06	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv03i1	sv03i							Igneous	Lava Flow	Basalt						This study		
sv03j1	sv03j							Igneous	Lava Flow	Basalt						This study		
sv03j1	sv03j	sv03j1 : LP-DIR-AF	324.1	44.6	8	0	1.9				0.18	0.06	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv04a1	sv04a							Igneous	Lava Flow	Basalt						This study		
sv04a1	sv04a	sv04a1 : LP-DIR-AF	348.3	50.2	12	0	1.5				0.18	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv04b1	sv04b	sv04b1 : LP-DIR-AF	353	46.6	12	0	1.3				0.18	0.02	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
sv04b1	sv04b							Igneous	Lava Flow	Basalt						This study		
sv04c1	sv04c							Igneous	Lava Flow	Basalt						This study		
sv04c2	sv04c							Igneous	Lava Flow	Basalt						This study		
sv04d1	sv04d							Igneous	Lava Flow	Basalt						This study		
sv04d1	sv04d	sv04d1 : LP-DIR-AF	342.6	48.7	9	0	2.6				0.18	0.05	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	l
