tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	location	magn_moment	meas_n_orient	meas_temp	measurement	method_codes	quality	sample	site	software_packages	specimen	standard	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
Saiko	This study		0.4	73.5	-46.8	318-U1359A-002H-1-W-109:LP-IRM-3D	SIO-flo	U1359A	2.288e-06	4	2.730e+02	1	LP-IRM-3D	g	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-10	pmagpy-2.135	318-U1359A-002H-1-W-109	u	SAN	0	0	0	0	2.730e+02
Saiko	This study		0.5	69.2	-44.0	318-U1359A-002H-1-W-109:LP-IRM-3D	SIO-flo	U1359A	2.056e-06	4	2.730e+02	2	LP-IRM-3D	g	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-10	pmagpy-2.135	318-U1359A-002H-1-W-109	u	SAN	0	0	0	0	3.730e+02
Saiko	This study		0.5	67.8	-41.7	318-U1359A-002H-1-W-109:LP-IRM-3D	SIO-flo	U1359A	1.459e-06	4	2.730e+02	3	LP-IRM-3D	g	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-10	pmagpy-2.135	318-U1359A-002H-1-W-109	u	SAN	0	0	0	0	4.730e+02
Saiko	This study		0.5	69.0	-42.3	318-U1359A-002H-1-W-109:LP-IRM-3D	SIO-flo	U1359A	8.651e-07	4	2.730e+02	4	LP-IRM-3D	g	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-10	pmagpy-2.135	318-U1359A-002H-1-W-109	u	SAN	0	0	0	0	5.730e+02
Saiko	This study		0.7	73.4	-42.2	318-U1359A-002H-1-W-109:LP-IRM-3D	SIO-flo	U1359A	7.550e-07	4	2.730e+02	5	LP-IRM-3D	g	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-10	pmagpy-2.135	318-U1359A-002H-1-W-109	u	SAN	0	0	0	0	5.980e+02
Saiko	This study		0.4	68.2	-41.7	318-U1359A-002H-1-W-109:LP-IRM-3D	SIO-flo	U1359A	6.738e-07	4	2.730e+02	6	LP-IRM-3D	g	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-10	pmagpy-2.135	318-U1359A-002H-1-W-109	u	SAN	0	0	0	0	6.230e+02
Saiko	This study		0.5	70.1	-41.4	318-U1359A-002H-1-W-109:LP-IRM-3D	SIO-flo	U1359A	6.073e-07	4	2.730e+02	7	LP-IRM-3D	g	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-10	pmagpy-2.135	318-U1359A-002H-1-W-109	u	SAN	0	0	0	0	6.480e+02
Saiko	This study		0.5	70.4	-41.1	318-U1359A-002H-1-W-109:LP-IRM-3D	SIO-flo	U1359A	5.469e-07	4	2.730e+02	8	LP-IRM-3D	g	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-10	pmagpy-2.135	318-U1359A-002H-1-W-109	u	SAN	0	0	0	0	6.730e+02
Saiko	This study		0.4	66.7	-39.9	318-U1359A-002H-1-W-109:LP-IRM-3D	SIO-flo	U1359A	4.410e-07	4	2.730e+02	9	LP-IRM-3D	g	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-10	pmagpy-2.135	318-U1359A-002H-1-W-109	u	SAN	0	0	0	0	7.230e+02
Saiko	This study		1.9	72.9	-39.7	318-U1359A-002H-1-W-109:LP-IRM-3D	SIO-flo	U1359A	3.255e-07	4	2.730e+02	10	LP-IRM-3D	g	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-10	pmagpy-2.135	318-U1359A-002H-1-W-109	u	SAN	0	0	0	0	7.730e+02
Saiko	This study		0.5	72.4	-39.3	318-U1359A-002H-1-W-109:LP-IRM-3D	SIO-flo	U1359A	1.950e-07	4	2.730e+02	11	LP-IRM-3D	g	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-10	pmagpy-2.135	318-U1359A-002H-1-W-109	u	SAN	0	0	0	0	8.230e+02
Saiko	This study		0.7	65.4	-38.6	318-U1359A-002H-1-W-109:LP-IRM-3D	SIO-flo	U1359A	1.227e-07	4	2.730e+02	12	LP-IRM-3D	g	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-10	pmagpy-2.135	318-U1359A-002H-1-W-109	u	SAN	0	0	0	0	8.480e+02
Saiko	This study		0.4	52.6	-31.9	318-U1359A-002H-1-W-109:LP-IRM-3D	SIO-flo	U1359A	5.448e-08	4	2.730e+02	13	LP-IRM-3D	g	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-10	pmagpy-2.135	318-U1359A-002H-1-W-109	u	SAN	0	0	0	0	8.730e+02
Saiko	This study		0.3	25.9	-6.5	318-U1359A-002H-1-W-109:LP-IRM-3D	SIO-flo	U1359A	2.190e-08	4	2.730e+02	14	LP-IRM-3D	g	318-U1359A-002H-1-W-109	318-U1359A-002H-1-W-10	pmagpy-2.135	318-U1359A-002H-1-W-109	u	SAN	0	0	0	0	8.980e+02
Saiko	This study		0.5	86.8	-41.1	318-U1359A-002H-4-W-65:LP-IRM-3D	SIO-flo	U1359A	1.684e-06	4	2.730e+02	1	LP-IRM-3D	g	318-U1359A-002H-4-W-65	318-U1359A-002H-4-W-6	pmagpy-2.135	318-U1359A-002H-4-W-65	u	SAN	0	0	0	0	2.730e+02
Saiko	This study		0.5	83.2	-38.5	318-U1359A-002H-4-W-65:LP-IRM-3D	SIO-flo	U1359A	1.536e-06	4	2.730e+02	2	LP-IRM-3D	g	318-U1359A-002H-4-W-65	318-U1359A-002H-4-W-6	pmagpy-2.135	318-U1359A-002H-4-W-65	u	SAN	0	0	0	0	3.730e+02
